DateTime,AddedIPs,RemovedIPs
1604807176,148,0
1604830562,548,1789
1604852146,364,0
1604873747,60,0
1604886367,307,0
1604898951,310,0
1604915156,0,1714
1604922593,452,0
1604965067,396,0
1604972815,299,0
1604994508,351,0
1605014177,325,1999
1605035802,34,0
1605037644,171,0
1605064352,25,0
1605084384,644,0
1605105964,429,1835
1605127580,91,0
1605145593,268,0
1605152787,159,0
1605174353,73,0
1605185594,571,1886
1605206953,450,0
1605228279,185,0
1605233534,422,0
1605253565,405,0
1605271585,226,2387
1605291409,427,6
1605300359,403,0
1605321984,57,0
1605325608,83,0
1605345418,461,0
1605358003,108,1602
1605368755,456,0
1605404778,344,0
1605415590,219,0
1605437150,377,0
1605444374,87,1286
1605460578,314,0
1605491194,294,0
1605509190,282,0
1605545184,369,1878
1605556032,766,0
1605575750,87,0
1605577570,298,0
1605617274,449,1896
1605624444,300,0
1605646013,327,0
1605671167,129,0
1605690981,407,0
1605703618,148,1551
1605719774,404,2
1605737769,315,0
1605759374,75,0
1605761164,132,0
1605789977,454,1608
1605807954,297,0
1605829026,212,0
1605836835,136,0
1605854859,358,0
1605878193,415,1829
1605899854,309,0
1605921391,14,0
1605923210,281,0
1605962811,364,1736
1605969967,322,0
1606009576,323,0
1606015032,217,0
1606036585,305,0
1606049220,224,1245
1606061782,321,0
1606083378,344,0
1606096038,4,0
1606106765,330,0
1606135810,438,1540
1606153575,314,0
1606174766,196,0
1606184227,183,0
1606200719,312,0
1606222114,121,1509
1606223958,236,0
1606245514,215,0
1606247394,82,0
1606270794,38,0
1606292352,486,1
1606312172,0,1866
1606416328,0,1390
1606497330,0,1509
1606580159,0,1384
1606664731,0,1431
1606747583,0,1585
1606819526,0,1540
1606842920,0,1
1606904127,0,1656
1606990552,0,1481
1607076902,0,1647
1607098503,0,6
1607163298,0,1858
1607249676,0,2052
1607336075,0,1545
1607422477,0,1687
1607449540,0,2
1607508951,0,2170
1607595267,0,1662
1607681666,0,1396
1607768075,0,2079
1607856222,0,2265
1607940853,0,2723
1608027281,0,19894
1608059699,307,0
1608144194,75,0
1608169567,1,0
1608234174,91,0
1608320529,68,0
1608342112,13,0
1608349297,1,0
1608410444,74,0
1608496843,76,0
1608585061,90,0
1608687670,67,0
1608759657,52,0
1608846059,55,0
1608860465,16,0
1608934263,51,0
1609033264,54,0
1609119662,57,0
1609206178,66,0
1609218674,26,0
1609240385,9,0
1609242099,5,0
1609263673,16,0
1609306868,19,0
1609310476,7,0
1609330280,11,0
1609351883,12,0
1609373493,7,0
1609396879,23,0
1609440076,27,0
1609461685,23,0
1609465283,1,0
1609485081,15,0
1609506684,15,0
1609528282,11,0
1609549885,3,0
1609551685,6,0
1609573285,16,0
1609594887,12,0
1609638076,17,0
1609639889,12,0
1609661487,13,0
1609683086,12,0
1609704687,7,0
