DateTime,AddedIPs,RemovedIPs
1618631540,2,7
1618632271,5,4
1618632979,6,2
1618633707,5,7
1618634420,8,0
1618635141,1,0
1618635867,5,5
1618636583,5,5
1618637306,2,4
1618638019,2,5
1618638739,0,4
1618639467,2,2
1618640185,5,5
1618640899,5,2
1618641621,7,3
1618642339,2,3
1618643070,2,2
1618643779,4,3
1618644503,6,3
1618645219,6,9
1618645940,8,1
1618646667,1,5
1618647380,6,4
1618648099,6,4
1618648822,8,3
1618649540,4,3
1618650270,2,1
1618650980,2,8
1618651707,6,5
1618652420,3,1
1618653140,5,3
1618653870,5,5
1618654821,8,2
1618655546,4,1
1618656266,5,2
1618656980,3,3
1618657702,3,4
1618658419,6,5
1618659141,11,5
1618659861,6,3
1618660580,0,2
1618661303,4,6
1618662020,2,7
1618662742,1,3
1618663461,4,4
1618664182,4,5
1618664904,3,4
1618665622,5,3
1618666341,4,1
1618667067,6,2
1618667782,5,3
1618668502,3,6
1618669221,0,6
1618669943,3,4
1618670663,3,4
1618672360,16,11
1618673062,6,6
1618673789,3,6
1618674501,6,0
1618675222,2,12
1618675943,4,0
1618676661,3,8
1618677387,4,3
1618678104,2,7
1618678823,7,0
1618679541,3,3
1618680263,4,1
1618680982,4,6
1618681700,7,0
1618682424,4,13
1618683142,3,0
1618683866,6,13
1618684583,4,0
1618685302,4,5
1618686031,2,5
1618686741,3,6
1618687461,11,0
1618688184,2,7
1618688914,4,11
1618689628,8,4
1618690340,3,0
1618691064,11,6
1618691783,8,6
1618692502,5,0
1618693230,5,10
1618693944,0,5
1618694661,3,3
1618695385,4,0
1618696101,4,6
1618696845,4,2
1618697543,4,0
1618698263,10,1
1618698982,1,4
1618699703,4,2
1618700435,7,6
1618701142,6,4
1618701864,1,3
1618702583,6,7
1618703304,4,3
1618704028,6,3
1618704742,2,6
1618705463,7,11
1618706181,4,4
1618706903,4,8
1618707629,1,4
1618708345,5,7
1618709064,9,7
1618709784,8,7
1618710503,13,20
1618711229,6,20
1618711944,5,5
1618712662,11,12
1618713382,7,11
1618714102,13,11
1618714847,7,5
1618715545,6,7
1618716266,5,4
1618716983,11,7
1618717701,5,2
1618718434,4,10
1618719140,7,5
1618719862,2,3
1618720584,9,3
1618721301,3,2
1618722030,3,6
1618722740,3,3
1618723463,1,3
1618724427,6,8
1618725140,2,1
1618725870,3,4
1618727300,2,7
1618728023,3,3
1618728741,3,3
1618729468,6,0
1618730190,1,9
1618730899,4,0
