DateTime,AddedIPs,RemovedIPs
1616627501,5,6
1616628885,0,8
1616630915,3,11
1616632473,3,9
1616634528,1,11
1616637030,0,5
1616638169,0,10
1616639641,0,721
1616640781,712,0
1616642712,7,5
1616643274,0,7
1616645429,2,13
1616649937,27,34
1616650471,2,20
1616651958,9,13
1616653531,2,1
1616654982,9,26
1616656234,0,651
1616658357,661,0
1616659624,32,16
1616662173,39,29
1616663847,6,13
1616664849,8,4
1616666104,5,3
1616667249,10,6
1616668469,4,9
1616669652,8,2
1616671237,12,9
1616672075,4,6
1616674401,9,12
1616676359,13,13
1616678206,9,1
1616679277,6,7
1616680461,4,3
1616681657,8,2
1616682872,0,1
1616684730,8,4
1616685930,4,1
1616687433,8,3
1616688906,4,4
1616690060,0,714
1616691183,711,0
1616693129,20,1
1616694632,23,51
1616696185,11,22
1616697498,11,6
1616698636,13,2
1616700908,17,7
1616703452,18,5
1616705052,16,6
1616706199,9,2
1616707533,10,1
1616709030,12,6
1616710719,13,3
1616711670,7,4
1616713643,8,5
1616715269,6,5
1616717119,5,8
1616718329,3,0
1616719836,12,2
1616722477,148,1
1616725185,21,0
1616726078,2,0
1616727473,6,0
1616729134,8,0
1616729676,3,1
1616732496,0,975
1616733278,983,0
1616736876,2,1
1616738920,7,0
1616740048,10,0
1616740476,1,0
1616743529,34,2
1616745032,28,0
1616746974,19,0
1616747673,4,0
1616749536,9,4
1616750749,9,0
1616752090,7,7
1616753225,5,7
1616754873,6,13
1616756037,9,4
1616757354,6,7
1616758474,4,11
1616760829,8,4
1616762079,10,8
1616764446,14,8
1616766071,9,11
1616768670,14,2
1616770236,3,6
1616772363,8,2
1616773840,2,5
1616775916,11,6
1616777269,4,6
1616780076,9,3
1616782832,11,9
1616783954,1,6
1616785443,0,8
1616786613,4,0
1616788236,1,4
1616789582,4,2
1616790867,2,4
1616793677,6,4
1616794477,1,2
1616796332,6,4
1616797529,3,0
1616799036,3,4
1617359668,518,892
1617362750,7,12
1617364233,2,4
1617366333,5,3
1617366876,1,27
1617368804,1,4
1617369933,6,0
1617371285,6,5
1617372836,2,2
1617374072,4,2
1617377136,7,3
1617377658,0,718
1617379189,722,0
1617380628,10,1
1617381272,3,5
1617383051,11,9
1617384868,9,3
1617387936,26,8
1617390650,24,78
1617392075,8,5
1617395678,24,18
1617397535,18,9
1617399271,17,8
1617401284,9,3
1617404598,20,13
1617993208,676,608
1618003542,27,33
1618010741,86,17
1618014930,10,14
1618016382,1,5
1618017912,3,0
1618021447,5,10
1618022601,3,4
1618024041,5,6
1618025166,5,0
1618029882,6,43
1618031805,11,8
1618037153,52,21
1618039540,20,1
1618041044,4,5
1618042355,4,3
1618043705,5,2
1618048170,19,20
1618051730,0,883
1618053076,868,0
1618054531,5,4
1618056519,5,4
1618058099,0,8
1618059578,11,2
1618060960,0,1
1618062439,5,10
1618063899,3,0
1618066234,1,0
1618067614,3,13
1618068871,3,13
1618073430,13,21
1618074636,4,1
1618076069,0,4
1618077455,3,0
1618080793,6,2
1618085975,7,10
1618088052,7,3
1618089934,2,1
1618090473,0,2
1618093215,3,0
1618095307,1,2
1618097133,0,1
1618099969,6,5
1618101273,2,0
1618104334,0,1
1618112069,5,6
1618115672,11,17
1618117056,7,0
1618118730,19,12
1618119269,5,17
1618121978,22,34
1618124353,26,77
1618125928,32,0
1618127818,32,8
1618128967,10,3
1618131043,24,23
1618133664,28,14
1618135633,18,5
1618137271,16,1
1618138442,5,0
1618140868,10,9
1618144470,12,23
1618146226,5,13
1618149916,4,8
1618153440,11,15
1618158330,30,31
1618161274,12,3
1618164769,28,2
1618167354,0,901
1618169672,924,0
1618173268,14,12
1618175205,8,2
1618176874,9,3
1618189938,73,118
1618191269,5,2
1618193276,4,7
1618200957,50,14
1618202361,39,13
1618205703,36,21
1618209211,16,32
1618211729,13,2
1618217495,27,12
1618218663,3,14
1618223834,53,8
1618225173,5,3
1618229982,70,16
1618235326,54,12
1618236746,8,4
1618242402,36,15
1618243949,7,5
1618247912,30,12
1618249217,12,3
1618254526,57,7
1618256097,9,3
1618259688,25,12
1618260840,0,1235
1618262059,1240,0
1618266869,27,6
1618280682,136,15
1618284877,13,9
1618286008,3,0
1618288119,1,5
1618289563,44,12
1618295333,47,51
1618305936,38,140
1618306467,4,13
1618315594,27,38
1618317267,4,2
1618321842,13,2
1618324473,6,6
1618327155,5,7
1618331669,16,22
1618332940,3,3
1618334554,3,7
1618336230,5,14
1618338868,15,14
1618342512,2,13
1618347033,18,15
1618349669,10,17
1618351633,0,12
1618353273,3,24
1618360471,56,39
1618361672,6,3
1618363023,3,7
1618368451,10,18
1618374867,16,79
1618379239,29,12
1618380547,4,5
1618381861,6,5
1618383036,3,1
1618388122,30,22
1618391202,9,32
1618393182,4,3
1618394746,9,1
1618396473,18,19
1618400070,14,41
1618402032,7,16
1618403587,6,17
1618408231,8,30
1618410399,4,7
1618414469,6,29
1618418067,5,38
1618419483,2,12
1618421395,9,23
1618427134,27,49
1618429586,10,14
1618434762,30,20
1618436067,3,10
1618437906,14,8
1618444077,19,53
1618445277,9,46
1618455573,31,60
1618457133,10,0
1618457650,0,934
1618463594,855,0
1618464869,3,3
1618470623,33,13
1618475052,28,18
1618475671,3,4
1618477592,9,9
1618478731,5,1
1618482332,9,4
1618484170,7,13
1618487533,12,6
1618494499,12,20
1618498433,10,13
1618503964,17,20
1618504470,0,2
1618505579,2,1
1618507625,4,5
1618522466,26,51
1618523659,2,0
1618525526,3,4
1618529675,2,62
1618530960,2,1
1618532330,3,7
1618534662,2,4
1618537828,9,12
1618541429,7,9
1618545027,9,18
1618547136,3,3
1618556481,22,61
1618558726,4,5
1618559852,2,0
1618561236,8,10
1618563352,12,19
1618565419,13,22
1618565667,3,0
1618567048,6,1
1618568726,8,21
1618573170,16,27
1618574354,25,8
1618577430,38,10
1618578940,7,2
1618581029,7,9
1618582720,3,2
1618584636,3,5
1618587271,9,4
1618588880,1,1
1618591825,5,4
1618593291,5,7
1618594468,0,10
1618595625,5,5
1618599030,5,14
1618601668,4,18
1618603866,4,14
1618606226,4,9
1618608616,2,19
1618609832,6,1
1618611137,16,7
1618612469,18,5
1618614091,5,8
1618616073,2,8
1618618454,3,5
1618620264,2,8
1618621457,1,7
1618622792,3,0
1618624089,2,5
1618625706,5,8
1618626872,10,11
1618628522,0,11
1618630469,4,4
1618632811,3,11
1618634075,1,11
1618638624,4,27
1618639799,3,11
1618641404,4,10
1618644869,4,24
1618646484,3,7
1618648472,5,10
1618651476,4,7
1618653030,6,5
1618654633,3,3
1618656629,7,11
1618658343,2,5
1618659267,2,4
1618661882,1,3
1618662867,6,5
1618664128,4,0
1618666903,8,12
1618668064,6,5
1618670069,5,7
1618671803,6,6
1618673502,11,8
1618675366,4,7
1618678273,15,5
1618681125,25,2
1618683198,20,6
1618685430,11,4
1618688068,12,12
1618690808,8,2
1618691672,4,0
1618693309,6,4
1618695268,6,2
1618697542,11,1
1618698877,2,4
1618701104,5,4
1618702477,5,6
1618704741,11,1
1618705865,6,5
1618707027,11,3
1618709669,11,4
1618711006,5,0
1618713053,8,9
1618714307,3,2
1618715952,1,2
1618720541,3,13
1618724202,7,11
1618727179,3,4
1618730099,4,5
1618731534,1,6
1618734909,4,22
1618739579,20,22
1618742245,4,11
1618751923,12,83
1618753085,7,4
1618756741,16,10
1618757858,2,0
1618761153,10,2
1618762631,2,1
1618763672,2,3
1618765532,3,1
1618767266,4,3
1618768403,2,0
1618771107,7,7
1618774481,33,3
1618778440,15,3
1618780231,0,635
1618781656,599,0
1618784254,0,13
1618785621,0,2
1618788858,0,2
1618791272,0,1
1618792552,0,5
1618793770,0,2
1618795595,0,3
1618797295,0,11
1618799126,0,1
1618801131,0,4
1618803265,0,3
1618806175,0,1
1618807887,0,3
1618809478,0,4
1618810457,0,4
1618812760,0,3
1618815569,0,2
1618821217,0,11
1618823262,0,5
1618824858,0,5
1618826070,0,4
1618827523,0,3
1618828704,0,3
1618832014,0,12
1618833187,0,2
1618834309,0,8
1618835684,0,3
1618837543,0,5
1618839576,0,4
1618841488,0,8
1618843657,0,13
1618844829,0,4
1618847467,0,11
1618849566,0,14
1618852171,0,30
1618855167,0,18
1618859361,0,21
1618861855,0,12
1618864522,0,13
1618866414,0,8
1618869819,0,14
1618871775,0,7
1618873928,0,11
1618879697,0,49
1618881235,0,2
1618882448,0,10
1618886398,0,6
1618888426,0,2
1618890340,0,2
1618893312,0,8
1618895765,0,2
1618897851,0,5
1618899127,0,2
1618901459,0,3
1618902839,0,3
1618904958,0,5
1618906543,0,7
1618908087,0,14
1618910066,0,3
1618911334,0,6
1618912610,0,2
1618916645,0,155
1618917837,152,0
1618919271,0,5
1618923836,0,24
1618926659,0,10
1618928918,0,5
1618930257,0,8
1618932020,0,100
1618934403,84,0
1618937310,0,6
1618939006,0,4
1618940110,0,6
1618941861,0,68
1618943165,56,0
1618945878,0,37
1618947131,0,6
1618949039,0,2
1618952683,0,2
