DateTime,Entries,UniqueIPs
1618003542,8770,8770
1618007162,8771,8771
1618007757,8766,8766
1618009032,8796,8796
1618010741,8839,8839
1618012247,8844,8844
1618013461,8842,8842
1618014930,8835,8835
1618016382,8831,8831
1618017912,8834,8834
1618019449,8829,8829
1618021447,8829,8829
1618022601,8828,8828
1618024041,8827,8827
1618025166,8832,8832
1618026636,8803,8803
1618028358,7967,7967
1618029882,8795,8795
1618031805,8798,8798
1618035520,8818,8818
1618037153,8829,8829
1618039540,8848,8848
1618041044,8847,8847
1618042355,8848,8848
1618043705,8851,8851
1618046747,8852,8852
1618048170,8850,8850
1618050346,8848,8848
1618051730,7967,7967
1618053076,8835,8835
1618054531,8836,8836
1618056519,8837,8837
1618058099,8829,8829
1618059578,8838,8838
1618060960,8837,8837
1618062439,8832,8832
1618063899,8835,8835
1618066234,8836,8836
1618067614,8826,8826
1618068871,8816,8816
1618071944,8820,8820
1618073430,8808,8808
1618074636,8811,8811
1618076069,8807,8807
1618077455,8810,8810
1618079670,8812,8812
1618080793,8814,8814
1618082735,8811,8811
1618083900,8810,8810
1618085975,8811,8811
1618086868,8810,8810
1618088052,8815,8815
1618089934,8816,8816
1618090473,8814,8814
1618091880,8815,8815
1618093215,8817,8817
1618094071,8815,8815
1618095307,8816,8816
1618097133,8815,8815
1618098346,8811,8811
1618099969,8816,8816
1618101273,8818,8818
1618104334,8817,8817
1618105814,8817,8817
1618107772,8817,8817
1618109432,8817,8817
1618112069,8816,8816
1618115672,8810,8810
1618117056,8817,8817
1618118730,8824,8824
1618119269,8812,8812
1618120467,8805,8805
1618121978,8800,8800
1618122870,8761,8761
1618124353,8749,8749
1618125928,8781,8781
1618126471,8783,8783
1618127818,8805,8805
1618128967,8812,8812
1618131043,8813,8813
1618132269,8822,8822
1618133664,8827,8827
1618135633,8840,8840
1618137271,8855,8855
1618138442,8860,8860
1618140328,8865,8865
1618140868,8861,8861
1618144470,8850,8850
1618146226,8842,8842
1618147529,8845,8845
1618148681,8839,8839
1618149916,8838,8838
1618151677,8837,8837
1618153440,8834,8834
1618154733,8845,8845
1618156230,8834,8834
1618158330,8833,8833
1618159826,8836,8836
1618161274,8842,8842
1618162469,8850,8850
1618164769,8868,8868
1618166065,8876,8876
1618167354,7967,7967
1618169133,8896,8896
1618169672,8891,8891
1618173268,8893,8893
1618175205,8899,8899
1618176874,8905,8905
1618180472,8819,8819
1618184938,8843,8843
1618187599,8857,8857
1618188708,8859,8859
1618189938,8860,8860
1618191269,8863,8863
1618193276,8860,8860
1618194757,8855,8855
1618197202,8866,8866
1618199584,8869,8869
1618200957,8896,8896
1618202361,8922,8922
