DateTime,AddedIPs,RemovedIPs
1616597137,3,3
1616598442,1,2
1616600085,4,27
1616601227,4,15
1616602353,1,5
1616603688,4,0
1616607288,8,37
1616608613,2,7
1616610888,3,37
1616613589,4,13
1616615454,9,14
1616617318,5,5
1616618088,1,6
1616620896,5,10
1616623150,2,18
1616624350,2,1
1616625293,3,10
1616627536,3,6
1616628919,0,7
1616630932,3,11
1616632490,3,9
1616634544,1,11
1616637054,0,5
1616638188,0,10
1616640798,0,9
1616642730,7,5
1616643291,0,7
1616645447,2,13
1616649952,27,32
1616650487,2,20
1616651985,9,13
1616653547,1,1
1616654998,8,21
1616656272,10,17
1616658388,41,24
1616659639,32,16
1616662189,39,29
1616663865,6,13
1616664865,8,4
1616666123,4,3
1616667282,10,4
1616668485,4,9
1616669671,8,2
1616671268,13,9
1616672092,3,6
1616674419,9,12
1616676384,13,13
1616678243,10,1
1616679293,6,7
1616680479,3,3
1616681673,8,2
1616684755,7,4
1616685946,3,1
1616687449,7,3
1616688941,4,4
1616690077,3,6
1616691208,5,5
1616693143,19,1
1616694648,24,51
1616696201,9,21
1616697523,12,5
1616698652,12,2
1616700936,16,7
1616703470,19,5
1616705073,14,6
1616706250,9,2
1616707550,10,1
1616709047,12,5
1616710735,12,3
1616711686,6,4
1616713665,8,4
1616715285,6,5
1616717136,5,8
1616718345,3,0
1616719852,12,2
1616722493,151,1
1616725208,18,0
1616726095,2,0
1616727538,6,0
1616729159,8,0
1616729694,3,1
1616732507,6,0
1616733296,2,0
1616736893,2,1
1616738937,7,0
1616740067,9,0
1616740491,1,0
1616743545,31,2
1616745049,28,0
1616746989,19,0
1616747689,4,0
1616749558,9,4
1616750780,9,0
1616752116,8,3
1616753254,4,4
1616754888,6,6
1616756053,9,2
1616757393,6,2
1616758490,4,5
1616760854,8,3
1616762094,10,4
1616764462,13,5
1616766087,8,8
1616768690,14,2
1616770252,3,5
1616772379,7,2
1616773862,2,4
1616775932,9,6
1616777290,4,6
1616780092,9,3
1616782849,11,7
1616784028,1,8
1616785493,0,6
1616786628,4,0
1616788253,1,4
1616789605,3,2
1616790884,2,4
1616793696,6,4
1616794493,1,2
1616796349,6,4
1616797544,3,0
1616799053,3,2
1617359685,487,871
1617362767,6,12
1617364250,2,4
1617366348,5,3
1617366897,1,27
1617368821,1,4
1617369951,5,0
1617371316,6,5
1617372853,2,2
1617374088,4,2
1617377153,7,3
1617377684,5,2
1617379667,5,4
1617381289,10,5
1617383110,11,9
1617384214,3,0
1617384884,5,3
1617387952,26,8
1617390668,24,78
1617392092,8,4
1617395696,24,18
1617397556,18,9
1617399287,17,7
1617401306,9,3
1617404662,19,13
1618003572,646,574
1618010770,85,16
1618014974,10,14
1618016679,1,5
1618021475,6,9
1618024072,6,9
1618025188,4,0
1618029915,6,42
1618031858,11,8
1618037186,50,20
1618039567,21,1
1618041077,3,5
1618042384,4,3
1618048185,22,19
1618051766,15,25
1618053097,4,7
1618054548,4,4
1618056542,4,4
1618058125,0,8
1618059979,9,3
1618062467,5,10
1618063915,3,0
1618066249,0,1
1618067630,4,13
1618068888,3,12
1618073447,12,21
1618074651,4,1
1618076085,0,2
1618077470,2,0
1618080816,5,2
1618088072,14,11
1618089949,2,1
1618090488,0,2
1618093237,3,0
1618095323,1,2
1618099985,4,4
1618104351,2,1
1618112088,3,4
1618115687,12,17
1618117072,6,0
1618118744,19,11
1618119286,5,17
1618121994,23,34
1618124370,25,75
1618125943,33,0
1618127843,32,8
1618128987,9,3
1618131066,22,22
1618133680,28,14
1618135653,19,5
1618137293,15,1
1618138457,5,0
1618140885,10,9
1618144486,12,23
1618146260,4,12
1618149935,4,8
1618153466,11,15
1618158345,30,31
1618161290,11,3
1618164784,27,2
1618167364,15,1
1618169688,17,9
1618173286,13,10
1618175219,7,1
1618176890,8,3
1618189963,71,117
1618193398,9,9
