DateTime,AddedIPs,RemovedIPs
1616645397,108,101
1616649906,216,224
1616650444,18,93
1616651928,0,18292
1616653507,18305,0
1616654961,60,162
1616656234,0,18203
1616658311,18169,0
1616659602,96,65
1616660704,86,2
1616662151,71,151
1616663820,72,101
1616664844,0,18175
1616666082,18115,0
1616667177,47,74
1616668445,70,123
1616669627,63,35
1616671194,52,70
1616672044,27,90
1616674373,102,119
1616676328,91,149
1616678178,76,56
1616679248,41,105
1616680434,67,47
1616681630,52,57
1616682844,41,89
1616684699,50,104
1616685905,45,3
1616687405,83,96
1616688884,69,57
1616690047,40,66
1616691142,32,21
1616693104,84,48
1616694604,66,152
1616696157,50,83
1616697470,45,75
1616698614,48,35
1616700885,89,114
1616703426,104,71
1616705026,75,110
1616706163,50,70
1616707504,45,1
1616709006,55,93
1616710682,69,54
1616711645,44,73
1616713619,76,80
1616715243,55,100
1616717088,56,124
1616718305,48,0
1616719806,54,94
1616722447,307,1
1616725161,101,0
1616726046,44,0
1616727449,55,0
1616729104,71,0
1616729644,20,1
1616733252,97,2
1616736844,118,1
1616738897,82,0
1616740021,65,0
1616740444,15,0
1616743504,182,2
1616745657,140,0
1616747644,89,0
1616749507,78,52
1616750707,51,0
1616752047,57,88
1616753183,48,64
1616754848,61,90
1616756016,50,20
1616757331,49,71
1616758444,38,69
1616760807,77,59
1616762052,47,74
1616764424,74,82
1616766043,57,86
1616768645,104,36
1616770212,60,85
1616772339,69,47
1616773818,40,80
1616775892,68,48
1616777243,40,92
1616780045,89,99
1616782802,103,59
1616783925,26,77
1616785418,66,59
1616786588,58,1
1616788205,47,88
1616789560,31,47
1616790845,45,85
1616793648,79,77
1616794445,29,66
1616796302,75,74
1616797504,49,0
1616799005,34,86
1617359645,8492,7661
1617362705,84,60
1617364207,34,77
1617366305,67,32
1617366845,11,84
1617368782,59,65
1617369904,31,0
1617371258,43,106
1617372814,51,55
1617374045,37,87
1617377109,92,95
1617377649,22,66
1617379165,40,67
1617380606,56,5
1617381245,23,62
1617383020,40,68
1617384845,65,59
1617387906,90,72
1617389968,66,206
1617391505,53,6
1617392050,15,69
1617395650,104,157
1617397504,73,62
1617399245,77,79
1617401260,56,38
1617404547,104,145
1617993150,9004,8091
1618003509,344,478
1618010709,260,339
1618014893,140,285
1618016258,52,1
1618017903,0,19763
1618023989,19481,0
1618025130,37,0
1618029860,148,385
1618031773,73,80
1618037129,226,363
1618039506,95,79
1618041020,42,102
1618042313,42,126
1618043672,65,91
