DateTime,AddedIPs,RemovedIPs
1616311537,3,3
1616312085,0,1
1616315686,3,1
1616317414,1,1
1616321993,4,4
1616322880,0,1
1616325942,1,0
1616326480,1,1
1616329529,2,3
1616331020,1,1
1616332171,2,1
1616333574,2,0
1616336740,1,3
1616339860,1,1
1616340866,0,1
1616342824,1,0
1616344480,1,0
1616348080,1,0
1616349237,1,2
1616350892,2,2
1616352163,1,1
1616353644,2,1
1616356476,2,0
1616358359,1,2
1616358886,1,1
1616362483,1,2
1616364557,2,0
1616368063,3,1
1616369684,0,2
1616373315,3,3
1616376353,5,0
1616376877,1,4
1616379949,1,3
1616383464,4,0
1616384104,2,1
1616387683,1,2
1616390743,1,2
1616392243,1,2
1616394877,3,4
1616397328,2,1
1616398479,0,4
1616399869,2,1
1616401538,1,2
1616405138,7,2
1616405677,1,0
1616408744,5,1
1616409283,0,1
1616412165,3,2
1616413457,1,1
1616414777,0,1
1616416481,1,0
1616418936,2,0
1616421225,1,0
1616422708,1,2
1616423682,0,1
1616425065,1,0
1616426744,0,2
1616427287,0,2
1616428753,1,2
1616430343,2,0
1616434483,1,2
1616436682,1,0
1616438075,2,3
1616440362,1,1
1616441489,0,1
1616443735,1,0
1616445285,2,3
1616448347,0,2
1616448883,0,1
1616450161,1,0
1616452478,1,4
1616454210,3,0
1616456084,0,1
1616457774,2,2
1616460649,3,5
1616462743,0,2
1616463278,1,1
1616465879,1,2
1616466887,2,2
1616468278,3,0
1616469941,1,1
1616470481,0,1
1616472776,3,1
1616474084,1,0
1616475834,4,0
1616477680,1,1
1616479078,1,0
1616480738,0,2
1616481284,1,0
1616483248,3,1
1616484887,0,4
1616486833,2,1
1616488480,4,1
1616490711,5,2
1616493459,2,0
1616495140,1,3
1616496337,1,1
1616497481,1,0
1616499285,0,4
1616501347,3,2
1616503847,3,1
1616506480,2,2
1616509541,2,0
1616510859,0,1
1616513142,2,1
1616514286,1,2
1616517282,2,1
1616518420,2,1
1616520876,0,2
1616522135,0,1
1616523529,1,2
1616524476,1,1
1616526884,0,1
1616528752,2,3
1616530553,3,1
1616534740,2,1
1616536005,1,2
1616538879,0,2
1616542483,3,1
1616544304,0,3
1616546077,3,4
1616547709,1,3
1616582080,4,38
1616583758,1,8
1616585677,1,1
1616587522,1,1
1616589288,1,1
1616590602,2,1
1616592333,1,1
1616592881,2,0
1616594678,9,1
1616595939,3,0
1616597123,1,0
1616598434,0,1
1616600077,1,1
1616601218,1,0
1616602344,0,1
1616607280,4,4
1616610880,1,2
1616613581,1,0
1616615445,1,3
1616617310,1,0
1616620886,3,1
1616623142,0,4
1616627519,2,2
1616628900,0,1
1616630924,1,2
1616632482,1,1
1616634536,0,1
1616637044,0,1
1616638179,0,2
1616640789,3,1
1616642721,6,2
1616643282,2,0
1616645438,3,2
1616649944,2,5
1616651972,4,3
1616653539,2,0
1616654989,2,1
1616656257,1,0
1616658359,0,7
1616659632,2,3
1616662181,3,1
1616663855,3,3
1616666114,1,0
1616667266,0,2
1616668477,1,2
1616669663,2,1
1616671252,4,2
1616672083,2,0
1616674411,1,2
1616676367,2,2
1616678223,1,1
1616679285,2,2
1616680471,1,0
1616681665,4,1
1616682880,0,2
1616684743,1,2
1616687441,0,2
1616690069,1,1
1616694640,2,3
1616696193,1,0
1616697510,2,1
1616698644,1,2
1616700928,1,2
1616703462,0,2
1616705065,0,2
1616710727,0,1
1616711678,0,3
1616713651,1,0
1616718336,6,1
1616719843,0,1
1616722485,3,0
1616725197,3,0
1616726087,1,0
1616729149,2,0
1616729685,1,0
1616732498,1,0
1616733287,1,0
1616736885,3,0
1616740059,1,0
1616743537,3,0
1616745041,1,1
1616746981,3,0
1616747680,1,1
1616749548,2,2
1616750764,3,0
1616752104,1,1
1616753240,1,1
1616754880,1,1
1616758481,0,1
1616760840,1,2
1616764453,0,1
1616766079,0,2
1616768681,1,1
1616770243,0,1
1616772370,0,2
1616773854,0,1
1616775924,2,1
1616777281,0,4
1616780083,2,3
1616782840,1,1
1616784007,0,2
1616785452,1,0
1616788245,2,1
1616789596,0,1
1616790875,1,1
1616793688,1,3
1616794484,1,1
1616797536,3,0
1616799045,2,1
1617359675,123,117
