DateTime,Entries,UniqueIPs
1618026604,27361,27361
1618028334,27333,27333
1618029860,27248,27248
1618031773,27241,27241
1618035488,27203,27203
1618037129,27104,27104
1618039506,27120,27120
1618041020,27060,27060
1618042313,26976,26976
1618043672,26950,26950
1618046721,26913,26913
1618048139,26828,26828
1618050305,26766,26766
1618051723,26573,26573
1618053039,26507,26507
1618054505,26448,26448
1618055601,26482,26482
1618056752,26352,26352
1618058068,26284,26284
1618059460,26317,26317
1618060956,7967,7967
1618062415,26231,26231
1618063876,26224,26224
1618066205,26211,26211
1618067592,26130,26130
1618068844,26060,26060
1618071906,26067,26067
1618073406,26003,26003
1618074614,25988,25988
1618076043,25959,25959
1618077432,25987,25987
1618079645,25948,25948
1618080770,25964,25964
1618082704,25981,25981
1618083875,25943,25943
1618085950,25967,25967
1618086843,25928,25928
1618088026,25945,25945
1618089904,25945,25945
1618090445,25891,25891
1618091859,25914,25914
1618093185,25910,25910
1618094044,25877,25877
1618095282,25903,25903
1618097103,25834,25834
1618098323,25764,25764
1618099944,25825,25825
1618101244,25783,25783
1618102531,25792,25792
1618104305,25778,25778
1618105790,25727,25727
1618107747,25738,25738
1618109403,25723,25723
1618112044,25642,25642
1618115643,25592,25592
1618117034,25635,25635
1618118703,25616,25616
1618119244,25539,25539
1618120437,25518,25518
1618121943,25499,25499
1618122843,25423,25423
1618124280,25478,25478
1618125903,25393,25393
1618126444,25347,25347
1618127797,25378,25378
1618128937,25362,25362
1618130999,25348,25348
1618132248,25334,25334
1618133643,25318,25318
1618135609,25302,25302
1618137244,25305,25305
1618138420,25316,25316
1618140303,25307,25307
1618140844,25183,25183
1618144443,25142,25142
1618146173,25084,25084
1618147504,25122,25122
1618148660,25069,25069
1618149890,25046,25046
1618151643,25070,25070
1618153415,25063,25063
1618154704,25105,25105
1618156205,25047,25047
1618158304,25092,25092
1618159803,25049,25049
1618161253,25075,25075
1618162443,25105,25105
1618164748,24997,24997
1618166043,24880,24880
1618167342,24909,24909
1618169104,24926,24926
1618169646,24866,24866
1618172605,24899,24899
1618173242,24886,24886
1618174861,24898,24898
1618176161,24958,24958
1618176843,24931,24931
1618180444,24861,24861
1618184914,24867,24867
1618187571,24841,24841
1618188677,24853,24853
1618189916,24835,24835
1618191243,24819,24819
1618193212,24820,24820
1618194718,24819,24819
1618197173,24861,24861
1618199560,24875,24875
1618200932,24890,24890
1618202336,24907,24907
1618204256,7967,7967
1618205670,24909,24909
1618207437,24914,24914
1618209185,24903,24903
1618210495,24955,24955
1618211700,24930,24930
1618215478,24908,24908
1618217459,24944,24944
1618218610,24900,24900
1618220085,24895,24895
1618221347,24927,24927
1618222582,24935,24935
1618223809,24918,24918
1618225168,7967,7967
1618226276,25027,25027
1618228347,25209,25209
1618229940,25231,25231
1618231990,25206,25206
1618233293,25218,25218
1618235292,25218,25218
1618236714,25215,25215
1618238044,25217,25217
1618239298,25239,25239
1618240737,25243,25243
1618242389,7967,7967
1618243910,25246,25246
1618246320,25241,25241
1618247868,25276,25276
1618249189,25281,25281
1618250545,25297,25297
1618253210,25391,25391
1618254326,25391,25391
1618256059,25396,25396
1618259646,25425,25425
1618260838,25466,25466
1618262006,25452,25452
1618263243,25432,25432
1618266843,25482,25482
1618269733,25518,25518
1618270448,25505,25505
1618272742,25519,25519
1618274050,25585,25585
1618276562,25574,25574
1618277644,25561,25561
1618280538,25611,25611
1618282221,25637,25637
1618284846,25660,25660
1618285984,25696,25696
