DateTime,AddedIPs,RemovedIPs
1616587521,10,4
1616589287,10,5
1616590599,3,1
1616592330,2,2
1616592879,1,3
1616594676,167,13
1616595938,10,11
1616597116,9,6
1616598432,3,1
1616600075,6,5
1616601217,2,1
1616602342,2,3
1616603679,5,1
1616607279,15,13
1616608598,1,2
1616610879,7,19
1616613579,3,13
1616615443,4,4
1616617309,2,1
1616618078,2,5
1616620883,12,9
1616623140,3,4
1616624339,0,2
1616625283,5,3
1616627517,6,4
1616628897,4,2
1616630922,4,6
1616632480,3,2
1616634535,1,18
1616637043,0,13
1616638177,0,9
1616640788,9,8
1616642720,10,5
1616643281,2,4
1616645436,6,6
1616649943,7,10
1616650477,2,2
1616651970,2,9
1616653538,5,4
1616654988,5,3
1616656248,3,1
1616658364,8,7
1616659630,6,3
1616662179,9,6
1616663854,8,5
1616664855,2,3
1616666113,2,1
1616667264,7,0
1616668475,4,7
1616669662,11,3
1616671250,2,4
1616672082,3,5
1616674410,26,31
1616676366,9,8
1616678217,8,4
1616679283,8,7
1616680470,4,1
1616681664,4,5
1616682879,2,0
1616684737,3,10
1616685936,8,1
1616687440,6,6
1616688916,2,3
1616690067,4,3
1616691193,5,3
1616694638,7,11
1616696192,5,3
1616697509,2,4
1616698642,4,4
1616700920,4,5
1616703461,6,4
1616705061,2,4
1616706215,5,2
1616707540,2,0
1616709036,6,8
1616710726,8,4
1616711676,5,1
1616713650,3,12
1616718335,9,22
1616719842,2,3
1616722483,5,26
1616725196,9,2
1616726085,3,1
1616727480,2,1
1616729141,3,1
1616729683,0,2
1616733286,11,0
1616736882,5,1
1616738927,9,0
1616740058,4,0
1616740482,1,1
1616743536,18,2
1616745040,5,1
1616746980,4,0
1616747679,1,1
1616749547,6,6
1616750762,5,3
1616752102,1,4
1616753238,2,5
1616754879,8,0
1616756043,3,1
1616757362,5,2
1616758480,2,3
1616760838,5,7
1616762085,4,5
1616764452,4,5
1616766077,8,5
1616768680,3,3
1616770242,3,4
1616772369,4,4
1616773847,3,8
1616775923,8,1
1616777280,5,17
1616780082,11,7
1616782839,10,2
1616784012,6,2
1616785451,23,3
1616788243,37,6
1616789591,4,8
1616790873,4,2
1616793684,10,4
1616794483,7,3
1616796338,7,8
1616797535,3,6
1616799043,7,2
1617359674,1702,607
1617362757,8,4
1617364240,0,7
1617366339,1,6
1617366886,3,2
1617368811,8,7
1617369940,5,1
1617371292,6,30
1617372843,11,12
1617374078,5,17
1617377142,7,16
1617377671,0,5
1617379199,5,12
1617380635,7,1
1617381279,2,2
1617383060,3,9
1617384874,7,8
1617387942,6,11
1617390656,8,12
1617392082,3,6
1617395685,6,12
1617397543,5,6
1617399277,4,8
1617401294,3,4
1617404605,9,11
1618003550,2074,1359
1618010748,19,105
1618014937,12,89
1618016663,2,35
1618021455,25,64
1618022611,2,32
1618029889,29,176
