DateTime,Entries,UniqueIPs
1617381279,1802,1802
1617383060,1796,1796
1617384874,1795,1795
1617387942,1790,1790
1617390656,1786,1786
1617392082,1783,1783
1617395685,1777,1777
1617397543,1776,1776
1617399277,1772,1772
1617401294,1771,1771
1617404605,1769,1769
1617993224,2604,2604
1617996070,2593,2593
1617999966,2547,2547
1618001174,2510,2510
1618003550,2484,2484
1618007171,2440,2440
1618007768,2421,2421
1618009042,2417,2417
1618010748,2398,2398
1618012254,2366,2366
1618013470,2349,2349
1618014937,2321,2321
1618016663,2288,2288
1618017924,2296,2296
1618019459,2256,2256
1618021455,2249,2249
1618022611,2219,2219
1618025176,2186,2186
1618026643,2129,2129
1618029889,2072,2072
1618031812,2045,2045
1618035541,1985,1985
1618037161,1949,1949
1618039547,1931,1931
1618041053,1906,1906
1618042367,1880,1880
1618043715,1855,1855
1618046758,1820,1820
1618048177,1772,1772
1618050354,1729,1729
1618051745,1602,1602
1618053085,1566,1566
1618054538,1523,1523
1618056525,1464,1464
1618058111,1416,1416
1618059591,1383,1383
1618060967,1385,1385
1618062448,1332,1332
1618063905,1314,1314
1618066240,1285,1285
1618067621,1257,1257
1618068877,1225,1225
1618071951,1204,1204
1618073437,1167,1167
1618074642,1151,1151
1618076076,1136,1136
1618077462,1140,1140
1618079677,1143,1143
1618080800,1148,1148
1618082741,1160,1160
1618083906,1163,1163
1618085982,1171,1171
1618086875,1166,1166
1618088061,1171,1171
1618089940,1173,1173
1618091887,1171,1171
1618093225,1179,1179
1618094078,1179,1179
1618095313,1187,1187
1618097141,1185,1185
1618098353,1177,1177
1618099976,1176,1176
1618101279,1168,1168
1618102562,1167,1167
1618104341,1166,1166
1618105828,1165,1165
1618107780,1176,1176
1618109440,1174,1174
1618112077,1175,1175
1618115678,1186,1186
1618117063,1195,1195
1618118736,1207,1207
1618119276,1206,1206
1618120473,1203,1203
1618121985,1207,1207
1618122877,1200,1200
1618124361,1201,1201
1618125934,1209,1209
1618126477,1211,1211
1618127825,1216,1216
1618128975,1220,1220
1618131055,1222,1222
1618132276,1219,1219
1618133671,1219,1219
1618135642,1218,1218
1618137281,1214,1214
1618140335,1222,1222
1618140875,1213,1213
1618144477,1212,1212
1618146237,1210,1210
1618147536,1220,1220
1618148688,1216,1216
1618149924,1214,1214
1618151684,1217,1217
1618153447,1219,1219
1618154739,1228,1228
1618156238,1234,1234
1618158336,1254,1254
1618159833,1245,1245
1618161280,1248,1248
1618162476,1251,1251
1618164775,1111,1111
1618166072,1014,1014
1618169139,1025,1025
1618169679,1015,1015
1618173275,1014,1014
1618175211,1024,1024
1618176880,1026,1026
1618180479,1046,1046
1618184945,1055,1055
1618187611,1041,1041
1618188716,1044,1044
1618189945,1047,1047
1618191278,1043,1043
1618193286,1044,1044
1618194779,1047,1047
1618197212,1052,1052
1618199590,1056,1056
1618200970,1055,1055
1618202368,1060,1060
1618204324,1063,1063
1618205710,1063,1063
1618207515,1063,1063
1618209223,1063,1063
1618210529,1066,1066
1618211736,1065,1065
1618215514,1075,1075
1618217503,1090,1090
1618218674,1089,1089
1618220142,1078,1078
1618221378,1079,1079
1618222638,1076,1076
1618223842,1073,1073
