DateTime,AddedIPs,RemovedIPs
1616624318,5,1
1616625272,7,13
1616627473,9,10
1616628874,4,6
1616630911,8,7
1616632468,7,5
1616634523,1,20
1616637024,0,19
1616638163,0,14
1616639641,0,1146
1616640776,1159,0
1616642703,0,1159
1616643269,1155,0
1616645420,15,12
1616649932,16,23
1616650466,2,3
1616651949,4,14
1616653526,8,2
1616654977,3,9
1616656234,0,1140
1616658346,1145,0
1616659619,4,4
1616662168,19,13
1616663840,9,10
1616664844,0,1150
1616666099,1150,0
1616667247,7,1
1616668464,11,12
1616669643,13,4
1616671230,3,9
1616672071,4,12
1616674395,26,18
1616676347,9,10
1616678201,10,8
1616679270,10,8
1616680454,6,1
1616681650,5,9
1616682865,7,6
1616684726,3,9
1616685925,6,0
1616687425,7,12
1616688901,9,6
1616690060,0,1161
1616691179,1159,0
1616693124,10,4
1616694627,8,13
1616696177,6,9
1616697490,3,5
1616698631,4,5
1616700902,7,14
1616703448,15,9
1616705043,5,10
1616706194,8,6
1616707528,3,0
1616709025,8,11
1616710714,10,8
1616711666,6,8
1616713638,9,11
1616715264,6,22
1616717109,9,10
1616718324,9,0
1616719829,6,2
1616722472,10,27
1616725180,17,2
1616726068,4,0
1616727468,3,0
1616729128,10,0
1616729671,2,0
1616732496,0,1161
1616733273,1180,0
1616736869,8,0
1616738916,14,1
1616740042,5,0
1616740468,3,0
1616743524,25,0
1616745026,9,0
1616746969,5,0
1616747666,2,1
1616749527,8,6
1616750739,10,0
1616752081,4,11
1616753216,3,7
1616754867,11,7
1616756032,6,1
1616757348,6,5
1616758466,7,9
1616760825,13,7
1616762074,8,8
1616764441,13,13
1616766066,13,15
1616768666,19,4
1616770231,11,5
1616772358,6,7
1616773835,7,13
1616775911,12,4
1616777260,6,25
1616780069,21,14
1616782825,16,8
1616783943,5,7
1616785436,30,14
1616786608,32,0
1616788225,9,15
1616789577,3,7
1616790862,7,9
1616793668,26,11
1616794469,7,10
1616796327,7,11
1616797524,8,2
1616799029,8,5
1617359663,2335,1001
1617362743,11,6
1617364228,8,14
1617366328,11,7
1617366868,3,4
1617368800,14,18
1617369926,5,1
1617371277,9,39
1617372831,14,9
1617374065,13,37
1617377131,24,32
1617377658,0,2610
1617379182,2598,0
1617380624,9,1
1617381268,11,18
1617383046,7,14
1617384863,20,18
1617387931,20,16
1617390009,21,21
1617392071,16,14
1617395673,15,40
1617397529,10,6
1617399266,21,13
1617401279,11,4
1617404569,17,26
1617993201,2443,1972
1618003536,42,183
1618010735,19,119
1618014922,11,99
1618016374,2,35
1618017903,0,2694
1618021437,2649,0
1618022595,2,35
1618024035,8,49
1618025159,6,0
1618029877,15,140
1618031798,4,34
1618037147,18,137
1618039534,8,38
1618041038,4,32
1618042348,4,35
1618043696,5,31
1618048162,16,105
1618051730,0,2103
1618053078,1870,0
1618054527,3,53
1618056514,8,79
1618058091,7,58
1618059573,8,42
1618060956,0,1664
1618062432,1605,0
1618063894,3,22
1618066229,8,42
1618067610,11,57
1618068866,8,41
1618073425,20,90
1618074631,12,29
1618076063,5,27
