DateTime,Entries,UniqueIPs
1618001155,10913,10913
1618003536,10882,10882
1618007154,10832,10832
1618007749,10809,10809
1618009027,10803,10803
1618010735,10782,10782
1618012242,10742,10742
1618013455,10724,10724
1618014922,10694,10694
1618016374,10661,10661
1618017903,7967,7967
1618019442,10624,10624
1618021437,10616,10616
1618022595,10583,10583
1618024035,10542,10542
1618025159,10548,10548
1618026629,10489,10489
1618028357,10467,10467
1618029877,10423,10423
1618031798,10393,10393
1618035515,10317,10317
1618037147,10274,10274
1618039534,10244,10244
1618041038,10216,10216
1618042348,10185,10185
1618043696,10159,10159
1618046740,10123,10123
1618048162,10070,10070
1618050331,10021,10021
1618051730,7967,7967
1618053078,9837,9837
1618054527,9787,9787
1618056514,9716,9716
1618058091,9665,9665
1618059573,9631,9631
1618060956,7967,7967
1618062432,9572,9572
1618063894,9553,9553
1618066229,9519,9519
1618067610,9473,9473
1618068866,9440,9440
1618071937,9417,9417
1618073425,9370,9370
1618074631,9353,9353
1618076063,9331,9331
1618077450,9333,9333
1618079666,9317,9317
1618080788,9321,9321
1618082728,9331,9331
1618083892,9328,9328
1618085970,9334,9334
1618086863,9326,9326
1618088044,9328,9328
1618089928,9328,9328
1618090465,9313,9313
1618091876,9320,9320
1618093209,9323,9323
1618094065,9318,9318
1618095301,9324,9324
1618097124,9322,9322
1618098341,9309,9309
1618099964,9307,9307
1618101267,9294,9294
1618102549,9293,9293
1618104329,9289,9289
1618105808,9285,9285
1618107767,9293,9293
1618109425,9288,9288
1618112064,9277,9277
1618115666,9285,9285
1618117051,9295,9295
1618118725,9303,9303
1618119265,9298,9298
1618120460,9293,9293
1618121970,9294,9294
1618122864,9284,9284
1618124346,9276,9276
1618125923,9283,9283
1618126466,9285,9285
1618127814,9288,9288
1618128960,9290,9290
1618131034,9286,9286
1618132265,9279,9279
1618133660,9274,9274
1618135625,9256,9256
1618137264,9248,9248
1618138438,9245,9245
1618140323,9251,9251
1618140863,9224,9224
1618144463,9220,9220
1618146216,9197,9197
1618147525,9207,9207
1618148676,9189,9189
1618149909,9181,9181
1618151670,9184,9184
1618153435,9186,9186
1618154727,9194,9194
1618156225,9201,9201
1618158325,9221,9221
1618159822,9212,9212
1618161270,9215,9215
1618162464,9218,9218
1618164764,9078,9078
1618166060,8981,8981
1618167354,7967,7967
1618169127,8992,8992
1618169666,8982,8982
1618173263,8981,8981
1618175200,8991,8991
1618176867,8993,8993
1618180467,9013,9013
1618184933,9022,9022
1618187590,9008,9008
1618188699,9011,9011
1618189933,9014,9014
1618191264,9010,9010
1618193245,9010,9010
1618194747,9014,9014
1618197194,9019,9019
1618199577,9023,9023
1618200952,9022,9022
1618202354,9026,9026
1618204300,9030,9030
1618205693,9030,9030
1618207468,9030,9030
1618209203,9030,9030
1618210515,9033,9033
1618211722,9032,9032
1618215500,9042,9042
1618217490,9057,9057
1618218641,9056,9056
1618220130,9045,9045
1618221365,9046,9046
1618222622,9043,9043
1618223827,9040,9040
1618225168,7967,7967
1618226294,9099,9099
1618228367,9239,9239
1618229975,9270,9270
1618232022,9268,9268
1618233311,9268,9268
1618235319,9270,9270
1618236741,9266,9266
1618238066,9256,9256
1618239314,7967,7967
1618240756,9265,9265
1618242391,9254,9254
1618243937,9251,9251
1618246339,9251,9251
1618247904,9254,9254
1618249210,9253,9253
1618250582,9245,9245
1618253277,9245,9245
1618254513,9242,9242
1618256088,9240,9240
1618259680,9240,9240
1618260840,7967,7967
1618262049,9236,9236
1618263263,9226,9226
1618266864,9232,9232
1618269756,9239,9239
1618270471,9240,9240
1618272759,9241,9241
1618274068,9251,9251
1618276586,9251,9251
1618277667,9239,9239
1618280656,9243,9243
1618282269,9246,9246
1618284867,9242,9242
1618286003,9249,9249
1618288104,9251,9251
1618289557,9235,9235
1618290758,9237,9237
1618293025,9243,9243
1618295327,9247,9247
1618296566,9239,9239
1618299263,9225,9225
1618301930,9224,9224
1618302866,9220,9220
1618303997,9218,9218
1618305912,9217,9217
1618306462,9208,9208
1618308891,9208,9208
1618310043,7967,7967
1618312564,9199,9199
1618313662,9192,9192
1618315578,7967,7967
1618317263,9184,9184
1618320128,9183,9183
1618321835,9181,9181
1618324468,9169,9169
1618325982,9162,9162
1618327145,9163,9163
1618328063,9154,9154
1618331664,9153,9153
1618332935,9152,9152
1618334540,9149,9149
1618336224,9138,9138
1618338862,9129,9129
1618340935,9132,9132
1618342506,9126,9126
1618345286,9129,9129
1618347027,9128,9128
1618348260,9119,9119
1618349663,9108,9108
1618351622,9105,9105
1618353268,9100,9100
1618355055,9094,9094
1618356861,9093,9093
1618360464,9080,9080
1618361663,9075,9075
1618363018,9078,9078
1618364064,9075,9075
1618368427,9062,9062
1618371269,9060,9060
1618374862,9063,9063
1618377509,9067,9067
1618379227,9066,9066
1618380541,9071,9071
1618381850,9063,9063
1618383031,9060,9060
1618384437,9056,9056
1618385833,9049,9049
1618388113,9052,9052
1618389350,9058,9058
1618391192,9061,9061
1618393176,9070,9070
1618394738,9069,9069
1618396466,8965,8965
1618400065,8822,8822
1618402024,8821,8821
1618403576,8824,8824
1618406540,8819,8819
1618408221,8815,8815
1618410392,8815,8815
1618411823,8818,8818
1618413002,8815,8815
1618414463,8808,8808
1618418062,8797,8797
1618419478,8797,8797
1618421363,7967,7967
1618421664,8793,8793
1618424250,8789,8789
1618425263,8787,8787
1618427126,8785,8785
1618428326,8790,8790
1618429575,8785,8785
1618433479,8788,8788
1618434757,8782,8782
1618436062,8780,8780
1618437899,8774,8774
1618439663,8769,8769
1618442723,8766,8766
1618444068,8755,8755
1618445271,8745,8745
1618446866,8732,8732
1618450466,8757,8757
1618454064,8819,8819
1618455568,8832,8832
1618457125,8859,8859
1618457649,7967,7967
1618460732,8905,8905
1618462224,8928,8928
1618463588,8926,8926
1618464863,8941,8941
1618468464,8994,8994
1618470617,9029,9029
1618472525,9067,9067
1618475042,9120,9120
1618475666,9125,9125
1618477585,9154,9154
1618478724,9177,9177
1618480230,9198,9198
1618482325,9232,9232
1618484165,9251,9251
1618485598,9274,9274
1618487528,9308,9308
1618488811,9324,9324
1618491024,9354,9354
1618492582,9366,9366
1618494490,9376,9376
1618495835,9391,9391
1618497117,9399,9399
1618498423,9608,9608
1618501988,9672,9672
1618503959,9675,9675
1618504463,9677,9677
1618505574,9677,9677
1618507620,9678,9678
1618508893,9681,9681
1618511565,9706,9706
1618514469,9729,9729
1618516228,9725,9725
1618517510,9727,9727
1618519820,9742,9742
1618521095,9753,9753
1618522461,9758,9758
1618523651,9762,9762
1618525522,9772,9772
1618527027,9773,9773
1618529668,9782,9782
1618530955,9795,9795
1618532324,9799,9799
1618533269,9798,9798
1618534655,9817,9817
1618537822,9835,9835
1618539477,9850,9850
1618541424,9862,9862
1618545022,9873,9873
1618547131,9876,9876
1618548625,9867,9867
1618550726,9892,9892
1618552224,9900,9900
1618553776,9910,9910
1618554863,9919,9919
1618556475,9929,9929
1618558721,9931,9931
1618559848,9975,9975
1618561230,9975,9975
1618563347,9976,9976
1618565410,9979,9979
1618565662,9983,9983
1618567041,9990,9990
1618568720,9996,9996
1618573163,10019,10019
1618574350,10023,10023
1618577424,10027,10027
1618578932,10031,10031
1618581025,10034,10034
1618582715,10040,10040
1618584630,10039,10039
1618587264,10038,10038
1618588876,10037,10037
1618591819,10037,10037
1618593286,10037,10037
1618594461,10030,10030
1618595620,10029,10029
1618599024,10020,10020
1618601662,10016,10016
1618603859,10015,10015
1618606221,10013,10013
1618608594,10010,10010
1618609827,10011,10011
1618611132,10008,10008
1618612463,10007,10007
1618614082,10004,10004
1618616066,10006,10006
1618618449,9997,9997
1618620253,9979,9979
1618621451,9937,9937
1618622784,9938,9938
1618624069,9887,9887
1618625699,9870,9870
1618626864,9845,9845
1618628508,9821,9821
1618630464,9782,9782
1618632802,9747,9747
1618634068,9722,9722
1618638619,9643,9643
1618639786,9621,9621
1618641394,9597,9597
1618644864,9564,9564
1618646479,9534,9534
1618648466,9504,9504
1618651470,9480,9480
1618653026,9441,9441
1618654629,9432,9432
1618656622,9393,9393
1618658338,9372,9372
1618659262,9345,9345
1618661877,9319,9319
1618662863,9307,9307
1618664124,9309,9309
1618666897,9311,9311
1618668056,9286,9286
1618671797,9324,9324
1618673496,9337,9337
1618675359,9356,9356
1618678268,9376,9376
1618681120,9377,9377
1618683193,9374,9374
1618685425,9391,9391
1618688063,9393,9393
1618690802,9398,9398
1618691667,9394,9394
1618693302,9401,9401
1618695262,9409,9409
1618697536,9430,9430
1618698868,9440,9440
1618701100,9435,9435
1618702469,9427,9427
1618704736,9424,9424
1618705854,9409,9409
1618707022,9407,9407
1618709664,9381,9381
1618710997,9383,9383
1618713041,9360,9360
1618714297,9360,9360
1618715944,9354,9354
1618720531,9320,9320
1618724198,9296,9296
1618727172,9286,9286
1618730094,9228,9228
1618731529,9214,9214
1618734905,9195,9195
1618739574,9184,9184
1618742236,9171,9171
1618751914,9142,9142
1618753080,9138,9138
1618756736,9146,9146
1618757854,9145,9145
1618761146,9121,9121
1618762626,8953,8953
1618763666,8940,8940
1618765524,8949,8949
1618767261,8960,8960
1618768397,8962,8962
1618771100,8983,8983
1618774464,9075,9075
1618778429,9151,9151
1618780231,7967,7967
1618781654,9194,9194
1618784251,9191,9191
1618785605,9187,9187
1618788855,9185,9185
1618791269,9179,9179
1618792549,9173,9173
1618795581,9171,9171
1618797292,9167,9167
1618799124,9165,9165
1618801128,9164,9164
1618802632,9162,9162
1618803260,9160,9160
1618806167,9159,9159
1618809475,9158,9158
1618810454,9156,9156
1618813988,9143,9143
1618815566,9099,9099
1618821215,9093,9093
1618823249,9092,9092
1618824855,9089,9089
1618826068,9088,9088
1618827519,9086,9086
1618828701,9081,9081
1618832004,9076,9076
1618833179,9075,9075
1618834301,9073,9073
1618835673,9056,9056
1618837543,9029,9029
1618839569,8995,8995
1618841478,8975,8975
1618843646,8947,8947
1618844817,8933,8933
1618847457,8912,8912
1618849556,8896,8896
1618852155,8855,8855
1618855158,8809,8809
1618859363,8775,8775
1618861846,8752,8752
1618864511,8724,8724
1618866405,8704,8704
1618869810,8662,8662
1618871767,8649,8649
1618873922,8628,8628
1618879701,8613,8613
1618881227,8611,8611
1618882435,8606,8606
1618886387,8598,8598
1618888417,8595,8595
1618890330,8592,8592
1618893305,8585,8585
1618895755,8578,8578
1618897844,8572,8572
1618901451,8565,8565
