DateTime,AddedIPs,RemovedIPs
1616518421,0,2
1616519564,2,2
1616520876,4,2
1616522135,3,4
1616523530,7,1
1616524477,3,1
1616526884,9,7
1616528752,6,7
1616530563,10,8
1616531680,3,2
1616534740,12,7
1616536005,4,3
1616538880,5,14
1616542484,20,16
1616544303,3,6
1616546078,10,4
1616547711,10,5
1616582081,9,28
1616583761,7,5
1616585677,11,10
1616587523,8,3
1616589289,9,6
1616590602,7,6
1616592334,13,7
1616592881,1,0
1616594678,2,9
1616595940,1,4
1616597129,1,7
1616598434,2,5
1616600077,2,7
1616601218,3,4
1616602346,5,1
1616603681,2,2
1616607281,7,13
1616608600,4,1
1616610881,10,4
1616613581,8,8
1616615445,4,1
1616617311,6,4
1616618080,2,5
1616620887,13,6
1616623142,5,10
1616624342,1,4
1616625285,3,3
1616627520,11,3
1616628901,3,4
1616630924,4,6
1616632482,1,9
1616634537,2,3
1616638180,0,1
1616640790,16,9
1616642722,17,15
1616643283,5,7
1616645439,32,13
1616649945,6,20
1616650479,2,5
1616651971,1,5
1616653540,4,2
1616654990,1,4
1616656258,1,7
1616658371,2,8
1616659632,5,8
1616662181,11,7
1616663856,27,6
1616664857,4,7
1616666115,6,7
1616667267,9,4
1616668477,4,2
1616669663,3,4
1616671253,8,7
1616672084,1,4
1616674411,10,5
1616676368,7,8
1616678223,32,12
1616679285,7,8
1616680471,3,3
1616681666,7,8
1616682880,3,5
1616684747,15,7
1616685938,2,11
1616687442,2,5
1616688928,9,7
1616690069,4,3
1616691201,5,4
1616694640,12,12
1616696194,2,13
1616697511,1,7
1616698644,0,2
1616700929,3,16
1616703463,48,7
1616705065,1,13
1616706236,1,4
1616707542,2,8
1616709038,7,7
1616710728,5,8
1616711678,5,5
1616713652,28,12
1616718337,31,16
1616719844,7,5
1616722485,525,10
1616725198,14,70
1616726087,4,18
1616727482,6,19
1616729150,4,21
1616729685,0,7
1616732499,11,46
1616733288,0,14
1616736885,16,39
1616738929,0,29
1616740060,2,13
1616740484,2,4
1616743538,8,50
1616745042,3,11
1616746982,0,26
1616747681,0,5
1616749549,11,17
1616750765,8,13
1616752105,9,10
1616753241,4,7
1616754881,11,10
1616756045,2,8
1616757377,1,17
1616758482,2,5
1616760841,12,15
1616762087,3,12
1616764454,14,23
1616766079,5,14
1616768682,15,20
1616770244,3,9
1616772371,2,11
1616773855,3,7
1616775925,9,15
1616777282,3,4
1616780084,7,10
1616782841,7,9
1616784013,6,10
1616785467,5,10
1616788246,21,17
1616789597,11,3
1616790875,6,12
1616793688,7,19
1616794485,7,4
1616796340,32,11
1616797537,49,12
1616799046,11,22
1617359676,124,333
1617362759,15,5
1617364242,2,6
1617366341,7,5
1617366889,3,2
1617368813,4,7
1617369942,2,2
1617371302,5,5
1617372845,8,2
1617374080,3,4
1617377144,9,6
1617377673,3,1
1617379257,5,11
1617380637,4,5
1617381281,3,5
1617383067,5,3
1617384876,3,1
1617387944,13,9
1617390659,13,15
1617392084,3,3
1617395687,12,11
1617397548,2,9
1617399279,13,8
1617401299,7,10
1617404612,10,10
1618003558,171,134
1618010752,26,29
1618014953,16,19
1618016667,3,6
1618021465,6,19
1618022615,2,2
1618029897,24,11
1618031829,6,6
1618037165,26,19
1618039551,5,10
1618041062,5,6
1618042372,1,6
1618043721,13,4
1618048178,9,13
1618051754,7,12
1618053089,7,4
1618054540,5,7
1618056533,7,4
1618058116,6,5
1618059595,8,8
1618060969,1,3
1618062450,1,3
1618063907,9,1
1618066242,8,8
1618067623,4,3
1618068879,8,7
1618073439,19,16
1618074644,2,5
1618076078,10,4
1618077464,5,4
1618080806,3,11
1618088065,12,17
1618089942,5,3
1618091936,4,4
1618093228,6,4
1618095315,6,5
1618097142,2,4
1618099977,6,10
1618101281,1,5
1618102566,3,2
1618104343,9,2
1618112079,24,22
1618115680,8,8
1618117065,5,2
1618118738,0,5
1618119277,2,5
1618121987,8,8
1618124363,9,6
1618125936,5,6
1618127830,4,5
1618128978,0,5
1618131059,18,9
