DateTime,AddedIPs,RemovedIPs
1616618061,32,54
1616620861,114,62
1616623084,103,89
1616624313,58,45
1616625267,26,59
1616627492,69,69
1616628870,47,69
1616630908,56,79
1616632466,66,65
1616634520,13,75
1616637021,0,63
1616638161,0,84
1616640774,152,72
1616643264,194,138
1616645413,99,105
1616649924,193,167
1616650461,16,69
1616651944,49,96
1616653522,74,8
1616654975,49,126
1616658342,116,145
1616659616,64,44
1616662165,101,120
1616663835,58,98
1616666096,70,133
1616667240,38,74
1616668460,53,104
1616669641,44,31
1616671223,39,57
1616672062,21,72
1616674388,71,98
1616676343,70,125
1616678193,66,75
1616679264,32,96
1616680448,41,46
1616681644,41,51
1616682861,37,81
1616684721,43,102
1616685920,46,4
1616687422,73,78
1616688898,61,55
1616691176,59,69
1616693119,56,52
1616694622,39,88
1616696172,43,53
1616697485,36,65
1616698628,35,26
1616700899,77,89
1616703443,76,102
1616705040,66,91
1616706184,37,63
1616707523,37,0
1616709021,40,80
1616710706,51,44
1616711659,32,58
1616713635,66,88
1616715259,48,94
1616717104,48,115
1616718320,38,3
1616719822,37,93
1616722466,79,428
1616725177,125,13
1616726062,49,2
1616727465,57,5
1616729124,68,4
1616729662,19,0
1616732494,103,13
1616733271,24,0
1616736863,137,14
1616738912,91,0
1616740035,60,1
1616740462,15,2
1616743520,164,8
1616745022,69,3
1616746965,92,0
1616747659,32,0
1616749523,72,52
1616750734,45,9
1616752076,54,76
1616753212,45,54
1616754862,51,80
1616756030,41,17
1616757346,52,58
1616758460,32,48
1616760822,69,58
1616762069,38,60
1616764439,68,72
1616766061,48,63
1616768661,84,43
1616770228,52,76
1616772355,65,39
1616773833,35,61
1616775907,56,45
1616777257,33,60
1616780062,61,78
1616782818,82,46
1616783939,27,66
1616785434,44,40
1616786604,26,30
1616788220,57,70
1616789574,27,48
1616790859,43,74
1616793665,63,64
1616794464,24,59
1616796319,66,86
1616797519,44,46
1616799023,37,80
1617359660,5622,5456
1617362736,71,58
1617364222,30,59
1617366324,57,30
1617366862,7,50
1617368797,51,47
1617369920,22,2
1617371274,28,61
1617372828,37,53
1617374060,23,52
1617377124,64,65
1617379179,49,109
1617380621,45,8
1617381263,11,41
1617383039,30,52
1617384859,35,43
1617387922,55,64
1617390001,42,114
1617391521,32,7
1617392068,7,40
1617395668,75,111
1617397525,53,48
1617399261,44,70
1617401276,43,36
1617404580,72,112
1618003528,5800,5454
1618010726,174,212
1618014916,124,176
1618016273,51,1
1618019436,87,141
1618021432,54,56
1618022590,42,73
1618024027,31,58
1618025148,28,5
1618029875,128,212
1618031791,65,47
1618037143,169,221
1618039521,71,42
1618041035,40,70
1618042342,39,88
1618043690,57,67
1618048156,135,168
1618053067,134,203
1618054522,56,65
1618056511,47,89
1618058086,51,50
1618059475,53,25
1618062430,113,103
1618063892,37,36
1618066224,60,41
1618067607,44,68
1618068862,31,58
1618073421,116,97
1618074629,29,26
1618076058,35,44
1618077448,32,12
1618080787,86,91
1618085967,129,132
1618088042,43,69
1618089923,43,50
1618090460,10,48
1618093203,65,60
1618095298,49,61
1618097120,37,102
1618099960,126,115
1618101263,23,51
1618102547,29,20
1618104324,30,44
1618112061,179,301
1618115661,73,127
1618117049,27,5
1618118720,36,65
1618119261,11,66
1618121966,45,71
1618124294,56,61
1618125920,28,101
1618127812,38,81
1618128958,36,60
1618131029,81,98
1618133658,70,111
1618135624,52,59
1618137259,36,40
1618138436,26,20
1618140860,53,163
1618144458,90,108
1618146208,43,74
1618149907,84,112
1618153431,111,114
1618158321,116,114
1618161268,75,95
1618164762,108,62
1618169661,106,154
1618173261,111,92
1618176176,90,49
1618176863,21,42
1618188693,275,320
1618189931,29,45
1618194740,126,131
1618200949,166,149
1618202350,47,63
1618205687,93,106
1618209200,124,99
1618211720,74,61
1618217488,158,177
1618218631,26,54
1618223823,145,151
1618226292,79,54
1618229970,102,104
1618235311,133,188
1618236738,35,34
1618247900,320,286
1618249205,36,40
1618254509,147,591
1618256086,67,40
1618259663,152,83
1618262044,103,46
1618266861,179,121
1618282251,519,409
1618284865,125,67
1618285999,37,3
1618288088,70,42
1618289553,63,55
1618295310,206,116
1618305897,443,311
1618306460,30,42
1618312560,203,132
1618317259,176,135
1618321828,157,100
1618324465,93,90
1618327141,84,48
1618331660,107,121
1618332933,33,23
1618334526,44,36
1618336220,55,63
1618338858,65,70
1618342505,80,105
1618347022,121,101
1618349659,81,90
1618351617,74,42
1618353264,54,44
1618360460,170,194
1618361659,28,26
1618363017,29,35
1618368441,146,203
1618374859,187,214
1618379226,157,144
1618380539,42,45
1618381837,29,46
1618383027,31,19
1618388109,205,130
1618391189,109,102
1618393174,54,62
1618396462,107,113
1618400062,118,119
1618402019,86,45
1618403559,43,49
1618408217,127,120
1618410378,46,36
1618414460,108,151
1618418059,82,106
1618419477,37,17
1618421661,43,77
1618427122,141,135
1618429567,87,64
1618434756,150,132
1618436058,41,40
1618437896,49,60
1618444062,147,170
1618445265,34,37
1618455563,402,316
1618457121,38,6
1618463582,165,259
1618464858,29,50
1618470613,185,187
1618475037,177,148
1618475663,15,84
1618477580,75,67
1618478719,37,7
1618482321,96,119
1618484163,56,79
1618487526,68,115
1618494488,172,244
1618498420,126,110
1618503956,147,125
1618504459,18,35
1618505572,23,30
1618507617,51,34
