DateTime,Entries,UniqueIPs
1617993183,15874,15874
1617996052,15902,15902
1617999948,15901,15901
1618001152,15856,15856
1618003528,15871,15871
1618007146,15837,15837
1618007741,15819,15819
1618009022,15832,15832
1618010726,15833,15833
1618012233,15796,15796
1618013445,15786,15786
1618014916,15781,15781
1618016273,15831,15831
1618019436,15777,15777
1618021432,15775,15775
1618022590,15744,15744
1618024027,15717,15717
1618025148,15740,15740
1618026624,15704,15704
1618028351,15705,15705
1618029875,15656,15656
1618031791,15674,15674
1618035508,15690,15690
1618037143,15622,15622
1618039521,15651,15651
1618041035,15621,15621
1618042342,15572,15572
1618043690,15562,15562
1618046736,15564,15564
1618048156,15529,15529
1618050323,15518,15518
1618053067,15460,15460
1618054522,15451,15451
1618056511,15409,15409
1618058086,15410,15410
1618059475,15438,15438
1618062430,15448,15448
1618063892,15449,15449
1618066224,15468,15468
1618067607,15444,15444
1618068862,15417,15417
1618071933,15435,15435
1618073421,15436,15436
1618074629,15439,15439
1618076058,15430,15430
1618077448,15450,15450
1618079663,15430,15430
1618080787,15445,15445
1618082723,15456,15456
1618083890,15422,15422
1618085967,15442,15442
1618086859,15412,15412
1618088042,15416,15416
1618089923,15409,15409
1618090460,15371,15371
1618091873,15386,15386
1618093203,15376,15376
1618094062,15347,15347
1618095298,15364,15364
1618097120,15299,15299
1618098338,15250,15250
1618099960,15310,15310
1618101263,15282,15282
1618102547,15291,15291
1618104324,15277,15277
1618105805,15227,15227
1618107764,15228,15228
1618109421,15216,15216
1618112061,15155,15155
1618115661,15101,15101
1618117049,15123,15123
1618118720,15094,15094
1618119261,15039,15039
1618120455,15034,15034
1618121966,15013,15013
1618122859,14985,14985
1618124294,15008,15008
1618125920,14935,14935
1618126461,14889,14889
1618127812,14892,14892
1618128958,14868,14868
1618131029,14851,14851
1618132263,14822,14822
1618133658,14810,14810
1618135624,14803,14803
1618137259,14799,14799
1618138436,14805,14805
1618140320,14781,14781
1618140860,14695,14695
1618144458,14677,14677
1618146208,14646,14646
1618147522,14669,14669
1618148675,14634,14634
1618149907,14618,14618
1618151664,14616,14616
1618153431,14615,14615
1618154721,14641,14641
1618156222,14587,14587
1618158321,14617,14617
1618159819,14586,14586
1618161268,14597,14597
1618162460,14618,14618
1618164762,14643,14643
1618166059,14620,14620
1618169122,14635,14635
1618169661,14595,14595
1618172622,14620,14620
1618173261,14614,14614
1618176176,14655,14655
1618176863,14634,14634
1618180463,14637,14637
1618184931,14607,14607
1618187587,14583,14583
1618188693,14589,14589
1618189931,14573,14573
1618191261,14557,14557
1618193236,14562,14562
1618194740,14568,14568
1618197188,14593,14593
1618199575,14600,14600
1618200949,14585,14585
1618202350,14569,14569
1618205687,14556,14556
1618207457,14574,14574
1618209200,14581,14581
1618210510,14619,14619
1618211720,14594,14594
1618215496,14554,14554
1618217488,14575,14575
1618218631,14547,14547
1618220113,14525,14525
1618221362,14546,14546
1618222613,14554,14554
1618223823,14541,14541
1618226292,14566,14566
1618228364,14588,14588
1618229970,14564,14564
1618232014,14527,14527
1618233308,14523,14523
1618235311,14509,14509
1618236738,14510,14510
1618238060,14503,14503
1618240752,14517,14517
1618243931,14532,14532
1618246335,14533,14533
1618247900,14544,14544
1618249205,14540,14540
1618250565,14551,14551
1618253271,14233,14233
1618254509,14096,14096
1618256086,14123,14123
1618259663,14192,14192
1618262044,14249,14249
1618263260,14245,14245
1618266861,14307,14307
1618269750,14347,14347
1618270468,14342,14342
1618272757,14365,14365
1618274065,14412,14412
1618276581,14330,14330
1618277663,14336,14336
1618280584,14392,14392
1618282251,14417,14417
1618284865,14475,14475
1618285999,14509,14509
1618288088,14537,14537
1618289553,14545,14545
1618290757,14549,14549
1618293021,14584,14584
1618295310,14635,14635
1618296557,14654,14654
1618299258,14643,14643
1618301929,14704,14704
1618302861,14698,14698
