DateTime,Entries,UniqueIPs
1616423686,1087,1087
1616425068,1088,1088
1616427290,1089,1089
1616428769,1087,1087
1616430346,1089,1089
1616430879,1090,1090
1616431988,1089,1089
1616433942,1091,1091
1616438079,1092,1092
1616441508,1092,1092
1616443739,1091,1091
1616446668,1092,1092
1616448352,1093,1093
1616452481,1093,1093
1616454216,1094,1094
1616455543,1095,1095
1616456088,1096,1096
1616457788,1094,1094
1616460659,1092,1092
1616462747,1093,1093
1616465882,1095,1095
1616468389,1098,1098
1616470485,1096,1096
1616472780,1097,1097
1616477149,1098,1098
1616479082,1098,1098
1616483252,1096,1096
1616484891,1095,1095
1616490715,1094,1094
1616492081,1095,1095
1616495143,1096,1096
1616497485,1096,1096
1616499288,1091,1091
1616501350,1090,1090
1616503850,1089,1089
1616506484,1088,1088
1616509545,1087,1087
1616513146,1086,1086
1616514289,1085,1085
1616517286,1087,1087
1616519567,1086,1086
1616520880,1085,1085
1616523535,1083,1083
1616524480,1081,1081
1616526887,1079,1079
1616528756,1077,1077
1616531682,1076,1076
1616536008,1077,1077
1616538883,1073,1073
1616542488,1069,1069
1616546081,1069,1069
1616547728,1066,1066
1616582084,1045,1045
1616583777,1030,1030
1616585681,1029,1029
1616587526,1029,1029
1616589292,1027,1027
1616590607,1028,1028
1616592339,1028,1028
1616592884,1026,1026
1616594681,1038,1038
1616595942,1040,1040
1616597132,1036,1036
1616598437,1035,1035
1616601221,1034,1034
1616602349,1034,1034
1616607283,1030,1030
1616610884,1020,1020
1616613584,1014,1014
1616615448,1011,1011
1616617313,1014,1014
1616618083,1013,1013
1616625288,1012,1012
1616627523,1013,1013
1616628907,1013,1013
1616630927,1013,1013
1616632485,1012,1012
1616634539,1011,1011
1616637049,1009,1009
1616638183,1004,1004
1616640793,1007,1007
1616642725,1010,1010
1616643286,1010,1010
1616645442,1011,1011
1616649948,1012,1012
1616651979,1011,1011
1616653542,1010,1010
1616656264,1009,1009
1616658376,1008,1008
1616659635,1007,1007
1616662184,1008,1008
1616663858,1007,1007
1616664860,1006,1006
1616667272,1005,1005
1616668480,1004,1004
1616669666,1005,1005
1616671259,1006,1006
1616672087,1004,1004
1616678226,1005,1005
1616679288,1005,1005
1616680474,1003,1003
1616681668,1002,1002
1616682884,1003,1003
1616684750,1003,1003
1616685941,1005,1005
1616687445,1005,1005
1616688936,1004,1004
1616694643,1003,1003
1616696197,1002,1002
1616697514,1000,1000
1616700932,999,999
1616703466,1000,1000
1616705068,999,999
1616706244,998,998
1616710730,1000,1000
1616713655,1001,1001
1616715279,999,999
1616717131,996,996
1616718340,997,997
1616722489,1005,1005
1616726090,1006,1006
1616729153,1007,1007
1616740063,1008,1008
1616740486,1009,1009
1616745045,1010,1010
1616746985,1012,1012
1616752111,1011,1011
1616754884,1008,1008
1616757388,1007,1007
1616764457,1008,1008
1616766082,1007,1007
1616772374,1005,1005
1616773857,1003,1003
1616777285,1003,1003
1616782844,1002,1002
1616784021,1004,1004
1616786622,1006,1006
1616790878,1005,1005
1616793691,1005,1005
1616794488,1004,1004
1616796343,1003,1003
1616799048,1001,1001
1617359679,987,987
1617364246,986,986
1617371311,987,987
1617379663,986,986
1617383088,985,985
1617390662,984,984
1617395691,983,983
1617397551,982,982
1617404636,979,979
1617993262,1004,1004
1617996080,1005,1005
1618001194,1005,1005
1618003568,1008,1008
1618007182,1010,1010
