DateTime,Entries,UniqueIPs
1616716836,1152,1162
1616718723,1145,1155
1616720654,1150,1160
1616722583,1158,1169
1616724491,1161,1171
1616726403,1164,1176
1616728341,1169,1180
1616730247,1167,1178
1616732175,1167,1176
1616734099,1171,1181
1616736013,1171,1181
1616737926,1177,1187
1616739865,1168,1178
1616741764,1168,1178
1616745856,1141,1153
1616747787,1166,1178
1616749948,1158,1172
1616751849,1155,1169
1616753781,1139,1156
1616755685,1148,1166
1616757616,1164,1182
1616759540,1161,1178
1616761445,1167,1184
1616763382,1167,1184
1616765310,1175,1191
1616767232,1206,1222
1616769124,1211,1227
1616771052,1213,1229
1616772981,1204,1220
1616775145,1199,1215
1616777049,1196,1216
1616778966,1196,1216
1616780902,1197,1217
1616782805,1188,1208
1616784728,1186,1207
1616786661,1190,1210
1616788567,1198,1218
1616790504,1195,1214
1616792418,1171,1190
1616794327,1174,1194
1616798169,1173,1192
1616800330,1181,1198
1617360201,50,50
1617363160,78,78
1617364980,108,108
1617366989,122,122
1617368897,155,155
1617370830,192,192
1617372734,217,217
1617374654,252,253
1617376590,274,275
1617378486,293,294
1617382327,321,322
1617384248,351,353
1617386180,371,373
1617388086,402,404
1617390033,433,435
1617391942,448,450
1617395766,467,469
1617397704,494,497
1617399609,522,525
1617403464,541,544
1617405377,564,567
1617996249,106,106
1617998166,153,153
1618002015,228,229
1618003924,253,256
1618007765,315,318
1618011846,375,378
1618013765,404,409
1618017605,467,472
1618019523,496,501
1618023365,553,560
1618025287,583,591
1618029130,635,645
1618031053,649,659
1618034886,709,719
1618038724,761,775
1618040646,776,790
1618044485,827,841
1618046404,856,870
1618050246,918,937
1618052166,935,954
1618056015,978,997
1618057926,1002,1021
1618061766,1042,1064
1618063685,1061,1083
1618067524,1109,1131
1618069444,1131,1153
1618075203,1174,1201
1618079057,1210,1236
1618080964,1222,1247
1618082886,1223,1249
1618086724,1214,1238
1618088652,1203,1226
1618092487,1215,1244
1618094405,1211,1235
1618098245,1239,1261
1618100166,1245,1268
1618104007,1223,1253
1618105923,1236,1266
1618109767,1201,1225
1618111687,1217,1241
1618115528,1219,1248
1618117452,1221,1245
1618121287,1221,1243
1618123203,1246,1270
1618127047,1250,1272
1618128963,1280,1304
1618132803,1273,1297
1618134725,1276,1300
1618138564,1281,1306
1618140486,1302,1328
1618144324,1287,1314
1618146252,1291,1318
1618152008,1282,1307
1618155845,1273,1296
1618157769,1291,1316
1618161609,1305,1329
1618163525,1333,1360
1618167363,1335,1363
1618169288,1305,1331
1618173125,1332,1358
1618175052,1351,1377
1618178885,1359,1384
1618180806,1343,1366
1618188007,1309,1334
1618189927,1305,1327
1618199525,1305,1322
1618201449,1290,1308
1618205287,1308,1322
1618207208,1317,1331
1618211052,1312,1325
1618212967,1322,1334
1618216806,1314,1324
1618218728,1323,1333
1618222574,1352,1361
1618224486,1356,1365
1618228329,1349,1361
1618230249,1376,1389
1618234089,1384,1397
1618236084,1393,1406
1618239856,1418,1431
1618241774,1413,1426
1618245849,1414,1429
1618247767,1408,1423
1618251610,1388,1403
1618253550,1384,1399
1618257367,1375,1390
1618259285,1381,1396
1618263130,1391,1407
1618268889,1347,1364
1618270809,1368,1385
1618274649,1334,1353
1618276565,1323,1341
1618280406,1326,1345
1618282335,1349,1368
1618286167,1351,1368
1618288089,1345,1361
1618291927,1317,1333
1618293855,1303,1319
1618297714,1296,1311
1618299608,1290,1305
1618305374,1250,1262
1618309206,1217,1231
1618311126,1231,1244
1618314966,1237,1249
1618316889,1243,1255
1618320732,1243,1255
1618322654,1236,1248
1618326495,1232,1244
1618328426,1227,1240
1618332248,1234,1246
1618334173,1203,1214
1618338012,1219,1231
1618339928,1243,1256
1618343770,1224,1238
1618345693,1213,1228
1618349527,1213,1228
1618351456,1214,1229
1618355291,1206,1222
1618357206,1224,1242
1618359146,1220,1239
1618361046,1238,1257
1618362968,1222,1242
1618364901,1251,1272
1618366818,1235,1255
1618368726,1261,1281
1618370662,1259,1279
1618372570,1223,1242
1618374489,1252,1275
1618376435,1259,1281
1618378327,1266,1287
1618380254,1275,1295
1618382183,1269,1289
1618384092,1278,1299
1618386008,1263,1283
1618387941,1272,1291
1618389850,1265,1284
1618391766,1285,1304
1618393703,1279,1298
1618395639,1280,1300
1618397528,1274,1291
1618399463,1300,1317
1618401368,1270,1286
1618403286,1292,1309
1618405301,1244,1261
1618407127,1257,1274
1618409063,1225,1242
1618410987,1214,1231
1618412896,1219,1238
1618414806,1237,1256
1618416744,1214,1233
1618418648,1215,1234
1618420572,1240,1259
1618422502,1238,1256
1618424416,1213,1230
1618426327,1240,1258
1618428267,1229,1247
1618430170,1224,1239
1618434012,1187,1200
1618435932,1190,1205
1618437868,1176,1192
1618439773,1206,1223
1618441692,1211,1228
1618443628,1198,1217
1618445526,1219,1240
1618447451,1190,1211
1618449382,1193,1215
1618451291,1214,1236
1618453209,1213,1235
1618455146,1191,1212
1618457046,1209,1231
1618458970,1211,1234
1618460905,1182,1201
1618462826,1212,1231
1618464727,1219,1238
1618466917,1190,1209
1618468809,1197,1217
1618470734,1201,1220
1618472670,1197,1218
1618474568,1184,1205
1618476500,1184,1207
1618478409,1185,1208
1618480325,1193,1216
1618482264,1194,1215
1618484165,1202,1223
1618486087,1206,1227
1618488037,1216,1236
1618491857,1205,1224
1618493782,1212,1230
1618495945,1207,1225
1618497850,1227,1245
1618499765,1223,1241
1618501701,1231,1249
1618503606,1236,1254
1618505529,1242,1258
1618507472,1232,1249
1618509367,1235,1249
1618511285,1242,1256
1618513239,1242,1257
1618515127,1250,1266
1618517056,1259,1275
1618518983,1280,1296
1618520888,1270,1286
1618522806,1262,1280
1618524743,1255,1274
1618526648,1261,1280
1618528567,1256,1275
1618530502,1261,1277
1618532408,1259,1277
1618534329,1258,1279
1618538166,1249,1269
1618540087,1241,1262
1618542035,1249,1271
1618543925,1254,1276
1618545855,1246,1267
1618547782,1241,1262
1618549688,1221,1242
1618551610,1222,1243
1618553540,1213,1234
1618555448,1207,1228
1618557367,1207,1227
1618559300,1215,1237
1618561206,1217,1239
1618565062,1203,1223
1618566967,1200,1220
1618568889,1211,1229
1618570829,1226,1245
1618572728,1230,1250
1618574655,1217,1238
1618576582,1239,1262
1618578491,1231,1252
1618580407,1243,1264
1618582340,1272,1293
1618584246,1278,1299
1618586167,1254,1274
1618588101,1281,1301
1618590009,1268,1288
1618591929,1293,1315
1618593863,1278,1304
1618595767,1282,1308
1618597691,1255,1278
1618599628,1280,1304
1618601543,1261,1283
1618603696,1249,1271
1618605620,1265,1289
1618607530,1259,1283
1618609451,1260,1284
1618611381,1266,1291
1618613285,1263,1288
1618615214,1271,1297
1618617144,1262,1288
1618619048,1266,1292
1618620964,1263,1288
1618622900,1280,1307
1618624825,1270,1297
1618626725,1271,1298
1618628667,1266,1292
1618634647,1235,1258
1618636581,1233,1257
1618638484,1228,1252
1618640645,1231,1255
1618642566,1235,1259
1618644501,1235,1258
1618646431,1240,1263
1618648328,1231,1254
1618650267,1251,1274
1618652168,1243,1267
1618654329,1236,1260
1618656263,1222,1246
1618658168,1198,1222
1618660328,1197,1222
1618662275,1200,1225
1618664180,1191,1217
1618666086,1178,1203
1618668261,1167,1192
1618670171,1155,1180
1618672358,1161,1186
1618674246,1144,1169
1618678102,1113,1133
1618680008,1104,1124
1618681926,1097,1117
1618685766,1075,1093
1618687685,1077,1097
1618689625,1081,1101
1618691531,1071,1090
1618693455,1053,1071
1618695383,1051,1069
1618697288,1043,1059
1618699207,1041,1055
1618701140,1040,1056
1618703046,1025,1040
1618704966,1031,1047
1618706901,1022,1039
1618708805,1028,1044
1618710725,1027,1044
1618712660,1028,1045
1618714566,1023,1040
1618716726,1025,1044
1618718654,1042,1061
1618720582,1065,1084
1618722487,1062,1081
1618724425,1050,1071
1618726328,1054,1075
1618728246,1048,1069
1618730188,1037,1058
1618732089,1031,1052
1618734032,1030,1050
1618735943,1042,1060
1618737845,1027,1046
1618739765,1032,1051
1618741701,1034,1055
1618745525,1016,1034
1618748541,1021,1039
1618751236,992,1009
1618753210,988,1005
1618755129,982,999
1618757064,980,999
1618758967,976,995
1618761126,996,1015
1618763054,1019,1038
1618764991,1027,1046
1618766885,1031,1050
1618768840,1029,1048
1618770726,1045,1064
1618772654,1042,1061
1618774585,1042,1058
1618776486,1032,1047
1618778405,1041,1057
1618780344,1042,1058
1618782246,1042,1058
1618784410,1046,1062
1618786329,1043,1062
1618788261,1048,1066
1618790171,1059,1076
1618792330,1053,1072
1618794502,1067,1086
1618796405,1064,1084
1618798340,1070,1090
1618800247,1065,1086
1618802187,1066,1086
1618804101,1061,1078
1618806007,1062,1080
1618807924,1074,1092
1618809865,1080,1098
1618811767,1089,1107
1618813972,1080,1098
1618815869,1098,1117
1618817768,1101,1121
1618819932,1104,1124
1618821850,1113,1133
1618823782,1117,1136
1618825686,1131,1150
1618827610,1124,1142
1618829543,1136,1153
1618831445,1157,1174
1618833365,1166,1184
1618835302,1168,1188
1618837235,1196,1217
1618839124,1182,1203
1618841082,1183,1204
1618842967,1184,1205
1618845127,1190,1211
1618847047,1186,1212
1618849220,1175,1200
1618851131,1178,1203
1618853048,1161,1186
1618854982,1161,1184
1618856886,1168,1192
1618859062,1143,1169
1618860983,1165,1191
1618862891,1146,1170
1618864808,1154,1176
1618866749,1156,1179
1618868647,1155,1178
1618870813,1161,1183
1618872726,1188,1211
1618876567,1174,1195
1618878731,1149,1168
1618880898,1170,1189
1618882806,1158,1176
1618884742,1128,1144
1618886653,1129,1146
1618888580,1142,1159
1618890491,1136,1153
1618892423,1098,1113
1618894347,1099,1119
1618896245,1122,1142
1618898169,1100,1120
1618902026,1119,1139
1618903943,1101,1121
1618905860,1103,1122
1618908013,1097,1114
1618909926,1089,1106
1618911864,1087,1103
1618913780,1082,1097
1618916060,1067,1081
1618918085,1067,1080
1618920079,1053,1066
1618921942,1033,1046
1618923853,1021,1034
1618926008,1035,1048
1618927924,1026,1038
1618929867,1030,1040
1618931766,1020,1029
1618933928,1026,1035
1618935847,1035,1044
1618937781,1031,1039
1618939937,1026,1034
1618941859,1022,1030
1618943784,1016,1025
1618945691,1014,1023
1618947606,1018,1028
1618949545,1014,1024
1618951446,1025,1035
1618955527,1020,1034
1618957465,1024,1038
1618959367,1024,1037
1618961529,1038,1051
1618963454,1023,1038
1618965382,1026,1042
1618967290,1045,1062
1618969447,1017,1035
1618971612,1017,1037
1618973527,1038,1057
1618975491,1038,1058
1618977368,1038,1059
1618979535,1045,1066
1618981518,1027,1050
1618983373,1019,1042
1618985301,1028,1051
1618987210,1036,1059
1618989128,1031,1053
1618991064,1044,1066
1618992965,1042,1064
1618995133,1052,1074
1618997050,1062,1084
1618998988,1080,1102
1619000884,1096,1121
