DateTime,AddedIPs,RemovedIPs
1616251702,9,0
1616253607,9,12
1616255527,10,8
1616259367,14,19
1616261309,11,5
1616263235,15,18
1616265127,7,13
1616267058,12,0
1616268984,10,12
1616270895,5,5
1616272812,14,16
1616276648,14,9
1616278565,11,11
1616280503,6,10
1616282407,11,12
1616286262,14,33
1616288166,14,16
1616290088,14,11
1616292032,8,0
1616293927,10,12
1616295854,4,12
1616297783,17,25
1616299695,6,0
1616301628,10,28
1616303541,13,0
1616305446,10,14
1616307371,8,21
1616313142,19,39
1616316968,21,14
1616318902,16,34
1616320860,20,0
1616322973,12,19
1616325128,7,15
1616327051,12,12
1616330887,10,19
1616332835,13,18
1616334727,16,13
1616336647,16,12
1616338583,15,2
1616340528,17,10
1616342442,6,9
1616344344,14,10
1616346254,13,15
1616348168,19,12
1616350110,6,12
1616352983,7,26
1616354908,5,13
1616358741,14,28
1616360654,13,17
1616362571,16,14
1616364487,7,0
1616366405,8,7
1616368339,4,14
1616370246,5,0
1616372167,9,13
1616376004,2,28
1616377926,8,18
1616381766,8,22
1616383685,7,9
1616385633,6,0
1616387525,11,19
1616389454,10,8
1616391384,13,8
1616393286,8,16
1616395209,7,14
1616397139,5,8
1616399049,3,21
1616400982,7,15
1616402885,11,24
1616406741,7,25
1616408645,13,15
1616410562,9,9
1616412504,15,11
1616414481,21,12
1616416324,13,16
1616418266,18,12
1616420167,7,12
1616422088,12,10
1616424019,20,10
1616425926,12,0
1616427852,9,7
1616429785,14,9
1616431685,11,8
1616433604,8,13
1616435540,11,7
1616437451,13,4
1616439382,10,7
1616441301,8,9
1616445125,9,20
1616447052,10,0
1616448986,13,0
1616450886,10,9
1616452808,20,6
1616454984,12,15
1616456889,13,13
1616458807,11,3
1616460741,12,0
1616462645,12,17
1616464581,17,9
1616468659,11,18
1616470566,18,9
1616472503,6,9
1616474404,18,9
1616476324,15,14
1616478263,13,7
1616480168,11,8
1616482086,11,11
1616484013,11,14
1616485925,26,16
1616487864,16,12
1616489764,22,12
1616491928,13,0
1616493855,16,12
1616495783,14,15
1616497686,18,14
1616499609,22,7
1616501541,21,5
1616503447,9,12
1616505366,16,11
1616507300,17,13
1616509215,21,7
1616511125,16,9
1616513062,15,0
1616514964,11,17
1616516884,17,15
1616518841,11,21
1616520725,12,15
1616522650,10,6
1616524593,13,13
1616528406,16,21
1616530342,10,7
1616534165,20,15
1616536102,12,7
1616538264,17,8
1616540165,23,6
1616542086,17,7
1616544033,14,10
1616545926,12,9
1616548099,8,5
1616550297,21,16
1616552185,14,11
1616554089,9,9
1616556347,18,15
1616558166,16,9
1616560088,12,11
1616562141,10,0
1616564165,11,9
1616566086,15,2
1616568022,5,16
1616569925,16,0
1616571849,15,18
1616573785,10,18
1616575688,8,0
1616577608,7,0
1616579541,10,20
1616581444,13,22
1616583364,16,0
1616585300,16,9
1616587230,16,9
1616589125,11,4
1616592967,18,7
1616595130,21,6
1616597067,12,23
1616598966,15,0
1616601130,16,9
1616603048,9,16
1616604984,17,0
1616606885,13,17
1616608821,11,5
1616610725,6,5
1616612655,13,7
1616614585,11,11
1616616778,17,2
1616618646,7,6
1616620584,13,9
1616622489,11,0
1616624407,9,10
1616626343,15,8
1616628248,8,6
1616630180,5,7
1616632087,14,8
1616634025,8,8
1616635928,5,14
1616637852,8,9
1616639785,12,14
1616641687,5,14
1616643610,7,8
1616645545,10,0
1616647452,8,11
1616649383,11,5
1616651288,13,7
1616653204,18,9
1616655129,13,8
1616657063,13,21
1616658972,15,13
1616662841,16,17
1616664725,17,14
1616666660,10,9
1616668573,7,0
1616672406,16,19
1616674327,9,10
1616676262,12,7
1616678174,7,12
1616682043,12,25
1616684167,13,12
1616686085,13,15
1616688061,8,15
1616689934,13,11
1616691868,13,11
1616693770,13,8
1616695688,12,17
1616697626,16,8
1616699529,9,6
1616701465,11,10
1616703390,16,7
1616705305,15,7
1616707247,8,11
1616711063,12,11
1616712967,6,10
1616714886,11,12
1616716836,6,14
1616718723,11,14
1616720654,6,9
1616722583,9,12
1616724491,8,0
1616726403,12,11
1616728341,10,9
1616730247,6,11
1616732175,15,18
1616734099,10,14
1616736013,5,17
1616737926,13,9
1616739865,6,15
1616741764,11,12
1616745856,11,32
1616747787,13,18
1616749948,13,16
1616751849,11,23
1616753781,10,23
1616755685,13,16
1616757616,8,14
1616759540,11,9
1616761445,10,11
1616763382,17,15
1616765310,10,11
1616767232,13,12
1616769124,10,13
1616771052,11,14
1616772981,10,3
1616775145,12,13
1616777049,6,17
1616778966,18,9
1616780902,7,9
1616782805,7,7
1616784728,12,4
1616786661,15,9
1616788567,16,5
1616790504,12,11
1616792418,0,9
1616794327,14,5
1616798169,13,18
