DateTime,AddedIPs,RemovedIPs
1616251702,34,38
1616253607,32,33
1616255527,37,34
1616259367,49,43
1616261309,46,46
1616263235,39,42
1616265127,39,42
1616267058,36,31
1616268984,47,45
1616270895,17,23
1616272812,47,40
1616276648,42,46
1616278565,38,44
1616280503,42,35
1616282407,41,38
1616286262,47,46
1616288166,50,43
1616290088,47,50
1616292032,40,45
1616293927,37,44
1616295854,23,23
1616297783,44,42
1616299695,27,30
1616301628,46,38
1616303541,45,47
1616305446,34,48
1616307371,36,32
1616313142,44,42
1616316968,48,40
1616318902,47,46
1616320860,48,49
1616322973,35,46
1616325128,29,32
1616327051,46,32
1616330887,32,44
1616332835,40,29
1616334727,44,45
1616336647,43,42
1616338583,32,43
1616340528,41,30
1616342442,44,43
1616344344,35,46
1616346254,30,28
1616348168,49,36
1616350110,18,37
1616352983,41,28
1616354908,25,42
1616358741,46,28
1616360654,48,44
1616362571,50,50
1616364487,36,39
1616366405,43,43
1616368339,28,46
1616370246,22,28
1616372167,29,23
1616376004,23,29
1616377926,24,26
1616381766,17,24
1616383685,22,18
1616385633,19,23
1616387525,33,19
1616389454,29,34
1616391384,38,28
1616393286,24,35
1616395209,42,25
1616397139,35,42
1616399049,24,36
1616400982,25,24
1616402885,27,22
1616406741,30,29
1616408645,36,27
1616410562,28,36
1616412504,39,30
1616414481,55,38
1616416324,40,50
1616418266,42,37
1616420167,36,50
1616422088,42,32
1616424019,55,48
1616425926,35,48
1616427852,29,33
1616429785,37,30
1616431685,33,39
1616433604,32,33
1616435540,40,33
1616437451,34,38
1616439382,44,35
1616441301,34,46
1616445125,33,35
1616447052,27,30
1616448986,51,34
1616450886,32,38
1616452808,45,41
1616454984,44,45
1616456889,48,44
1616458807,36,34
1616460741,48,50
1616462645,41,45
1616464581,49,43
1616468659,46,48
1616470566,45,46
1616472503,21,32
1616474404,42,36
1616476324,36,39
1616478263,31,38
1616480168,41,29
1616482086,45,43
1616484013,48,44
1616485925,57,51
1616487864,51,60
1616489764,58,47
1616491928,46,58
1616493855,60,46
1616495783,52,60
1616497686,54,53
1616499609,55,56
1616501541,53,51
1616503447,43,53
1616505366,43,42
1616507300,46,43
1616509215,45,50
1616511125,55,46
1616513062,51,53
1616514964,39,48
1616516884,46,43
1616518841,58,48
1616520725,45,58
1616522650,35,33
1616524593,41,41
1616528406,39,41
1616530342,43,40
1616534165,51,48
1616536102,33,34
1616538264,51,47
1616540165,52,54
1616542086,50,48
1616544033,45,49
1616545926,44,48
1616548099,30,25
1616550297,48,46
1616552185,39,48
1616554089,48,41
1616556347,49,47
1616558166,43,47
1616560088,36,41
1616562141,46,39
1616564165,37,43
1616566086,48,45
1616568022,36,47
1616569925,41,32
1616571849,49,41
1616573785,41,48
1616575688,36,40
1616577608,33,35
1616579541,43,38
1616581444,45,45
1616583364,47,44
1616585300,40,46
1616587230,36,37
1616589125,40,35
1616592967,48,43
1616595130,43,49
1616597067,37,42
1616598966,35,36
1616601130,40,35
1616603048,31,45
1616604984,40,27
1616606885,39,40
1616608821,39,35
1616610725,36,40
1616612655,29,30
1616614585,38,35
1616616778,50,40
1616618646,32,50
1616620584,43,30
1616622489,40,44
1616624407,27,37
1616626343,39,32
1616628248,42,40
1616630180,36,39
1616632087,42,36
1616634025,37,40
1616635928,34,40
1616637852,31,27
1616639785,37,36
1616641687,20,21
1616643610,39,35
1616645545,43,40
1616647452,43,35
1616649383,32,54
1616651288,42,30
1616653204,43,43
1616655129,43,47
1616657063,37,43
1616658972,47,37
1616662841,51,46
1616664725,52,51
1616666660,30,41
1616668573,33,41
1616672406,44,30
1616674327,32,41
1616676262,40,32
1616678174,30,42
1616682043,37,30
1616684167,32,39
1616686085,45,31
1616688061,38,45
1616689934,44,39
1616691868,29,29
1616693770,36,38
1616695688,30,29
1616697626,42,42
1616699529,45,43
1616701465,41,44
1616703390,51,40
1616705305,43,53
1616707247,35,40
1616711063,53,39
1616712967,35,48
1616714886,38,33
1616716836,32,40
1616718723,35,32
1616720654,33,25
1616722583,41,43
1616724491,31,33
1616726403,33,39
1616728341,42,33
1616730247,44,38
1616732175,39,49
1616734099,41,36
1616736013,33,43
1616737926,49,39
1616739865,39,51
1616741764,41,38
1616745856,44,41
1616747787,54,48
1616749948,49,45
1616751849,37,43
1616753781,29,40
1616755685,38,29
1616757616,30,39
