DateTime,Entries,UniqueIPs
1612224085,10410,10410
1612235021,10418,10418
1612246206,10430,10430
1612257314,10435,10435
1612268197,10442,10442
1612279072,10456,10456
1612289803,10452,10452
1612300785,10460,10460
1612311996,10458,10458
1612322867,10450,10450
1612333843,10453,10453
1612344946,10462,10462
1612355843,10480,10480
1612366818,10482,10482
1612377800,10501,10501
1612388841,10503,10503
1612399951,10500,10500
1612410962,10509,10509
1612421895,10523,10523
1612432959,10539,10539
1612443873,10505,10505
1612454679,10467,10467
1612465900,10437,10437
1612476914,10413,10413
1612487965,10377,10377
1612499033,10357,10357
1612510058,10365,10365
1612521118,10346,10346
1612532150,10335,10335
1612543148,10345,10345
1612554210,10333,10333
1612565306,10342,10342
1612576326,10350,10350
1612587322,10347,10347
1612598388,10363,10363
1612609441,10361,10361
1612620420,10340,10340
1612631557,10341,10341
1612642427,10322,10322
1612653399,10307,10307
1612664330,10279,10279
1612675413,10252,10252
1612686320,10218,10218
1612697077,10157,10157
1612708076,10106,10106
1612718855,10070,10070
1612729899,10032,10032
1612740930,9978,9978
1612751993,9923,9923
1612763029,9875,9875
1612774071,9791,9791
1612785157,9716,9716
1612796077,9631,9631
1612807262,9532,9532
1612818157,9419,9419
1612829312,9322,9322
1612840581,9216,9216
1612851610,9147,9147
1612862645,9068,9068
1612873689,8982,8982
1612884754,8885,8885
1612895751,8786,8786
1612906800,8644,8644
1612917601,8510,8510
1612928604,8398,8398
1612939658,8297,8297
1612950621,8102,8102
1612961765,7922,7922
1612972776,7787,7787
1612983841,7676,7676
1612994890,7548,7548
1613005956,7422,7422
1613016916,7298,7298
1613027991,7205,7205
1613039064,7107,7107
1613050247,7000,7000
1613061196,6910,6910
1613072161,6813,6813
1613083160,6723,6723
1613094126,6657,6657
1613104879,6580,6580
1613115807,6473,6473
1613126730,6396,6396
1613137676,6332,6332
1613148711,6264,6264
1613159757,6191,6191
1613170692,6144,6144
1613181570,6077,6077
1613192427,6007,6007
1613203442,5940,5940
1613214367,5869,5869
1613225319,5819,5819
1613236319,5772,5772
1613247211,5729,5729
1613258205,5663,5663
1613269188,5622,5622
1613280201,5576,5576
1613291214,5535,5535
1613302309,5487,5487
1613313376,5453,5453
1613324269,5426,5426
1613335203,5390,5390
1613346232,5346,5346
1613357305,5305,5305
1613368282,5277,5277
1613379309,5246,5246
1613390453,5219,5219
1613401438,5201,5201
1613412374,5191,5191
1613423472,5172,5172
1613434475,5141,5141
1613445808,5119,5119
1613456715,5098,5098
1613467648,5074,5074
1613478664,5053,5053
1613489753,5027,5027
1613500697,5006,5006
1613511807,4977,4977
1613522847,4951,4951
1613533889,4956,4956
1613544939,4955,4955
1613556030,4960,4960
1613566991,4951,4951
1613578011,4970,4970
1613589118,4977,4977
1613600165,4949,4949
1613611150,4935,4935
1613622279,4916,4916
1613633282,4903,4903
1613644209,4900,4900
1613655071,4875,4875
1613666382,4849,4849
1613677454,4842,4842
1613688469,4814,4814
1613699331,4789,4789
1613710315,4773,4773
1613721391,4746,4746
1613732566,4719,4719
1613743717,4706,4706
1613754719,4685,4685
1613765710,4660,4660
1613776665,4634,4634
1613787693,4617,4617
1613798559,4605,4605
1613809682,4577,4577
1613820694,4555,4555
1613831756,4536,4536
1613842803,4511,4511
1613853564,4495,4495
1613864670,4491,4491
1613875697,4475,4475
1613886755,4444,4444
1613897760,4414,4414
1613908788,4398,4398
1613919878,4378,4378
1613931100,4359,4359
1613942026,4338,4338
1613953214,4321,4321
1613964169,4323,4323
1613975163,4314,4314
1613985991,4306,4306
1613996647,4317,4317
1614007891,4317,4317
1614018995,4295,4295
1614029884,4276,4276
1614040767,4264,4264
1614051789,4259,4259
1614062778,4257,4257
1614073692,4238,4238
1614084948,4225,4225
1614095950,4219,4219
1614106921,4200,4200
1614117691,4182,4182
1614128675,4165,4165
1614139889,4165,4165
1614150910,4158,4158
1614161951,4137,4137
1614172942,4136,4136
1614184099,4130,4130
1614195114,4122,4122
1614206089,4113,4113
1614217023,4100,4100
1614227991,4097,4097
1614239039,4094,4094
1614249895,4081,4081
1614260842,4085,4085
1614271957,4075,4075
1614282926,4060,4060
1614293909,4061,4061
1614304883,4048,4048
1614315817,4042,4042
1614327124,4033,4033
1614338155,4034,4034
1614349195,4028,4028
1614360268,4008,4008
1614371276,4008,4008
1614382275,3998,3998
1614393350,3988,3988
1614404333,3972,3972
1614415370,3961,3961
1614426482,3954,3954
1614437489,3933,3933
1614448589,3917,3917
1614459643,3901,3901
1614470140,3878,3878
1614481133,3884,3884
1614492097,3869,3869
1614503036,3848,3848
1614514079,3835,3835
1614525106,3825,3825
1614536062,3816,3816
1614547022,3807,3807
1614557875,3800,3800
1614568788,3799,3799
1614579816,3785,3785
1614590866,3786,3786
1614601948,3777,3777
1614613185,3764,3764
1614624171,3754,3754
1614635219,3748,3748
1614646215,3735,3735
1614657339,3720,3720
1614668470,3728,3728
1614679422,3717,3717
1614690483,3698,3698
1614701435,3694,3694
1614712349,3677,3677
1614723174,3646,3646
1614734062,3621,3621
1614744984,3610,3610
1614755946,3588,3588
1614767064,3581,3581
1614778059,3567,3567
1614789035,3542,3542
1614800138,3524,3524
1614810847,3508,3508
1614821920,3499,3499
1614832829,3488,3488
1614843787,3486,3486
1614854774,3473,3473
1614865645,3469,3469
1614876664,3454,3454
1614887761,3429,3429
1614898655,3421,3421
1614909571,3409,3409
1614920523,3404,3404
1614931551,3388,3388
1614942351,3372,3372
1614953280,3358,3358
1614964398,3340,3340
1614975551,3325,3325
1614986497,3300,3300
1614997441,3289,3289
