DateTime,AddedIPs,RemovedIPs
1585726808,850,25
1585740732,807,823
1585831699,500,1292
1585831928,350,1121
1585923129,863,877
1586013850,840,873
1586105290,824,829
1586197685,821,825
1586255655,805,20
1586325126,805,781
1586326359,607,32
1586348662,788,790
1586417061,834,1361
1586509017,817,1653
1586522182,839,26
1586613369,849,1659
1586705047,856,865
1586784263,500,0
1586784732,394,21
1586875467,500,919
1586876178,406,790
1586877130,424,10
1586877369,500,0
1586936902,880,17
1586978178,907,1779
1587036733,843,887
1587042502,999,1
1587111370,896,913
1587152891,910,1844
1587187933,845,25
1587279366,868,2613
1587371294,785,912
1587442570,897,13
1587456025,841,10
1587466575,900,751
1587483863,809,19
1587489158,777,26
1587507375,778,20
1587513630,729,29
1587514591,792,20
1587525620,788,20
1587534489,698,769
1587537641,781,11
1587538841,757,14
1587551538,734,759
1587553736,757,837
1587554657,769,9
1587560039,781,11
1587561144,751,14
1587630021,825,6648
1587720739,841,4921
1587812168,911,892
1587903857,500,468
1587904335,419,433
1587995569,864,934
1588087226,918,884
1588178652,938,929
1588270109,894,920
1588361590,970,900
1588452501,935,956
1588543940,945,928
1588635608,944,948
1588727302,916,924
1588818491,851,930
1588909686,903,851
1589001140,935,898
1589092810,881,928
1589183530,626,936
1589276421,897,626
1589367862,986,896
1589459070,919,969
1589550737,889,902
1589642179,853,922
1589733859,500,355
1589734567,498,500
1589824344,500,500
1589825315,458,475
1589916735,864,960
1590009153,895,856
1590102255,957,897
1590193469,880,949
1590284904,884,859
1590377353,864,858
1590468490,921,880
1590559706,848,967
1590651145,649,859
1590744021,846,655
1590835692,967,833
1590925693,942,941
1591017130,939,939
1591108333,879,923
1591199290,874,903
1591290731,946,872
1591382169,825,937
1591473370,893,828
1591564575,881,916
1591655532,849,886
1591746985,871,841
1591837928,922,866
1591928886,929,889
1591969933,860,1
1592061387,986,1839
1592152338,973,988
1592244511,936,929
1592335450,894,942
1592427131,859,879
1592518448,887,901
1592608335,498,408
1592609546,492,494
1592699547,500,498
1592699770,468,477
1592790511,837,955
1592881964,955,834
1592973873,942,943
1593064335,801,954
1593155526,963,809
1593246488,786,948
1593337450,828,792
1593428167,846,854
1593519370,872,847
1593610114,568,883
1593689556,831,0
1593711611,838,570
1593761053,860,4
1593802120,815,1585
1593893554,500,816
1593893777,473,914
1593985210,890,983
1594013051,842,4
1594104492,937,1685
1594196174,527,993
1594287616,987,525
1594356727,844,5
1594373538,842,3
1594376918,806,858
1594468565,841,2501
1594560256,885,878
1594651718,916,899
1594743615,906,945
1594824251,973,1
1594916443,963,1881
1595008330,915,971
1595099536,896,900
1595191222,918,917
1595282648,970,916
1595373854,969,980
1595423556,1,0
1595481163,954,949
1595572601,872,942
1595664038,562,914
1595755930,938,562
1595848102,910,874
1595939801,899,918
1596032171,1,955
1596033137,934,0
1596120742,860,899
1596211965,903,859
1596229250,1,0
1596298841,444,408
1596309164,500,500
1596389770,454,448
1596400812,500,501
1596480490,457,457
1596492525,500,500
1596503319,1,0
1596572005,430,424
1596583964,500,500
1596659292,442,440
1596676812,500,500
1596750011,427,429
1596763238,500,500
1596844327,488,476
1596853476,500,500
1596935051,476,486
1596944411,500,500
1597031329,500,500
1597032760,405,412
1597126123,886,919
1597217290,753,909
1597308492,503,795
1597314034,1,0
1597405452,850,504
1597409794,1,0
1597492599,975,842
1597580199,878,905
1597669240,928,897
1597760176,918,928
1597770039,899,1
1597777953,1,0
1597857606,889,1789
1597950038,865,924
1598041933,912,898
1598133366,972,918
1598192172,944,3
1598283611,837,1864
1598375300,902,871
1598467710,933,883
1598559634,970,960
1598651666,931,967
1598672161,1,0
1598744409,961,927
1598760729,880,4
1598773473,705,7
1598790967,842,6
1598812807,911,7
1598905003,835,4224
1598997887,948,872
1599039366,1,0
1599089077,651,989
1599181453,990,653
1599249613,677,0
1599271724,1,991
1599282758,823,0
1599374196,537,1501
1599465618,639,537
1599479530,990,1
1599548170,945,3
1599575797,824,1584
1599655480,931,919
1599656427,729,0
1599669421,782,878
1599761357,921,2390
1599802808,753,1
1599894755,948,1692
1599985935,574,994
1600077642,889,574
1600168811,548,889
1600260967,861,548
1600352201,818,838
1600442889,895,829
1600534350,898,877
1600625834,889,880
1600717689,946,894
1600808446,910,920
1600899612,936,966
1600991315,791,939
1601082491,836,797
1601173689,500,350
1601174197,439,456
1601265618,500,499
1601266114,477,455
1601293717,489,0
1601299208,500,0
1601386085,460,953
1601391127,500,1000
1601477527,444,454
1601482361,500,500
1601568519,456,446
1601575455,500,500
1601634038,500,0
1601637126,459,8
1601725927,500,1000
1601728327,403,864
1601817157,500,500
1601820040,473,467
1601908328,498,498
1601911217,471,477
1601999767,500,498
1602002413,498,483
1602091711,500,499
1602093874,474,498
1602182885,498,500
1602184805,401,401
1602274330,496,498
1602276728,456,439
1602365081,500,495
1602367958,462,464
1602455792,500,500
1602458887,492,486
1602547215,498,500
1602549612,495,493
1602574840,500,0
1602577451,486,2
1602665077,500,997
1602668408,483,972
1602756323,500,500
1602759852,478,482
1602848168,500,498
1602850841,468,472
1602939130,500,500
1602941532,467,467
1603031565,500,500
1603032730,479,472
1603122998,500,499
1603124170,492,494
1603213955,500,500
1603215610,496,492
1603304908,442,500
1603306333,490,496
1603396592,498,442
1603398036,486,483
1603486844,498,497
1603489447,493,491
1603577766,500,498
1603580500,487,487
1603669239,500,500
1603671610,474,489
1603759930,500,499
1603762358,478,474
1603851634,500,500
1603853527,466,464
1603942833,500,500
1603944729,454,456
1604034016,500,500
1604035953,428,428
1604124496,500,500
1604127161,444,442
1604215690,500,500
1604218355,396,484
1604306690,500,406
1604309287,490,492
1604397611,500,500
1604400249,452,460
1604489051,500,500
1604491216,479,471
1604580009,500,500
1604582408,467,475
1604670969,500,500
1604674115,439,443
1604762445,500,500
1604764570,435,436
1604853150,500,499
1604855799,498,483
1604943611,500,499
1604946258,489,497
1605035575,500,500
1605037210,466,473
1605126520,500,499
1605129397,467,467
1605217686,500,500
1605219876,450,448
1605309176,500,498
1605311557,471,471
1605400810,498,500
1605402756,459,462
1605491049,500,497
1605492971,497,485
1605582753,500,500
1605584408,458,496
1605673929,500,500
1605675370,485,450
1605764913,500,499
1605766357,471,474
1605855633,500,499
1605858249,458,466
1605947290,500,500
1605949237,466,456
1606037331,500,500
1606039930,499,497
1606128485,500,500
1606130912,497,499
1606220652,500,500
1606222330,492,493
1606311849,500,499
1606314294,483,495
1606404738,500,500
1606405703,393,398
1606495933,500,499
1606496482,449,436
1606586888,498,499
1606587373,496,492
1606678401,800,997
1606769290,905,796
1606848488,957,1
1606882355,852,876
1606973291,912,1839
1606975452,986,0
1607065956,869,1872
1607157366,573,893
1607248334,862,577
1607339053,975,842
1607429559,1000,996
1607520487,500,500
1607520966,498,499
1607611928,831,994
1607703612,930,832
1607794573,948,884
1607885804,861,977
1607976786,965,861
1608068194,1000,986
1608160098,998,998
1608250568,938,945
1608341289,966,966
1608432516,924,967
1608523238,948,902
1608614444,964,969
1608705853,973,968
1608797290,932,996
1608888492,899,932
