DateTime,AddedIPs,RemovedIPs
1615759213,35,36
1615762809,1,0
1615766410,4,0
1615770036,2,1
1615773635,2,1
1615777236,1,2
1615780809,1,1
1615784444,0,1
1615791634,0,1
1615795220,2,0
1615798809,0,2
1615802427,0,1
1615806045,2,1
1615809611,2,1
1615813211,1,2
1615816836,0,2
1615820435,2,2
1615824024,0,4
1615827627,2,2
1615831244,2,2
1615834835,1,0
1615838409,1,0
1615845609,2,3
1615849223,14,2
1615852835,27,3
1615856444,3,3
1615860009,4,2
1615863635,1,48
1615867245,0,2
1615870830,3,0
1615874427,0,10
1615878035,1,37
1615881612,0,2
1615885243,0,2
1615888835,0,1
1615892408,2,1
1615896035,1,2
1615899630,0,2
1615903238,2,1
1615906811,1,2
1615910435,0,2
1615914031,3,1
1615917632,2,2
1615921229,1,1
1615924844,1,3
1615932036,3,4
1615935636,8,3
1615939236,3,2
1615942835,5,1
1615946432,0,5
1615950010,0,1
1615953644,2,3
1615957233,1,1
1615960809,2,1
1615968031,0,1
1615975235,1,43
1615978844,2,1
1615982437,3,1
1615986037,46,2
1615989609,2,1
1615993245,1,1
1615996834,0,3
1616000445,0,2
1616004036,2,17
1616007632,0,37
1616011238,0,6
1616014811,1,2
1616018412,1,1
1616022032,2,0
1616025635,1,1
1616029246,1,2
1616032808,1,1
1616036445,3,0
1616040035,0,1
1616043616,2,0
1616050835,0,1
1616054408,2,0
1616058033,2,2
1616065235,2,2
1616068831,1,1
1616072412,1,1
1616076008,3,4
1616079612,1,1
1616083230,2,0
1616086831,2,3
1616090445,0,3
1616094045,0,1
1616097611,2,1
1616101211,2,2
1616104809,1,3
1616108433,13,1
1616112009,25,1
1616115634,1,6
1616122836,1,2
1616126434,3,2
1616130042,1,45
1616133617,0,8
1616140842,0,1
1616144433,0,3
1616148033,0,1
1616155231,0,2
1616158835,1,1
1616162409,0,3
1616166043,3,0
1616169630,0,3
1616176844,1,2
1616180442,1,1
1616184014,0,1
1616187632,2,1
1616191241,6,0
1616194841,1,0
1616198440,3,2
1616202027,0,3
1616205644,1,5
1616209233,4,3
1616212840,9,1
1616216445,9,2
1616220034,8,0
