DateTime,Entries,UniqueIPs
1615996877,27679,27679
1616000475,27695,27695
1616004044,27684,27684
1616007668,27668,27668
1616011244,27677,27677
1616014843,27685,27685
1616018477,27681,27681
1616022041,27686,27686
1616025677,27683,27683
1616029244,27697,27697
1616032876,27728,27728
1616036445,27711,27711
1616040074,27726,27726
1616043643,27734,27734
1616047278,27721,27721
1616050874,27733,27733
1616054442,27755,27755
1616058041,27777,27777
1616061644,27764,27764
1616065277,27765,27765
1616068842,27760,27760
1616072474,27743,27743
1616076074,27717,27717
1616079644,27707,27707
1616083275,27709,27709
1616086877,27687,27687
1616090440,27691,27691
1616094076,27703,27703
1616097642,27708,27708
1616101276,27728,27728
1616104841,27741,27741
1616108472,27738,27738
1616112074,27744,27744
1616115639,27769,27769
1616119242,27780,27780
1616122842,27768,27768
1616126476,27764,27764
1616130074,27763,27763
1616133674,27773,27773
1616137274,27758,27758
1616140840,27779,27779
1616144475,27779,27779
1616148075,27761,27761
1616151674,27736,27736
1616155275,27739,27739
1616158876,27714,27714
1616162442,30188,30188
1616166040,30749,30749
1616169644,30838,30838
1616173240,30824,30824
1616176869,30816,30816
1616180474,30819,30819
1616184042,30814,30814
1616187675,30849,30849
1616191271,30877,30877
1616194842,30884,30884
1616198475,30887,30887
1616202072,30900,30900
1616205642,30902,30902
1616209240,30898,30898
1616212842,30916,30916
1616216478,30941,30941
1616220078,30949,30949
1616223674,30976,30976
1616227240,30989,30989
1616230846,31003,31003
1616234474,31051,31051
1616238045,31061,31061
1616241671,31052,31052
1616245277,31055,31055
1616248841,31056,31056
1616252443,31060,31060
1616256041,31073,31073
1616259671,31091,31091
1616263241,31087,31087
1616266844,31071,31071
1616270440,31096,31096
1616274041,31133,31133
1616277679,31126,31126
1616281245,31151,31151
1616284847,31193,31193
1616288475,31207,31207
1616292041,31211,31211
1616295644,31208,31208
1616299243,31236,31236
1616302874,31256,31256
1616306443,31265,31265
1616310077,31290,31290
1616313642,31304,31304
1616317247,31302,31302
1616320872,31272,31272
1616324443,31298,31298
1616328077,31257,31257
1616331680,31278,31278
1616335246,31295,31295
1616338842,31303,31303
1616342478,31274,31274
1616346078,31232,31232
1616349672,31313,31313
1616353279,31485,31485
1616356880,31568,31568
1616360475,31623,31623
1616364079,31724,31724
1616367681,31768,31768
1616371245,31805,31805
1616374841,31803,31803
1616378446,31825,31825
1616382079,31817,31817
1616385641,31839,31839
1616389246,31846,31846
1616392842,31886,31886
1616396445,31913,31913
1616400046,31928,31928
1616403672,31916,31916
1616407246,31988,31988
1616410879,31971,31971
1616414478,31991,31991
1616418043,31983,31983
1616421679,31986,31986
1616425277,31974,31974
1616428879,31983,31983
1616432468,31972,31972
1616436077,31965,31965
1616439645,31966,31966
1616443272,31971,31971
1616446842,31991,31991
1616450447,32015,32015
1616454044,32006,32006
1616457643,32009,32009
1616461279,32002,32002
1616464846,31999,31999
1616468479,31988,31988
1616472079,32008,32008
1616475678,32007,32007
1616479245,32004,32004
1616482876,31978,31978
1616486477,31970,31970
1616490041,31947,31947
1616493679,31590,31590
1616497273,31556,31556
1616500879,31581,31581
1616504443,31578,31578
1616508077,31577,31577
1616511679,31573,31573
1616515279,31564,31564
1616518879,31549,31549
1616522443,31543,31543
1616526080,31521,31521
1616529645,31517,31517
1616533277,31512,31512
1616536846,31535,31535
1616540490,31545,31545
1616544077,31567,31567
1616547647,31600,31600
1616551280,31597,31597
1616554859,31636,31636
1616558447,31626,31626
1616562102,31646,31646
1616565646,31660,31660
1616569243,31661,31661
1616572886,31634,31634
1616576442,31624,31624
1616580071,31619,31619
1616583646,31621,31621
1616587246,31586,31586
1616590890,31550,31550
1616594494,31559,31559
1616598078,31564,31564
1616601664,31552,31552
1616605295,31560,31560
1616608878,31571,31571
1616612491,31589,31589
1616616071,31600,31600
1616619680,31611,31611
1616623258,31605,31605
1616626875,31601,31601
1616630459,31617,31617
1616634079,31608,31608
1616637676,31575,31575
1616641279,31578,31578
1616644845,31584,31584
1616648479,31589,31589
1616652100,31600,31600
1616655671,31626,31626
1616659300,31595,31595
1616662868,31593,31593
1616666471,31592,31592
1616670052,31618,31618
1616673671,31633,31633
1616677240,31659,31659
1616680900,31646,31646
1616684445,31645,31645
1616688046,31622,31622
1616691684,31622,31622
1616695275,31593,31593
1616698844,31576,31576
1616702479,31589,31589
1616706075,31586,31586
1616709657,31561,31561
1616713245,31558,31558
1616716843,31559,31559
1616720444,31535,31535
1616724075,31506,31506
1616727651,31522,31522
1616731271,31504,31504
1616734876,31499,31499
1616738479,31496,31496
1616742041,31501,31501
1616745646,31480,31480
1616749244,31500,31500
1616752842,31483,31483
1616756479,31489,31489
1616760045,31504,31504
1616763645,31525,31525
1616767276,29833,29833
1616770844,28687,28687
1616774452,28397,28397
1616778042,28412,28412
1616781675,28427,28427
1616785252,28424,28424
1616788842,28451,28451
1616792473,28447,28447
1616796074,28438,28438
1616799645,28418,28418
1617357642,27283,27283
1617361244,27280,27280
1617364870,27270,27270
1617368476,27243,27243
1617372077,27211,27211
1617375694,27185,27185
1617379249,27185,27185
1617382896,27178,27178
1617386469,27173,27173
1617390069,27201,27201
1617393700,27195,27195
1617397240,27168,27168
1617400897,27165,27165
1617404468,27181,27181
1618009270,27755,27755
1618012851,27778,27778
1618016467,27900,27900
1618020087,27896,27896
1618023690,27919,27919
1618027248,27902,27902
1618030868,27902,27902
1618034471,27897,27897
1618081276,28005,28005
1618084874,27984,27984
1618088475,27984,27984
1618092076,28008,28008
1618095687,28012,28012
1618099287,28102,28102
1618102871,28142,28142
1618106476,28121,28121
1618110069,28120,28120
1618113641,28092,28092
1618117274,28090,28090
1618120840,28077,28077
1618124476,28062,28062
1618128041,28074,28074
1618131667,28029,28029
1618135296,27992,27992
1618138876,27948,27948
1618142496,27946,27946
1618146076,27941,27941
1618149666,27943,27943
1618153299,27951,27951
1618156898,27909,27909
1618160473,27889,27889
1618164074,27869,27869
1618167702,27841,27841
1618171272,27802,27802
1618174898,27772,27772
1618178441,27731,27731
1618185699,27580,27580
1618189269,27489,27489
1618192873,27493,27493
1618196499,27467,27467
1618203698,27371,27371
1618207241,27353,27353
1618210898,27326,27326
1618214496,27338,27338
1618218098,27287,27287
1618221670,27277,27277
1618225263,27237,27237
1618228872,27175,27175
1618232489,27131,27131
1618236087,27109,27109
1618239699,27100,27100
1618243270,27075,27075
1618246870,27068,27068
1618250498,27051,27051
1618254071,27042,27042
1618257699,27017,27017
1618261270,26969,26969
1618264871,26952,26952
1618268498,26922,26922
1618272099,26895,26895
1618275670,26910,26910
1618279270,26854,26854
1618282898,26774,26774
1618286470,26777,26777
1618290098,26765,26765
1618293670,26754,26754
1618297270,26741,26741
1618300898,26706,26706
1618304500,26656,26656
1618308069,26614,26614
1618311700,26577,26577
1618315273,26550,26550
1618318885,26509,26509
1618322468,26493,26493
1618326082,26455,26455
1618329640,26426,26426
1618333264,26410,26410
1618336883,26402,26402
1618340467,26384,26384
1618344048,26197,26197
1618347696,26171,26171
1618351268,26161,26161
1618354897,26147,26147
1618358440,26096,26096
1618362045,25992,25992
1618365662,25991,25991
1618369272,25953,25953
1618372839,25930,25930
1618376476,25902,25902
1618380044,25883,25883
1618383667,25849,25849
1618387297,25811,25811
1618390873,25754,25754
1618394487,25733,25733
1618398068,25723,25723
1618401668,25714,25714
1618405266,25685,25685
1618408897,25668,25668
1618412441,25655,25655
1618416043,25657,25657
1618419680,25644,25644
1618423240,25607,25607
1618426897,25599,25599
1618430450,25595,25595
1618434066,25586,25586
1618437683,25567,25567
1618441266,25543,25543
1618444867,25534,25534
1618448483,25536,25536
1618452082,25424,25424
1618455691,25386,25386
1618459273,25351,25351
1618462867,25336,25336
1618466472,25301,25301
1618470045,25278,25278
1618473640,25233,25233
1618477273,25228,25228
1618480840,25193,25193
1618484475,25164,25164
1618488075,25141,25141
1618491643,25103,25103
1618495240,25073,25073
1618498862,25035,25035
1618502442,25019,25019
1618506039,24999,24999
1618509643,24992,24992
1618513240,24995,24995
1618516875,24982,24982
1618520440,24956,24956
1618524067,24965,24965
1618527640,24956,24956
1618531273,24947,24947
1618534843,24947,24947
1618538472,24965,24965
1618542066,24958,24958
