DateTime,AddedIPs,RemovedIPs
1618552235,77,0
1618552531,55,0
1618552840,1,0
1618553135,1,0
1618554636,16,0
1618555835,4,0
1618556131,2,0
1618558235,1,0
1618559434,1,6
1618559731,1,0
1618560633,9,0
1618561235,1,0
1618561838,3,0
1618563641,1,0
1618563935,1,0
1618564533,2,0
1618564833,1,0
1618565436,5,0
1618565733,1,0
1618566335,8,0
1618568135,3,0
1618569037,12,2
1618569939,5,0
1618570235,1,0
1618570532,1,0
1618571132,12,0
1618571735,4,0
1618572636,4,0
1618573540,7,0
1618573837,1,0
1618575336,1,0
1618576241,6,0
1618576531,2,0
1618577139,27,0
1618577434,3,0
1618578935,1,0
1618579836,1,0
1618580132,2,0
1618580739,2,0
1618582541,1,0
1618583437,4,0
1618584337,11,0
1618584636,92,0
1618584932,6,0
1618585237,58,0
1618585834,4,0
1618586136,3,0
1618587037,97,0
1618587939,6,0
1618588531,7,0
1618588840,15,0
1618589136,1,0
1618589741,2,0
1618590635,7,0
1618591538,3,0
1618592439,3,0
1618593032,1,0
1618593336,5,0
1618595137,1,0
1618595435,4,0
1618596040,1,0
1618596938,1,0
1618597233,1,0
1618598132,1,0
1618598737,2,0
1618599033,1,0
1618600832,7,0
1618602032,0,25
1618602341,1,0
1618603832,3,0
1618604433,3,0
1618605037,1,0
1618605939,2,0
1618607431,2,0
1618608034,1,0
1618608641,5,0
1618610733,1,0
1618611032,3,0
1618611631,1,0
1618612237,4,0
1618612533,1,0
1618613134,7,0
1618613436,1,0
1618614632,1,2
1618615233,2,0
1618615532,64,0
1618615835,6,0
1618616132,1,0
1618616736,5,0
1618617032,1,0
1618617334,1,0
1618618536,6,0
1618618834,1,0
1618619440,8,0
1618620336,2,0
1618620932,0,2
1618622138,2,0
1618623935,1,0
1618625431,2,0
1618625735,2,0
1618626641,1,0
1618627535,1,0
1618627835,1,0
1618629033,2,0
1618629340,3,0
1618629632,1,0
1618630237,3,0
1618631137,1,0
1618631434,6,0
1618632936,1,0
1618633233,3,0
1618633839,2,0
1618636231,1,0
1618636537,38,0
1618637438,2,0
1618638336,2,0
1618640432,4,0
1618641035,2,0
1618641634,1,0
1618642232,1,0
1618644032,4,0
1618644334,1,0
1618644636,3,0
1618645539,1,0
1618647633,2,0
1618648239,2,0
1618649136,1,0
1618651232,1,0
1618651534,1,0
1618651840,4,0
1618654232,2,0
1618654539,1,0
1618655435,3,0
1618656634,1,0
1618657834,1,0
1618659036,11,0
1618660235,13,0
1618661135,1,0
1618661737,13,0
1618662033,1,0
1618662635,7,0
1618663833,2,0
1618665336,9,0
1618666236,9,0
1618666534,1,0
1618666834,1,0
1618667137,6,0
1618667435,1,0
1618668937,1,0
1618669837,8,0
1618672538,4,0
1618673435,2,0
1618674931,1,0
1618675838,2,0
1618676433,1,0
1618677036,3,0
1618677939,1,0
1618679737,1,0
