DateTime,AddedIPs,RemovedIPs
1610805660,1024,1024
1610811061,512,512
1610847100,256,256
1610899571,1024,1024
1610904661,512,512
1610908265,512,512
1610911869,512,512
1610975749,1024,1024
1610980254,256,256
1610983856,256,256
1610991063,256,256
1610998268,256,256
1611005475,256,256
1611009081,256,256
1611019465,256,256
1611057653,1536,1536
1611063056,512,512
1611091178,256,256
1611098532,256,256
1611102462,256,256
1611162054,1280,1280
1611163859,256,256
1611169259,256,256
1611171061,256,256
1611181870,256,256
1611189085,256,256
1611192691,256,256
1611237653,1024,1024
1611243060,256,256
1611250266,256,256
1611263972,256,256
1611268288,256,256
1611279320,256,256
1611317998,1280,1280
1611321827,256,256
1611325283,256,256
1611329134,256,256
1611343894,256,256
1611354704,256,256
1611365515,256,256
1611415420,768,768
1611437538,256,256
1611490559,1536,1536
1611495068,256,256
1611501412,256,256
1611505035,256,256
1611511357,256,256
1611513148,256,256
1611516753,256,256
1611520355,256,256
1611538374,256,256
1611609382,1024,1024
1611615691,256,256
1611666628,1536,1536
1611675113,768,768
1611687686,256,256
1611689490,256,256
1611703934,256,256
1611774970,768,768
1611775914,256,256
1611783122,256,256
1611784892,256,256
1611786686,256,256
1611788485,256,256
1611790347,256,256
1611793890,256,256
1611854566,768,768
1611856857,256,256
1611862207,256,256
1611865863,256,256
1611876421,512,512
1611929703,1280,1280
1611940888,256,256
1612012808,1024,1024
1612020092,256,256
1612034718,256,256
1612041957,256,256
1612049403,256,256
1612056680,256,256
1612102503,1280,1280
1612103449,256,256
1612106552,256,256
1612121108,512,512
1612137728,256,256
1612139182,256,256
1612143073,256,256
1612189250,1536,1536
1612192843,256,256
1612200190,256,256
1612221871,256,256
1612229151,256,256
1612274993,1280,1280
1612276247,256,256
1612287056,256,256
1612290661,256,256
1612293548,256,256
1612297866,256,256
1612300725,256,256
1612354548,1024,1024
1612355763,256,256
1612359053,256,256
1612362656,256,256
1612366260,256,256
1612369441,256,256
1612372800,256,256
1612380186,256,256
1612394737,256,256
1612444503,1536,1536
1612445454,256,256
1612449057,256,256
1612466620,256,256
1612473878,256,256
1612483294,256,256
1612485085,256,256
1612486895,256,256
1612488604,512,512
1612538227,1280,1280
1612539056,256,256
1612545675,256,256
1612553084,256,256
1612567502,256,256
1612620903,1280,1280
1612625458,512,512
1612627263,256,256
1612638068,256,256
1612639336,256,256
1612650185,256,256
1612653827,256,256
1612662387,256,256
1612711187,1536,1536
1612725876,512,512
1612731668,256,256
1612733163,512,512
1612740602,256,256
1612747613,256,256
1612756954,256,256
1612790149,512,512
1612791050,256,256
1612826832,256,256
1612876551,1024,1024
1612883962,512,512
1612891248,256,256
1612898528,256,256
1612970340,512,512
1612973755,256,256
1612977685,256,256
1612981407,256,256
1612985164,256,256
1612992466,256,256
1612999633,256,256
1613052956,1024,1024
1613053849,256,256
1613056819,256,256
1613060304,256,256
1613067823,256,256
1613070063,256,256
1613071480,256,256
1613078711,256,256
1613135851,1024,1024
1613136650,256,256
1613146797,256,256
1613150480,256,256
1613158202,256,256
1613165124,256,256
1613176293,256,256
1613222303,1280,1280
1613225963,256,256
1613237892,256,256
1613241073,256,256
1613244604,256,256
1613251887,256,256
1613259118,256,256
1613312595,1536,1536
1613314860,256,256
1613315761,256,256
1613316001,256,256
1613323803,512,512
1613330864,256,256
1613399403,1280,1280
1613403049,256,256
1613406660,256,256
1613409854,256,256
1613413360,256,256
1613417220,256,256
1613420611,256,256
1613424602,256,256
1613439090,256,256
1613484950,1280,1280
1613485854,256,256
1613489004,256,256
1613492434,256,256
1613496309,256,256
1613499845,256,256
1613503804,512,512
1613510863,256,256
1613518283,256,256
1613571382,1024,1024
1613575273,256,256
1613586148,256,256
1613589995,256,256
1613654386,2304,2304
1613656855,256,256
1613669110,512,512
1613671268,1024,1024
1613672631,512,512
1613674872,256,256
1613676603,256,256
1613683803,256,256
1613694698,256,256
1613740937,768,768
1613745056,256,256
1613748660,512,512
1613755459,256,256
1613761276,256,256
1613766680,256,256
1613770288,256,256
1613777495,256,256
1613838012,1024,1024
1613841593,256,256
1613844076,256,256
1613916949,1024,1024
1613921456,256,256
1613927942,256,256
1613942671,256,256
1613946602,256,256
1613999748,1024,1024
1614000650,512,512
1614007156,256,256
1614011403,256,256
1614014388,256,256
1614036685,256,256
1614078954,2048,2048
1614079147,512,512
1614093874,512,512
1614115899,256,256
1614119403,256,256
1614123359,256,256
1614176717,256,256
1614180280,256,256
1614187580,256,256
1614191509,256,256
1614195092,256,256
1614198991,256,256
1614202301,256,256
1614207705,256,256
1614209509,256,256
1614213114,256,256
1614216715,256,256
1614266158,1280,1280
1614266489,256,256
1614281162,256,256
1614295803,256,256
1614299487,256,256
1614352552,1024,1024
1614353456,256,256
1614356397,256,256
1614367545,256,256
1614374738,256,256
1614389915,256,256
1614431863,1792,1792
1614432652,256,256
1614439131,256,256
1614453942,256,256
1614456072,256,256
1614461567,256,256
1614468684,512,512
1614521763,1536,1536
1614522653,256,256
1614524452,256,256
1614526258,256,256
1614538871,256,256
1614549680,256,256
1614604503,1536,1536
1614607266,256,256
1614609057,256,256
1614612659,256,256
1614615536,256,256
1614619867,512,512
1614622810,256,256
1614625270,256,256
1614633827,512,512
1614658638,256,256
1614659493,256,256
1614698602,1792,1792
1614706262,256,256
1614712951,256,256
1614716453,256,256
1614720054,256,256
1614727803,256,256
1614773703,1024,1024
1614778256,256,256
1614780061,256,256
1614784718,256,256
1614787274,256,256
1614788409,256,256
1614792142,512,512
1614798072,256,256
1614799569,512,512
1614806852,256,256
1614814281,256,256
1614867671,2048,2048
1614871356,256,256
1614873666,256,256
1614875463,256,256
1614878353,512,512
1614893226,256,256
1614946656,1792,1792
1614964997,256,256
1614970894,256,256
1614987109,256,256
1614994312,256,256
1615050959,768,768
1615051268,256,256
1615062120,256,256
1615066292,256,256
1615130341,768,768
1615141644,256,256
1615177050,256,256
1615177908,256,256
1615220103,512,512
1615221059,256,256
1615224604,256,256
1615253487,256,256
1615299351,1536,1536
1615300255,256,256
1615309262,256,256
1615332684,256,256
1615385751,1024,1024
1615389834,256,256
1615402866,256,256
1615404668,256,256
1615408389,256,256
1615411900,256,256
1615419085,256,256
1615420894,256,256
1615422685,256,256
1615426285,256,256
1615475752,1792,1792
1615476368,256,256
1615483859,256,256
1615489262,256,256
1615491064,256,256
1615498203,512,512
1615555348,1280,1280
1615561255,256,256
1615562644,256,256
1615573804,256,256
1615577488,256,256
1615648555,1536,1536
1615649097,256,256
1615656369,256,256
1615663804,256,256
1615665677,256,256
1615671323,256,256
1615672876,256,256
1615674714,256,256
1615678544,256,256
1615734944,768,768
1615739239,256,256
1615741250,256,256
1615753858,256,256
1615761198,256,256
1615764663,256,256
1615817732,1024,1024
1615818643,768,768
1615822204,256,256
1615825803,512,512
1615833053,256,256
1615846675,256,256
1615855167,256,256
1615901440,1024,1024
1615919453,256,256
1615948268,256,256
1615988173,768,768
1615990982,256,256
1616012632,256,256
1616016659,256,256
1616019874,256,256
1616027403,256,256
1616077842,768,768
1616160638,1536,1536
1616163763,256,256
1616167496,256,256
1616171020,256,256
1616180453,256,256
1616185858,256,256
1616192761,512,512
1616232705,256,256
1616239844,768,768
1616243760,256,256
1616245247,256,256
1616246745,256,256
1616251142,256,256
1616252454,256,256
1616257435,256,256
1616275881,256,256
1616279473,256,256
1616286693,256,256
1616333165,512,512
1616336535,256,256
1616340247,256,256
1616343615,256,256
1616347865,256,256
1616350810,512,512
1616353272,256,256
1616356891,256,256
1616358126,512,512
1616369404,256,256
1616372615,512,512
1616415739,1536,1536
1616418055,256,256
1616419858,256,256
1616423107,512,512
1616434039,256,256
1616444431,256,256
1616459507,256,256
1616466703,256,256
1616542255,1280,1280
1616603434,768,768
1616645749,256,256
1616678566,768,768
1616682135,256,256
1616689834,256,256
1616696576,256,256
1616733037,256,256
1616765492,1280,1280
1616772886,256,256
1616775772,512,512
1616778037,256,256
1616782935,512,512
1616787042,256,256
1616788844,256,256
1616790176,512,512
1616794246,256,256
1617359474,1280,1280
1617373897,1280,1280
1617377847,256,256
1617381040,256,256
1617382841,256,256
1617386443,256,256
1617388565,256,256
1617396107,256,256
1617993393,2304,2304
1617994847,256,256
1618087000,1280,1280
1618101050,256,256
1618104364,256,256
1618146052,0,0
1618155299,1280,1280
1618156833,256,256
1618158809,256,256
1618173317,256,256
1618180084,256,256
1618193978,256,256
1618234432,768,768
1618245410,256,256
1618250439,256,256
1618252432,256,256
1618259782,256,256
1618324751,1024,1024
1618329635,256,256
1618338639,256,256
1618340442,256,256
1618346251,256,256
1618351245,256,256
1618410611,1024,1024
1618417930,256,256
1618425310,256,256
1618428350,256,256
1618444855,256,256
1618493539,1792,1792
1618497045,256,256
1618504347,256,256
1618511599,256,256
1618518881,512,512
1618525848,256,256
1618582533,1280,1280
1618583433,256,256
1618587004,256,256
1618590636,256,256
1618669382,768,768
1618684240,256,256
1618705852,256,256
1618713051,256,256
1618759215,512,512
1618770175,256,256
1618837815,768,768
1618842634,256,256
1618849298,256,256
1618857041,256,256
1618871447,256,256
1618875050,256,256
1618878646,256,256
1618885853,256,256
1618928419,1024,1024
1618932137,256,256
1618935854,256,256
1618942953,256,256
1618950169,256,256
1618965053,256,256
