DateTime,AddedIPs,RemovedIPs
1616112391,397,391
1616114172,125,132
1616121842,982,972
1616123069,1147,1159
1616133362,785,782
1616134314,581,573
1616145122,1123,1119
1616145375,40,24
1616155441,587,590
1616156363,24,13
1616156642,361,362
1616157853,2,3
1616164322,68,66
1616166241,539,545
1616167438,27,20
1616168163,282,282
1616177041,498,490
1616178462,25,15
1616179683,199,203
1616187841,446,448
1616189461,21,15
1616191212,222,220
1616198641,450,445
1616199368,44,32
1616200553,28,22
1616201527,1,4
1616202722,115,114
1616209441,947,963
1616211599,17,13
1616214243,988,979
1616220241,607,607
1616222629,18,29
1616225762,693,688
1616231041,536,530
1616233442,198,202
1616233696,24,24
1616237282,346,344
1616241841,543,548
1616243760,248,0
1616244631,17,19
1616244962,250,251
1616246148,0,256
1616248853,0,252
1616252643,82,81
1616253225,524,514
1616255754,31,13
1616260322,189,191
1616260878,0,252
1616262364,0,254
1616263441,512,519
1616266767,18,16
1616271845,152,152
1616274241,416,408
1616277833,19,23
1616279524,130,128
1616285041,400,436
1616288861,18,15
1616291043,989,974
1616295841,1007,1031
1616298722,93,925
1616299570,13,21
1616302563,925,93
1616306413,821,819
1616306641,612,766
1616310686,27,15
1616314083,342,280
1616317441,751,744
1616317922,461,554
1616321767,124,91
1616325602,250,182
1616328241,458,457
1616329442,71,83
1616331695,0,241
1616332839,19,14
1616333284,83,71
1616336535,254,0
1616337123,143,119
1616339041,463,458
1616340247,255,0
1616343821,15,15
1616344252,246,0
1616347865,242,0
1616348643,169,149
1616349841,424,428
1616354803,13,16
1616360162,189,174
1616360641,394,393
1616365902,16,21
1616371682,462,451
1616372615,318,23
1616376972,23,24
1616379362,992,955
1616382241,928,950
1616387997,25,16
1616390883,858,856
1616393041,499,493
1616399032,23,25
1616402403,390,388
1616403841,491,494
1616410015,21,16
1616413922,365,363
1616414779,587,586
1616415739,255,0
1616420171,6,1
1616421123,22,16
1616425441,490,499
1616429282,303,301
1616432127,16,19
1616436241,449,447
1616440803,133,134
1616443082,19,14
1616447041,399,396
1616452323,164,164
1616454038,7,13
1616457841,375,366
1616458583,33,26
1616460002,90,91
1616463866,2,0
1616464938,20,18
1616467682,983,976
1616468641,869,897
1616476078,30,10
1616479212,817,825
1616479441,518,522
1616487125,25,20
1616490241,497,484
1616490723,410,408
1616498159,12,8
1616501041,481,477
1616506083,435,424
1616507529,4,2
1616509100,18,13
1616511841,487,485
1616513762,249,248
1616520257,11,14
1616522641,433,438
1616525282,156,158
1616531273,18,23
1616533441,415,412
1616536812,129,130
1616542146,14,19
1616542255,994,0
1616544241,390,391
1616544389,64,27
1616551268,0,1
1616552402,984,966
1616553145,21,10
1616555041,863,888
1616563922,782,789
1616564156,28,21
1616565841,540,553
1616575208,23,23
1616576794,543,534
1616579282,421,422
1616583122,246,235
1616586160,23,21
1616586962,258,258
1616587441,542,544
1616595134,3,1
1616597474,19,10
1616598484,705,705
1616603434,253,0
1616608549,11,15
1616609041,457,439
1616610003,143,145
1616619508,13,9
1616619841,444,411
1616621763,139,138
1616630570,22,12
1616630641,337,329
1616631085,38,27
1616637363,104,109
1616641212,993,951
1616641598,946,1002
1616652710,758,726
1616652962,854,857
1616663041,701,689
1616663749,22,21
1616664482,408,418
1616670948,0,484
1616673841,656,659
1616674794,12,12
1616676002,412,408
1616678566,224,0
1616684641,576,575
1616685858,21,12
1616685891,0,256
1616687522,171,170
1616695441,511,513
1616696833,21,12
1616699043,155,161
1616706241,461,462
1616707809,21,12
1616710562,139,141
1616717041,437,431
1616717744,41,46
1616718960,14,17
1616726162,993,959
1616727841,1380,1387
1616729991,20,21
1616737682,824,827
1616738641,643,645
1616740923,12,15
1616749213,556,562
1616749441,746,752
1616751845,22,13
1616753042,197,200
1616760468,621,628
1616761212,467,465
1616763123,20,13
1616769849,2,0
1616771041,534,538
1616772722,253,246
1616774125,15,23
1616781841,485,480
1616784243,188,182
1616785308,18,9
1616792776,452,438
1616795762,186,204
1616796246,25,16
1617360207,7853,8085
1617367683,301,298
