DateTime,AddedIPs,RemovedIPs
1616365462,132,80
1616367363,129,83
1616369282,70,85
1616371248,1649,0
1616373124,115,71
1616375053,100,55
1616376985,113,71
1616378888,79,45
1616380809,96,82
1616382741,70,73
1616384646,100,64
1616386564,79,85
1616388500,77,60
1616390404,74,61
1616392339,79,67
1616394263,62,67
1616396164,63,73
1616398105,74,59
1616400079,83,86
1616401928,82,62
1616403868,68,75
1616405764,110,58
1616407926,110,74
1616409850,85,71
1616411780,76,4404
1616413683,122,113
1616415851,2067,0
1616417766,123,141
1616419705,98,75
1616421605,127,80
1616423527,115,80
1616425469,112,66
1616427369,111,116
1616429291,101,93
1616431221,100,91
1616433125,117,72
1616435051,103,84
1616436980,155,117
1616439131,132,91
1616441044,119,72
1616442965,128,82
1616444884,124,70
1616446899,110,95
1616448727,90,74
1616450655,113,68
1616452581,119,97
1616454492,85,71
1616456421,157,124
1616458330,1745,0
1616460247,73,90
1616462183,78,80
1616464085,79,70
1616466024,88,56
1616467924,88,56
1616469847,84,67
1616471781,78,98
1616473692,68,60
1616475617,96,74
1616477544,64,62
1616479454,71,77
1616481368,86,93
1616483548,86,80
1616485446,79,62
1616487368,61,66
1616489302,66,76
1616491205,72,63
1616493124,108,74
1616495060,77,70
1616496963,83,90
1616498882,69,4483
1616500832,2052,0
1616502723,87,128
1616504655,80,92
1616506583,105,111
1616508487,89,79
1616510405,73,81
1616512341,104,89
1616514246,90,100
1616516162,108,91
1616518100,113,76
1616520003,113,77
1616521924,123,86
1616523861,106,61
1616525764,123,72
1616527684,123,74
1616529673,114,84
1616531524,83,79
1616533450,88,64
1616535382,100,116
1616537294,106,104
1616539207,102,82
1616541138,132,80
1616543049,103,107
1616544966,1713,0
1616546902,63,75
1616548805,75,78
1616550794,97,82
1616552646,59,58
1616554925,86,82
1616556745,63,56
1616558672,53,73
1616560603,69,82
1616562491,60,67
1616564421,62,69
1616566328,55,55
1616568247,54,62
1616570184,83,62
1616572084,69,56
1616574007,65,64
1616576044,80,74
1616577848,61,72
1616579766,86,107
1616581705,53,89
1616583616,50,66
1616585526,63,4549
1616587471,1986,0
1616589369,128,115
1616591531,132,79
1616593448,97,85
1616595624,163,100
1616597527,97,92
1616599447,92,90
1616601380,103,92
1616603547,93,83
1616605452,129,90
1616607366,188,91
1616609546,120,94
1616611446,83,78
1616613363,138,91
1616615298,102,57
1616617206,107,39
1616619139,154,99
1616621043,117,89
1616622966,123,120
1616624900,100,67
1616626804,97,80
1616628745,91,92
1616630656,1643,0
1616632566,90,80
1616634747,122,54
1616636647,67,60
1616638567,79,67
1616640500,69,60
1616642404,68,74
1616644324,73,80
1616646261,78,49
1616648166,82,80
1616650102,59,72
1616652053,75,67
1616653947,62,65
1616655855,65,64
1616657783,95,76
1616659686,92,43
1616661624,89,68
1616663524,55,78
1616665690,76,94
1616667620,78,90
1616669530,78,68
1616671446,63,4110
1616673382,95,108
1616675284,1737,0
1616677221,110,83
1616679128,82,82
1616681052,84,75
1616682981,76,75
1616684889,89,72
1616686804,84,61
1616688739,90,71
1616690645,101,70
1616692581,138,75
1616694482,102,57
1616696403,123,63
1616698339,101,79
1616700244,78,74
1616702177,103,96
1616704084,105,70
1616706032,113,75
1616707924,85,67
1616709851,83,75
1616711782,135,75
1616713942,112,76
1616715846,84,77
1616717764,1428,0
1616719700,74,41
1616721604,77,68
1616723524,79,70
1616725463,57,47
1616727364,85,62
1616729283,55,47
1616731231,82,48
1616733132,65,50
1616735054,46,64
1616736982,77,44
1616738889,57,47
1616740803,61,49
1616742739,76,86
1616744645,56,61
1616746806,91,69
1616748726,91,74
1616750663,61,55
1616752564,55,83
1616754499,79,62
1616756405,58,63
1616758327,68,4430
1616760268,1884,0
1616762165,101,113
1616764345,115,118
1616766245,82,67
1616768409,135,86
1616770324,77,62
1616772258,73,72
1616774163,83,77
1616776087,79,67
1616778070,118,92
1616779926,98,63
1616781854,116,72
1616783780,142,71
1616785692,89,70
1616787605,91,85
1616789542,106,109
1616791445,92,80
1616793379,138,66
1616795283,104,86
1616797203,111,71
1616799138,127,104
1617360201,2728,4622
1617363160,2138,0
1617364979,103,80
1617366988,89,89
1617368896,115,86
1617370829,88,95
1617372733,89,86
1617374653,95,72
1617376589,122,102
1617378485,106,89
1617380481,101,109
1617382325,88,114
1617384247,83,63
1617386178,139,95
1617388084,84,75
1617390035,117,78
1617391940,110,87
1617393849,98,87
1617395764,112,79
1617397702,58,65
1617399607,107,81
1617401521,99,92
1617403464,82,104
1617405377,1668,0
1618003922,2665,5257
1618073282,2428,2714
