DateTime,Entries,UniqueIPs
1616365462,7282,7282
1616367363,7328,7328
1616369282,7313,7313
1616371248,8962,8962
1616373124,9006,9006
1616375053,9051,9051
1616376985,9093,9093
1616378888,9127,9127
1616380809,9141,9141
1616382741,9138,9138
1616384646,9174,9174
1616386564,9168,9168
1616388500,9185,9185
1616390404,9198,9198
1616392339,9210,9210
1616394263,9205,9205
1616396164,9195,9195
1616398105,9210,9210
1616400079,9207,9207
1616401928,9227,9227
1616403868,9220,9220
1616405764,9272,9272
1616407926,9308,9308
1616409850,9322,9322
1616411780,4994,4994
1616413683,5003,5003
1616415851,7070,7070
1616417766,7052,7052
1616419705,7075,7075
1616421605,7122,7122
1616423527,7157,7157
1616425469,7203,7203
1616427369,7198,7198
1616429291,7206,7206
1616431221,7215,7215
1616433125,7260,7260
1616435051,7279,7279
1616436980,7317,7317
1616439131,7358,7358
1616441044,7405,7405
1616442965,7451,7451
1616444884,7505,7505
1616446899,7520,7520
1616448727,7536,7536
1616450655,7581,7581
1616452581,7603,7603
1616454492,7617,7617
1616456421,7650,7650
1616458330,9395,9395
1616460247,9378,9378
1616462183,9376,9376
1616464085,9385,9385
1616466024,9417,9417
1616467924,9449,9449
1616469847,9466,9466
1616471781,9446,9446
1616473692,9454,9454
1616475617,9476,9476
1616477544,9478,9478
1616479454,9472,9472
1616481368,9465,9465
1616483548,9471,9471
1616485446,9488,9488
1616487368,9483,9483
1616489302,9473,9473
1616491205,9482,9482
1616493124,9516,9516
1616495060,9523,9523
1616496963,9516,9516
1616498882,5102,5102
1616500832,7154,7154
1616502723,7113,7113
1616504655,7101,7101
1616506583,7095,7095
1616508487,7105,7105
1616510405,7097,7097
1616512341,7112,7112
1616514246,7102,7102
1616516162,7119,7119
1616518100,7156,7156
1616520003,7192,7192
1616521924,7229,7229
1616523861,7274,7274
1616525764,7325,7325
1616527684,7374,7374
1616529673,7404,7404
1616531524,7408,7408
1616533450,7432,7432
1616535382,7416,7416
1616537294,7418,7418
1616539207,7438,7438
1616541138,7490,7490
1616543049,7486,7486
1616544966,9199,9199
1616546902,9187,9187
1616548805,9184,9184
1616550794,9199,9199
1616552646,9200,9200
1616554925,9204,9204
1616556745,9211,9211
1616558672,9191,9191
1616560603,9178,9178
1616562491,9171,9171
1616564421,9164,9164
1616566328,9164,9164
1616568247,9156,9156
1616570184,9177,9177
1616572084,9190,9190
1616574007,9191,9191
1616576044,9197,9197
1616577848,9186,9186
1616579766,9165,9165
1616581705,9129,9129
1616583616,9113,9113
1616585526,4627,4627
1616587471,6613,6613
1616589369,6626,6626
1616591531,6679,6679
1616593448,6691,6691
1616595624,6754,6754
1616597527,6759,6759
1616599447,6761,6761
1616601380,6772,6772
1616603547,6782,6782
1616605452,6821,6821
1616607366,6918,6918
1616609546,6944,6944
1616611446,6949,6949
1616613363,6996,6996
1616615298,7041,7041
1616617206,7109,7109
1616619139,7164,7164
1616621043,7192,7192
1616622966,7195,7195
1616624900,7228,7228
1616626804,7245,7245
1616628745,7244,7244
1616630656,8887,8887
1616632566,8897,8897
1616634747,8965,8965
1616636647,8972,8972
1616638567,8984,8984
1616640500,8993,8993
1616642404,8987,8987
1616644324,8980,8980
1616646261,9009,9009
1616648166,9011,9011
1616650102,8998,8998
1616652053,9006,9006
1616653947,9003,9003
1616655855,9004,9004
1616657783,9023,9023
1616659686,9072,9072
1616661624,9093,9093
1616663524,9070,9070
1616665690,9052,9052
1616667620,9040,9040
1616669530,9050,9050
1616671446,5003,5003
1616673382,4990,4990
1616675284,6727,6727
1616677221,6754,6754
1616679128,6754,6754
1616681052,6763,6763
1616682981,6764,6764
1616684889,6781,6781
1616686804,6804,6804
1616688739,6823,6823
1616690645,6854,6854
1616692581,6917,6917
1616694482,6962,6962
1616696403,7022,7022
1616698339,7044,7044
1616700244,7048,7048
1616702177,7055,7055
1616704084,7090,7090
1616706032,7128,7128
1616707924,7146,7146
1616709851,7154,7154
1616711782,7214,7214
1616713942,7250,7250
1616715846,7257,7257
1616717764,8685,8685
1616719700,8718,8718
1616721604,8727,8727
1616723524,8736,8736
1616725463,8746,8746
1616727364,8769,8769
1616729283,8777,8777
1616731231,8811,8811
1616733132,8826,8826
1616735054,8808,8808
1616736982,8841,8841
1616738889,8851,8851
1616740803,8863,8863
1616742739,8853,8853
1616744645,8848,8848
1616746806,8870,8870
1616748726,8887,8887
1616750663,8893,8893
1616752564,8865,8865
1616754499,8882,8882
1616756405,8877,8877
1616758327,4515,4515
1616760268,6399,6399
1616762165,6387,6387
1616764345,6384,6384
1616766245,6399,6399
1616768409,6448,6448
1616770324,6463,6463
1616772258,6464,6464
1616774163,6470,6470
1616776087,6482,6482
1616778070,6508,6508
1616779926,6543,6543
1616781854,6587,6587
1616783780,6658,6658
1616785692,6677,6677
1616787605,6683,6683
1616789542,6680,6680
1616791445,6692,6692
1616793379,6764,6764
1616795283,6782,6782
1616797203,6822,6822
1616799138,6845,6845
1617360201,4951,4951
1617363160,7089,7089
1617364979,7112,7112
1617366988,7112,7112
1617368896,7141,7141
1617370829,7134,7134
1617372733,7137,7137
1617374653,7160,7160
1617376589,7180,7180
1617378485,7197,7197
1617380481,7189,7189
1617382325,7163,7163
1617384247,7183,7183
1617386178,7227,7227
1617388084,7236,7236
1617390035,7275,7275
1617391940,7298,7298
1617393849,7309,7309
1617395764,7342,7342
1617397702,7335,7335
1617399607,7361,7361
1617401521,7368,7368
1617403464,7346,7346
1617405377,9014,9014
1618003922,6422,6422
1618073282,6136,6136
1618150081,6203,6203
1618186326,8212,8212
1618190166,8260,8260
1618192083,8267,8267
1618195924,8326,8326
1618197844,8359,8359
1618201688,8416,8416
1618203616,8445,8445
1618207450,8465,8465
1618209365,8464,8464
1618213203,8469,8469
1618215121,8474,8474
1618218961,8463,8463
1618220883,8467,8467
1618224725,4677,4677
1618226644,6544,6544
1618230483,6586,6586
1618232415,6586,6586
1618236252,6657,6657
1618238165,6720,6720
1618242002,6760,6760
1618265051,6888,6888
1618303445,8578,8578
1618489925,5934,5934
1618561205,7725,7725
1618563126,7708,7708
