DateTime,AddedIPs,RemovedIPs
1574640017,46,96
1574726179,47,0
1574811609,49,47
1574897288,50,49
1574982974,47,50
1575068898,43,46
1575158168,46,90
1575244091,45,0
1575329768,45,43
1575415689,47,45
1575501850,47,47
1575587057,43,47
1575675848,46,91
1575762009,47,0
1575847453,45,45
1575932652,43,45
1576019295,45,90
1576108086,46,46
1576193537,48,0
1576278730,46,46
1576364417,44,47
1576453447,47,92
1576539365,49,0
1576624331,47,48
1576713131,49,97
1576798566,50,0
1576884730,47,49
1576969946,46,46
1577058968,48,96
1577143697,50,0
1577228895,47,48
1577318168,44,93
1577402888,49,0
1577488332,45,47
1577577618,45,92
1577663772,47,0
1577748733,45,43
1577833929,48,49
1577857207,0,48
1577919629,47,0
1578008650,43,90
1578094097,48,0
1578179530,42,42
1578268823,43,91
1578353766,47,0
1578439453,48,47
1578524416,47,46
1578613690,48,97
1578699134,47,0
1578784101,46,45
1578870254,44,43
1578960028,46,95
1579045689,48,0
1579131606,49,48
1579217766,43,44
1579303207,47,48
1579388412,48,46
1579476967,49,98
1579562167,48,0
1579650488,48,96
1579735207,49,0
1579821853,45,94
1579908488,50,50
1579997294,45,45
1580082007,49,0
1580166730,50,49
1580255530,50,100
1580340505,49,0
1580428808,50,99
1580513767,48,0
1580598728,44,45
1580687528,45,92
1580772489,49,0
1580861050,48,97
1580946006,47,0
1581030725,46,45
1581119288,48,96
1581203767,49,0
1581292328,46,95
1581377529,47,0
1581462491,42,43
1581551290,45,91
1581636485,48,0
1581725293,48,96
1581810007,48,0
1581895208,49,47
1581983766,50,100
1582068731,48,0
1582153931,48,48
1582242488,48,96
1582327448,49,0
1582416254,48,97
1582500730,49,0
1582585453,50,49
1582674007,43,93
1582758729,48,0
1582847529,45,93
1582932250,48,0
1583021291,47,95
1583106007,48,0
1583190727,46,46
1583279287,48,96
1583364007,50,0
1583452567,49,99
1583537529,49,0
1583622251,50,49
1583710567,49,99
1583795528,50,0
1583883850,49,99
1583968331,48,0
1584056659,47,95
1584141366,47,0
1584229929,46,93
1584314651,48,0
1584400330,44,44
1584488651,49,97
1584573368,44,0
1584661930,47,91
1584746650,49,0
1584835451,48,97
1584919930,47,0
1585004650,46,46
1585092969,46,93
1585177929,48,0
1585266491,47,95
1585350967,47,0
1585439528,45,92
1585524490,50,0
1585613293,46,96
1585698007,46,0
1585782967,42,43
1585871528,45,90
1585956246,50,0
1586045049,44,94
1586130258,49,0
1586215209,41,42
1586303772,46,94
1586388250,48,0
1586476813,46,94
1586561767,48,0
1586646488,50,48
1586734807,47,97
1586819770,48,0
1586908326,47,95
1586993527,49,0
1587082091,47,96
1587166807,47,0
1587251289,46,46
1587339614,43,90
1587426006,47,0
1587511208,47,46
1587600011,46,94
1587683049,49,0
1587771368,46,95
1587856089,46,0
1587944648,47,93
1588029127,50,0
1588117928,49,99
1588202886,47,0
1588291214,45,92
1588376167,49,0
1588460894,46,48
1588549448,44,91
1588634408,48,0
1588723218,44,92
1588808167,46,0
1588893127,46,45
1588981686,37,84
1589066167,45,0
1589154488,41,86
1589238970,46,0
1589327292,45,91
1589412253,47,0
1589501293,48,95
1589586009,44,0
1589671696,49,43
1589757607,45,46
1589846410,47,96
1589931367,48,0
1590016092,44,45
1590103206,48,95
1590192007,47,47
1590276965,45,0
1590361927,45,44
1590450964,44,90
1590535930,48,0
1590620890,48,48
1590709928,47,95
1590795365,49,0
1590880324,46,48
1590969125,49,96
1591054325,49,0
1591142647,48,97
1591227605,49,0
1591312086,49,49
1591400409,47,96
1591485125,49,0
1591573448,46,95
1591658164,46,0
1591746484,49,95
1591831446,47,0
1591916889,43,46
1592005204,43,87
1592090164,46,0
1592179213,45,91
1592264645,46,0
1592349365,47,46
1592437927,46,93
1592522882,45,0
1592607850,46,42
1592696408,48,97
1592781366,48,0
1592869924,46,94
1592954883,47,0
1593040087,40,44
1593128644,41,84
1593213609,45,0
1593301929,44,89
1593386652,45,0
1593475210,41,86
1593560167,44,0
1593645369,43,41
1593733686,43,89
1593818167,45,0
1593906730,46,91
1593991450,49,0
1594080248,44,93
1594165204,47,0
1594250167,41,42
1594338968,48,95
1594423687,50,0
1594512023,45,94
1594596250,47,0
1594684567,46,93
1594770009,46,0
1594855689,44,45
1594940988,44,43
1595029450,45,91
1595113930,47,0
1595202726,47,94
1595287685,48,0
1595376248,43,91
1595461208,46,0
1595546168,43,42
1595634726,44,91
1595719450,48,0
1595804657,48,47
1595893686,42,91
1595978648,47,0
1596066967,44,91
1596151448,46,0
1596240017,48,94
1596325209,48,0
1596410165,40,45
1596498732,44,87
1596583448,47,0
1596672019,46,93
1596756725,48,0
1596841450,44,47
