DateTime,AddedIPs,RemovedIPs
1618587724,19,17
1618588323,17,7
1618588923,18,18
1618589524,50,0
1618590123,26,0
1618591323,16,10
1618591924,15,35
1618592523,1,25
1618593723,8,18
1618594924,33,0
1618595524,23,10
1618596723,65,37
1618597924,37,67
1618598524,17,55
1618599724,19,20
1618600324,14,14
1618600923,15,18
1618601524,24,11
1618602123,12,0
1618603324,19,60
1618603924,12,0
1618604524,16,0
1618605724,23,22
1618606323,26,52
1618606924,21,3
1618607524,15,10
1618608124,11,22
1618609324,19,18
1618609923,20,30
1618611123,21,49
1618611724,24,11
1618612924,20,30
1618614124,18,41
1618615324,34,0
1618616524,29,50
1618617123,27,0
1618617724,28,0
1618618924,22,21
1618620124,42,24
1618621324,25,0
1618622523,17,26
1618623124,18,51
1618623724,12,0
1618624323,9,31
1618624924,30,0
1618626124,17,12
1618627324,17,22
1618628524,17,46
1618629124,20,18
1618629724,19,9
1618630924,17,71
1618632124,20,22
1618632724,23,30
1618633323,14,35
1618633924,14,16
1618635123,16,14
1618635724,11,0
1618636323,31,12
1618636924,36,17
1618637524,28,14
1618638124,23,39
1618638724,25,0
1618639324,26,18
1618639923,57,21
1618641124,33,65
1618641723,19,18
1618642923,34,32
1618644123,32,40
1618644724,24,59
1618645323,28,0
1618646524,20,31
1618647123,22,0
1618647724,16,30
1618648324,11,0
1618648924,10,21
1618650124,30,27
1618651323,34,10
1618652523,22,24
1618653723,19,32
1618654324,21,28
1618654923,35,0
1618655524,23,61
1618656723,35,28
1618657324,20,0
1618657923,19,16
1618658524,8,0
1618659124,18,35
1618659724,14,14
1618660324,24,0
1618660923,16,0
1618662124,22,34
1618663324,25,14
1618664524,19,17
1618665123,12,17
1618665724,18,7
1618666324,17,42
1618667523,13,3
1618668724,28,63
1618669924,19,35
1618670524,18,26
1618672324,22,39
1618672923,33,38
1618674123,24,15
1618674724,9,55
1618675923,19,23
1618676524,24,24
1618677723,21,0
1618678323,19,29
1618678924,12,14
1618680124,21,0
1618681323,20,50
1618681924,22,60
1618683124,27,106
1618683724,29,0
1618684324,23,0
1618684924,13,9
1618685523,13,12
1618686724,26,22
1618687324,17,42
1618688524,28,23
1618689123,9,0
1618689723,18,0
1618690324,29,56
1618690923,25,0
1618692123,23,24
1618693324,23,16
1618693923,11,0
1618694523,35,40
1618695723,19,0
1618696924,28,37
1618698124,27,18
1618698724,40,25
1618699324,31,0
1618699924,27,25
1618700524,15,0
1618701123,23,41
1618701724,10,37
1618702324,6,0
1618702923,12,0
1618704124,11,62
1618705323,27,24
1618705924,31,0
1618707124,23,23
1618707724,21,15
1618708324,12,0
1618709524,28,9
1618710124,8,13
1618710723,14,10
1618711324,9,14
1618711923,4,31
1618712523,9,0
1618713124,6,17
1618713724,10,7
1618714924,13,27
1618715523,13,0
1618716123,9,51
1618717323,11,0
1618718524,16,17
1618719124,11,10
1618720324,7,20
1618720923,6,15
1618722123,41,6
1618723324,13,125
1618723924,19,0
1618724524,9,12
1618725724,20,80
1618726324,15,0
1618726924,28,45
1618727524,18,37
1618728123,24,0
1618728723,27,19
1618730524,28,50
1618731723,28,19
1618732323,15,23
1618732924,32,24
1618734123,32,23
1618735323,23,49
1618735923,16,0
1618736523,33,0
1618737123,19,20
1618737723,11,0
1618738924,21,26
1618739523,22,23
1618741323,66,109
1618742523,76,18
1618743123,23,73
1618744323,23,0
1618744924,16,16
1618745524,21,24
1618746724,9,88
1618747923,22,20
1618749124,19,24
1618750923,28,55
1618751524,8,23
1618752723,18,12
1618753323,15,20
1618754523,27,25
1618755123,10,0
1618755724,27,32
1618756324,17,0
1618756924,10,66
1618757524,22,0
1618758123,11,0
1618759324,30,46
1618760524,39,8
1618761723,37,0
1618762923,35,26
1618764124,35,30
1618764723,40,24
1618765324,25,0
1618765924,28,0
1618766523,15,38
1618767724,31,0
1618768324,40,11
1618768924,21,20
1618769523,32,0
1618770124,14,5
1618771324,16,51
1618772523,43,0
1618773724,27,84
1618774324,29,0
1618774924,34,31
1618775523,27,28
1618776124,20,31
1618776724,72,0
1618777324,28,0
1618777924,34,34
1618778524,29,13
1618779124,33,10
1618779723,11,0
1618780323,11,19
1618780924,9,70
1618781524,18,0
1618782124,16,0
1618782723,10,61
1618783324,35,0
1618783923,24,68
1618785124,51,10
1618785724,29,21
1618786923,17,23
1618788124,19,21
1618789324,15,20
1618789924,18,0
1618790523,17,0
1618791724,23,15
1618792324,27,14
1618792924,20,47
1618793524,24,0
1618794124,18,48
1618794723,22,0
1618795324,26,0
1618795924,20,50
1618797123,19,10
1618798324,25,17
1618798923,15,13
1618799524,15,14
1618800123,26,10
1618800724,15,0
1618801323,21,0
1618801924,56,13
1618803723,42,16
1618804323,8,8
1618804923,12,6
1618806124,31,10
1618806724,9,0
1618807323,22,6
1618808524,27,28
1618809124,17,18
1618810924,26,57
1618811524,19,0
1618812124,14,0
1618813323,18,42
1618813924,10,0
1618814523,12,19
1618815724,16,57
1618816323,10,0
1618816923,19,0
1618817524,19,23
1618818723,14,0
1618819324,16,16
1618819923,15,26
1618820524,30,0
1618821724,23,18
1618822923,28,58
1618824124,14,41
1618825324,20,0
1618826523,23,93
1618827124,23,0
1618827723,51,87
1618828324,45,0
1618828924,19,0
1618829524,23,8
1618830124,13,0
1618830723,33,34
1618831324,15,40
1618832523,35,0
1618833724,23,19
1618834324,20,0
1618834923,16,16
1618835524,22,36
1618836723,18,0
1618837324,35,0
1618838523,17,18
1618839724,23,62
1618840923,21,0
1618841523,6,22
1618842124,26,15
1618842724,33,13
1618843324,20,9
1618844524,16,89
1618845723,32,0
1618846324,27,26
1618846923,24,23
1618847524,24,0
1618848724,17,20
1618849323,15,0
1618850523,22,43
1618851723,24,20
1618852923,20,37
1618854123,24,37
1618854724,22,8
1618855323,29,0
1618856523,17,42
1618857723,17,0
1618858323,21,50
1618858923,25,18
1618859524,21,0
1618860124,21,0
1618860724,27,20
1618861924,17,40
1618862524,19,73
1618863124,18,0
1618863723,3,79
1618864924,11,12
1618865523,9,21
1618866723,19,13
1618867323,26,3
1618868524,31,21
1618869124,20,0
1618869724,23,37
1618870924,26,31
1618871525,15,95
1618872124,18,0
1618872723,19,12
1618873324,10,9
1618874523,7,52
1618875124,9,0
1618875723,24,0
1618876923,15,53
1618878124,15,0
1618879324,14,34
1618880523,30,44
1618881124,25,29
1618881724,11,22
1618882924,27,0
1618883524,12,13
1618884124,23,11
1618884723,10,0
1618885323,15,13
1618886524,21,36
1618887124,18,25
1618888324,35,33
1618888923,15,0
1618890124,20,89
1618890724,13,9
1618891324,21,0
1618892524,13,7
1618893723,29,92
1618894324,12,0
1618894923,19,14
1618895524,13,0
1618896123,25,0
1618897324,16,18
1618897924,26,17
1618898524,23,23
1618899723,26,0
1618900924,17,33
1618901524,11,0
1618902124,11,0
1618903324,12,70
1618904524,15,0
1618905124,18,24
1618905724,19,11
1618906923,19,38
1618907523,22,0
1618908123,13,0
1618909324,21,28
1618910524,16,0
1618911124,7,43
1618911723,6,39
1618912923,13,0
1618913524,15,28
1618914123,21,100
1618915923,31,19
1618916524,29,0
1618917124,25,41
1618917723,9,29
1618918923,24,21
1618920123,21,24
1618921324,17,62
1618921925,16,0
1618922523,26,0
1618923124,36,29
1618923724,5,16
1618924323,27,30
1618924924,24,42
1618925524,10,0
1618926124,30,0
1618926724,26,16
1618927924,24,25
1618929124,44,55
1618929724,20,21
1618930323,20,0
1618930923,22,0
1618931524,25,58
1618932124,9,17
1618932724,21,15
1618933324,16,0
1618933923,12,15
1618934524,20,15
1618935724,23,47
1618936923,16,52
1618938124,38,24
1618938723,14,0
1618939323,13,0
1618939924,23,19
1618940523,9,18
1618941123,17,0
1618941724,21,31
1618942323,29,25
1618942923,15,0
1618943523,11,26
1618944124,23,17
1618944723,8,0
1618945323,12,19
1618946524,14,77
1618947724,15,5
1618948323,15,19
1618948923,15,32
1618949524,7,14
1618950123,12,7
1618951324,33,0
1618951924,57,21
1618952524,63,0
1618953123,6,0
1618953723,6,52
1618954923,6,20
1618956124,28,50
1618956723,16,25
1618957323,32,13
1618958523,16,22
1618959123,31,0
1618959723,13,0
1618960923,21,21
1618961524,3,11
1618962123,24,42
1618962723,30,0
1618963324,19,0
1618964523,21,53
1618965723,15,35
1618966924,28,0
1618967523,25,30
1618968724,18,25
1618969324,7,24
1618970524,24,15
1618971724,20,62
1618972324,23,0
1618972923,15,0
1618973523,13,15
1618974123,16,0
1618975323,7,69
1618976523,28,0
1618977724,36,36
1618978923,38,39
1618979524,19,0
1618980123,21,0
1618981323,17,24
1618981923,7,20
1618982524,5,30
1618983724,10,68
1618984324,31,0
1618984923,20,17
1618986124,26,35
1618987324,25,0
