DateTime,AddedIPs,RemovedIPs
1618329723,2,0
1618331524,6,0
1618332723,2,0
1618336324,5,0
1618336924,32,0
1618341124,7,0
1618342923,2,0
1618344124,6,0
1618346523,7,0
1618347724,2,0
1618348324,3,0
1618350124,6,0
1618351924,4,0
1618353724,5,0
1618358524,2,0
1618359723,2,0
1618362124,2,0
1618363324,2,0
1618365123,4,0
1618365724,1,0
1618368723,8,0
1618375324,8,0
1618380124,70,0
1618380724,2,0
1618383124,6,0
1618383724,1,0
1618384323,1,0
1618386724,8,0
1618387324,1,0
1618390323,6,0
1618392124,8,0
1618393324,6,0
1618394524,2,0
1618396923,3,0
1618398124,6,0
1618407723,11,0
1618411323,4,0
1618413123,2,0
1618420323,6,0
1618422723,39,0
1618423323,1,0
1618424524,3,0
1618425724,2,0
1618426924,6,0
1618429924,2,0
1618431723,2,0
1618432324,2,0
1618436523,43,0
1618437123,1,0
1618442524,8,0
1618443723,2,0
1618448523,6,0
1618453924,7,0
1618455124,3,0
1618456924,4,0
1618458124,1,0
1618461124,6,0
1618462323,1,0
1618464724,5,0
1618466524,4,0
1618468324,1,0
1618470723,4,0
1618471323,3,0
1618473724,2,0
1618480324,6,0
1618480923,1,0
1618483323,2,0
1618484523,1,0
1618486324,3,0
1618488123,3,0
1618490524,1,0
1618492324,1,0
1618495325,67,0
1618496524,1,0
1618498924,3,0
1618500724,1,0
1618501323,1,0
1618503124,1,0
1618504924,1,0
1618508524,2,0
1618510323,1,0
1618512724,5,0
1618513923,1,0
1618515124,2,0
1618524724,11,0
1618527124,8,0
1618530724,3,0
1618531323,2,0
1618537323,4,0
1618540924,2,0
1618541523,1,0
1618542724,3,0
1618547523,12,0
1618548724,2,0
1618558924,3,0
1618559523,1,0
1618560123,1,0
1618561323,1,0
1618563723,1,0
1618569723,1,0
1618570924,2,0
1618573323,4,0
1618574524,1,0
1618576325,1,0
1618578124,1,0
1618578723,1,0
1618580524,7,0
1618581723,1,0
1618582923,3,0
1618583524,1,0
1618584124,76,0
1618585923,1,0
1618587124,1,0
1618587724,2,0
1618589524,2,0
1618591924,3,0
1618593723,3,0
1618594924,1,0
1618596123,3,0
1618596723,2,0
1618597324,2,11
1618598524,1,23
1618599724,2,17
1618600324,2,35
1618601524,1,3
1618602723,1,11
1618603324,0,11
1618603924,0,8
1618605724,1,3
1618606323,0,3
1618606924,1,0
1618607524,1,8
1618608723,3,0
1618609324,2,9
1618609923,0,5
1618610524,0,6
1618611123,0,1
1618612924,1,10
1618613524,4,0
1618614124,0,3
1618614724,1,2
1618617123,6,0
1618617724,2,0
1618618924,1,1
1618620124,2,4
1618621324,9,0
1618621924,1,3
1618623124,2,2
1618623724,7,0
1618624924,0,6
1618625524,2,7
1618626124,1,2
1618627924,4,3
1618628524,0,8
1618629124,2,20
1618630324,5,46
1618630924,1,3
1618632124,7,0
1618633323,1,0
1618633924,5,2
1618634524,1,0
1618635123,2,0
1618636323,6,1
1618637524,3,2
1618638124,0,1
1618639923,4,2
1618641124,0,1
1618641723,0,1
1618642923,4,0
1618645323,2,0
1618646524,2,2
1618647724,1,1
1618648324,1,3
1618650723,1,6
1618651923,1,1
1618652523,2,0
1618653124,1,6
1618654324,6,0
1618655524,0,2
1618656124,0,3
1618656723,2,0
1618657324,0,1
1618657923,2,0
1618658524,0,1
1618659124,1,7
1618659724,1,0
1618660324,3,0
1618661523,2,0
1618662124,1,0
1618663324,3,2
1618663924,0,3
1618664524,0,5
1618666324,1,4
1618667523,4,0
1618668124,0,5
1618669924,4,4
1618672324,2,1
1618673524,1,8
1618674123,0,6
1618674724,0,3
1618675923,2,10
1618677124,1,8
1618677723,0,6
1618679524,5,18
1618681323,0,5
1618682523,2,15
1618683724,41,16
1618684924,2,0
1618685523,1,26
1618686724,3,25
1618688524,0,72
1618689123,1,22
1618689723,1,0
1618690923,1,72
1618692724,2,55
1618693923,0,23
1618695123,3,39
1618695723,0,19
1618696924,4,50
1618697523,0,20
1618698724,4,101
1618699324,1,0
1618699924,2,0
1618700524,4,0
1618701123,0,21
1618701724,3,6
1618702923,5,12
1618704124,3,6
1618704724,2,27
1618705924,3,0
1618706524,1,28
1618707724,0,11
1618708323,1,16
1618710124,2,10
1618711324,0,2
1618711923,1,0
1618713724,32,21
1618714324,4,0
1618714924,0,6
1618716123,0,3
1618717323,1,7
1618718524,1,0
1618720923,4,15
1618721524,1,0
1618723324,0,33
1618724524,0,13
1618725123,0,29
1618726324,1,3
1618727524,0,14
1618729923,0,16
1618730524,1,0
1618731723,1,1
1618732323,0,10
1618732924,0,2
1618734123,0,3
1618735323,1,20
1618737123,0,7
1618737723,0,27
1618738924,1,0
1618740123,0,13
1618740724,0,3
1618741924,0,18
1618742523,0,10
1618744323,0,2
1618746724,1,2
1618747324,0,3
1618749124,4,5
1618750324,8,5
1618751523,14,0
1618752723,3,0
1618753924,4,2
1618754523,0,3
1618755123,4,0
1618756324,3,5
1618756924,0,3
1618758723,24,0
1618759923,3,5
1618761123,1,1
1618761723,1,0
1618762323,4,6
1618764124,1,0
1618764723,0,3
1618765324,1,0
1618766523,3,3
1618767724,1,1
1618768324,1,0
1618770724,5,4
1618771924,1,0
1618772523,2,0
1618773123,0,5
1618774924,1,5
1618776124,1,4
1618777924,0,3
1618778524,1,7
1618779124,3,8
1618780323,2,0
1618780924,2,0
1618781524,0,11
1618782723,0,12
1618783923,2,0
1618784523,0,2
1618785124,1,0
1618785723,0,2
1618786323,0,24
1618788724,1,0
1618789324,1,0
1618789923,2,0
1618790523,0,5
1618791724,1,10
1618792324,2,5
1618793524,3,10
1618794723,1,0
1618795323,0,2
1618795924,3,4
1618797123,3,2
1618799524,3,9
1618800724,2,6
1618801323,1,3
1618801923,1,0
1618803124,0,8
1618804323,0,7
1618804923,1,0
1618805524,1,8
1618806124,3,11
1618806724,0,5
1618808524,1,5
1618809724,1,13
1618812124,2,4
1618812723,0,9
1618814523,0,1
1618815724,1,13
1618816323,0,45
1618817524,2,23
1618818124,2,6
1618819324,1,0
1618819923,1,13
1618820524,1,0
1618822324,10,4
1618823524,11,3
1618824724,4,0
1618825324,3,1
1618826523,1,2
1618827723,2,0
1618828324,0,4
1618829524,1,0
1618830124,4,1
1618831924,4,1
1618833724,0,1
1618835524,1,2
