DateTime,Entries,UniqueIPs
1618329723,2695,2817
1618331524,2701,2823
1618332723,2703,2825
1618336324,2708,2830
1618336924,2740,2862
1618341124,2747,2869
1618342923,2749,2871
1618344124,2755,2877
1618346523,2762,2884
1618347724,2764,2886
1618348324,2767,2889
1618350124,2773,2895
1618351924,2777,2899
1618353724,2782,2904
1618358524,2784,2906
1618359723,2786,2908
1618362124,2788,2910
1618363324,2790,2912
1618365123,2794,2916
1618365724,2795,2917
1618368723,2803,2925
1618375324,2811,2933
1618380124,2881,3003
1618380724,2883,3005
1618383124,2889,3011
1618383724,2890,3012
1618384323,2891,3013
1618386724,2899,3021
1618387324,2900,3022
1618390323,2906,3028
1618392124,2914,3036
1618393324,2919,3042
1618394524,2921,3044
1618396923,2924,3047
1618398124,2930,3053
1618407723,2940,3064
1618411323,2944,3068
1618413123,2946,3070
1618420323,2952,3076
1618422723,2991,3115
1618423323,2991,3116
1618424524,2994,3119
1618425724,2996,3121
1618426924,3001,3127
1618429924,3003,3129
1618431723,3005,3131
1618432324,3007,3133
1618436523,3048,3176
1618437123,3049,3177
1618442524,3057,3185
1618443723,3059,3187
1618448523,3065,3193
1618453924,3072,3200
1618455124,3075,3203
1618456924,3079,3207
1618458124,3080,3208
1618461124,3085,3214
1618462323,3086,3215
1618464724,3091,3220
1618466524,3095,3224
1618468324,3096,3225
1618470723,3100,3229
1618471323,3103,3232
1618473724,3105,3234
1618480324,3111,3240
1618480923,3112,3241
1618483323,3114,3243
1618484523,3115,3244
1618486324,3118,3247
1618488123,3121,3250
1618490524,3122,3251
1618492324,3123,3252
1618495325,3189,3319
1618496524,3190,3320
1618498924,3193,3323
1618500724,3194,3324
1618501323,3195,3325
1618503124,3196,3326
1618504924,3197,3327
1618508524,3199,3329
1618510323,3199,3330
1618512724,3204,3335
1618513923,3205,3336
1618515124,3207,3338
1618524724,3218,3349
1618527124,3226,3357
1618530724,3229,3360
1618531323,3231,3362
1618537323,3235,3366
1618540924,3237,3368
1618541523,3238,3369
1618542724,3241,3372
1618547523,3252,3384
1618548724,3254,3386
1618558924,3257,3389
1618559523,3258,3390
1618560123,3259,3391
1618561323,3260,3392
1618563723,3261,3393
1618569723,3262,3394
1618570924,3264,3396
1618573323,3268,3400
1618574524,3269,3401
1618576325,3270,3402
1618578124,3271,3403
1618578723,3272,3404
1618580524,3279,3411
1618581723,3280,3412
1618582923,3282,3415
1618583524,3283,3416
1618584124,3357,3492
1618585923,3358,3493
1618587124,3359,3494
1618587724,3361,3496
1618589524,3363,3498
1618591924,3366,3501
1618593723,3369,3504
1618594924,3370,3505
1618596123,3373,3508
1618596723,3375,3510
1618597324,3366,3501
1618598524,3345,3479
1618599724,3330,3464
1618600324,3299,3431
1618601524,3297,3429
1618602723,3288,3419
1618603324,3278,3408
1618603924,3270,3400
1618605724,3268,3398
1618606323,3265,3395
1618606924,3266,3396
1618607524,3259,3389
1618608723,3262,3392
1618609324,3256,3385
1618609923,3251,3380
1618610524,3245,3374
1618611123,3244,3373
1618612924,3236,3364
1618613524,3239,3368
1618614124,3236,3365
1618614724,3235,3364
1618617123,3241,3370
1618617724,3243,3372
1618618924,3243,3372
1618620124,3241,3370
1618621324,3250,3379
1618621924,3248,3377
1618623124,3248,3377
1618623724,3255,3384
1618624924,3249,3378
1618625524,3243,3373
1618626124,3242,3372
1618627924,3243,3373
1618628524,3235,3365
1618629124,3217,3347
1618630324,3176,3306
1618630924,3174,3304
1618632124,3180,3311
1618633323,3180,3312
1618633924,3183,3315
1618634524,3184,3316
1618635123,3186,3318
1618636323,3191,3323
1618637524,3192,3324
1618638124,3191,3323
1618639923,3194,3325
1618641124,3193,3324
1618641723,3192,3323
1618642923,3196,3327
1618645323,3198,3329
1618646524,3198,3329
1618647724,3198,3329
1618648324,3197,3327
1618650723,3192,3322
1618651923,3192,3322
1618652523,3194,3324
1618653124,3190,3319
1618654324,3196,3325
1618655524,3194,3323
1618656124,3191,3320
1618656723,3193,3322
1618657324,3192,3321
1618657923,3194,3323
1618658524,3193,3322
1618659124,3187,3316
1618659724,3188,3317
1618660324,3191,3320
1618661523,3193,3322
1618662124,3194,3323
1618663324,3196,3324
1618663924,3193,3321
1618664524,3190,3316
1618666324,3187,3313
1618667523,3191,3317
1618668124,3186,3312
1618669924,3187,3312
1618672324,3188,3313
1618673524,3183,3306
1618674123,3178,3300
1618674724,3175,3297
1618675923,3167,3289
1618677124,3161,3282
1618677723,3155,3276
1618679524,3142,3263
1618681323,3138,3258
1618682523,3128,3245
1618683724,3153,3270
1618684924,3155,3272
1618685523,3138,3247
1618686724,3118,3225
1618688524,3057,3153
1618689123,3038,3132
1618689723,3039,3133
1618690923,2973,3062
1618692724,2924,3009
1618693923,2904,2986
1618695123,2873,2950
1618695723,2854,2931
1618696924,2809,2885
1618697523,2789,2865
1618698724,2697,2768
1618699324,2698,2769
1618699924,2700,2771
1618700524,2704,2775
1618701123,2683,2754
1618701724,2680,2751
1618702923,2676,2744
1618704124,2673,2741
1618704724,2652,2716
1618705924,2655,2719
1618706524,2630,2692
1618707724,2620,2681
1618708323,2605,2666
1618710124,2598,2658
1618711324,2596,2656
1618711923,2597,2657
1618713724,2609,2668
1618714324,2612,2672
1618714924,2606,2666
1618716123,2604,2663
1618717323,2600,2657
1618718524,2601,2658
1618720923,2594,2647
1618721524,2595,2648
1618723324,2570,2615
1618724524,2559,2602
1618725123,2534,2573
1618726324,2532,2571
1618727524,2518,2557
1618729923,2503,2541
1618730524,2504,2542
1618731723,2503,2542
1618732323,2493,2532
1618732924,2491,2530
1618734123,2488,2527
1618735323,2470,2508
1618737123,2464,2501
1618737723,2437,2474
1618738924,2438,2475
1618740123,2426,2462
1618740724,2423,2459
1618741924,2405,2441
1618742523,2395,2431
1618744323,2393,2429
1618746724,2392,2428
1618747324,2389,2425
1618749124,2388,2424
1618750324,2392,2427
1618751523,2406,2441
1618752723,2409,2444
1618753924,2411,2446
1618754523,2408,2443
1618755123,2412,2447
1618756324,2410,2445
1618756924,2407,2442
1618758723,2431,2466
1618759923,2429,2464
1618761123,2429,2464
1618761723,2430,2465
1618762323,2428,2463
1618764124,2429,2464
1618764723,2427,2461
1618765324,2428,2462
1618766523,2428,2462
1618767724,2428,2462
1618768324,2429,2463
1618770724,2430,2464
1618771924,2431,2465
1618772523,2433,2467
1618773123,2428,2462
1618774924,2424,2458
1618776124,2421,2455
1618777924,2418,2452
1618778524,2412,2446
1618779124,2406,2441
1618780323,2408,2443
1618780924,2410,2445
1618781524,2400,2434
1618782723,2388,2422
1618783923,2390,2424
1618784523,2388,2422
1618785124,2389,2423
1618785723,2387,2421
1618786323,2363,2397
1618788724,2364,2398
1618789324,2365,2399
1618789923,2367,2401
1618790523,2362,2396
1618791724,2353,2387
1618792324,2350,2384
1618793524,2343,2377
1618794723,2344,2378
1618795323,2342,2376
1618795924,2341,2375
1618797123,2342,2376
1618799524,2336,2370
1618800724,2332,2366
1618801323,2330,2364
1618801923,2331,2365
1618803124,2323,2357
1618804323,2317,2350
1618804923,2318,2351
1618805524,2311,2344
1618806124,2303,2336
1618806724,2298,2331
1618808524,2294,2327
1618809724,2282,2315
1618812124,2280,2313
1618812723,2271,2304
1618814523,2270,2303
1618815724,2258,2291
1618816323,2213,2246
1618817524,2193,2225
1618818124,2189,2221
1618819324,2190,2222
1618819923,2178,2210
1618820524,2179,2211
1618822324,2185,2217
1618823524,2193,2225
1618824724,2197,2229
1618825324,2199,2231
1618826523,2198,2230
1618827723,2200,2232
1618828324,2197,2228
1618829524,2198,2229
1618830124,2201,2232
1618831924,2204,2235
1618833724,2203,2234
1618835524,2202,2233
1618836123,2198,2229
1618836723,2199,2230
1618839124,2198,2229
1618840324,2195,2226
1618840923,2192,2223
1618841523,2194,2225
1618842123,2195,2226
1618843324,2230,2261
1618844524,2230,2261
1618845124,2224,2255
1618846324,2220,2251
1618846923,2217,2248
1618848124,2213,2243
1618848724,2214,2244
1618849924,2212,2242
1618851723,2197,2226
1618852324,2195,2224
1618854123,2191,2220
1618855323,2193,2222
1618855924,2189,2218
1618857723,2192,2221
1618858323,2187,2216
1618858923,2189,2218
1618859524,2184,2213
1618860124,2182,2211
1618861924,2180,2209
1618863124,2179,2208
1618864924,2180,2209
1618866124,2179,2208
1618867323,2171,2200
1618869124,2168,2197
1618870323,2169,2198
1618870924,2172,2201
1618872124,2174,2203
1618873324,2174,2203
1618874523,2170,2199
1618875124,2171,2200
1618875723,2171,2200
1618876323,2173,2202
1618876923,2174,2203
1618877523,2175,2204
1618878725,2180,2209
1618879924,2179,2208
1618881124,2201,2230
1618882324,2221,2250
1618882924,2226,2255
1618883524,2227,2256
1618884723,2236,2265
1618885323,2246,2275
1618886524,2253,2282
1618887724,2256,2286
1618888324,2255,2285
1618890123,2258,2287
1618890724,2260,2289
1618891924,2263,2292
1618892524,2273,2302
1618893124,2282,2311
1618894324,2288,2317
1618894923,2292,2321
1618896724,2292,2321
1618897324,2298,2327
1618898524,2301,2330
1618900324,2303,2332
1618901524,2307,2336
1618902124,2309,2338
1618903324,2298,2327
1618905724,2294,2323
1618906923,2290,2319
1618908723,2286,2315
1618909924,2275,2303
1618910524,2274,2302
1618911723,2271,2299
1618912923,2271,2299
1618913523,2270,2298
1618914724,2264,2292
1618916524,2265,2293
1618917723,2266,2294
1618918923,2267,2295
1618921925,2265,2293
1618923124,2266,2294
1618924323,2266,2294
1618925524,2269,2297
1618926724,2268,2296
1618928523,2263,2291
1618929724,2314,2343
1618930923,2316,2345
1618931524,2317,2346
1618932724,2313,2342
1618934523,2316,2345
1618935724,2315,2344
1618936923,2307,2336
1618938723,2308,2337
1618939924,2302,2331
1618942323,2298,2327
1618942923,2299,2328
1618943523,2296,2326
1618945323,2297,2327
1618946524,2297,2327
1618948323,2291,2321
1618948923,2286,2316
1618949523,2289,2319
1618950123,2290,2320
1618951324,2282,2312
1618952524,2283,2313
1618953123,2284,2314
1618954923,2286,2315
1618956124,2282,2311
1618956723,2283,2312
1618957323,2282,2311
1618958523,2284,2313
1618959123,2279,2308
1618960323,2341,2370
1618961524,2345,2374
1618962123,2349,2378
1618963924,2354,2383
1618964523,2356,2386
1618965723,2355,2385
1618966324,2351,2381
1618966924,2353,2383
1618967523,2354,2384
1618968724,2349,2379
1618969923,2350,2380
1618971123,2354,2384
1618972324,2353,2383
1618974123,2350,2381
1618975323,2351,2382
1618977124,2351,2383
1618978323,2350,2382
1618978923,2351,2383
1618980123,2352,2384
1618981323,2349,2381
1618981923,2352,2384
1618982524,2342,2374
1618983124,2299,2330
1618984923,2285,2316
1618985523,2276,2307
1618986124,2275,2306
1618987324,2276,2307
1618988523,2274,2305
1618989123,2274,2306
1618989724,2268,2300
1618990323,2266,2298
1618991524,2266,2297
1618992723,2287,2318
1618993324,2281,2312
1618995123,2284,2315
1618996324,2281,2312
1618996924,2283,2314
1618998124,2278,2309
1618999323,2279,2310
1618999924,2277,2307
