DateTime,AddedIPs,RemovedIPs
1615557602,140,0
1615561203,167,0
1615564802,180,0
1615568402,142,0
1615572003,138,0
1615579202,299,0
1615586402,270,0
1615593602,215,3797
1615600802,252,0
1615604403,106,0
1615608003,98,0
1615611602,141,0
1615615203,101,0
1615622403,268,0
1615629602,253,0
1615633203,158,0
1615636803,103,0
1615640403,181,0
1615644002,142,0
1615647602,167,0
1615654803,267,0
1615658403,119,0
1615662902,159,0
1615666502,128,0
1615673702,202,0
1615677302,109,0
1615680901,63,3814
1615684502,138,0
1615690802,196,0
1615692602,81,0
1615696201,77,0
1615703402,184,0
1615707902,141,0
1615711502,120,0
1615715102,86,0
1615718702,204,0
1615722302,100,0
1615729501,195,0
1615736702,190,0
1615740302,152,0
1615743902,87,0
1615747503,131,0
1615751102,91,0
1615754702,71,0
1615758302,71,0
1615761902,80,0
1615765502,83,0
1615769102,87,3239
1615776301,231,0
1615779902,223,0
1615788002,313,0
1615791602,157,0
1615795202,122,0
1615798802,178,0
1615802402,183,0
1615806002,137,0
1615809602,154,0
1615813203,232,0
1615816802,129,0
1615824002,408,0
1615827602,165,0
1615831202,142,0
1615838403,253,0
1615845602,237,0
1615852803,195,2576
1615856402,124,0
1615860002,144,0
1615863602,193,0
1615867202,136,0
1615870802,117,0
1615878002,298,0
1615881602,140,0
1615885202,164,0
1615888802,235,0
1615896002,444,0
1615899603,319,0
1615903202,251,0
1615907701,301,0
1615911302,226,0
1615914902,112,0
1615922102,287,0
1615929301,250,0
1615936502,188,0
1615940102,79,3263
1615943702,110,0
1615947301,129,0
1615950902,121,0
1615954502,132,0
1615958102,134,0
1615961702,186,0
1615965301,160,0
1615968902,146,0
1615976102,270,0
1615979702,143,0
1615986903,347,0
1615991402,232,0
1615995002,145,0
1615998602,205,0
1616002202,132,0
1616009401,247,0
1616016602,258,0
1616023802,207,0
1616027402,71,3988
1616031001,106,0
1616034602,106,0
1616041802,285,0
1616045401,133,0
1616049902,198,0
1616053502,151,0
1616057102,154,0
1616060701,132,0
1616064302,181,0
1616067902,171,0
1616071502,157,0
1616075102,198,0
1616078701,142,0
1616085901,272,0
1616093102,225,0
1616100302,244,0
1616103901,152,0
1616107502,90,0
1616111102,124,0
1616114702,97,3579
1616118302,103,0
1616121902,97,0
1616125502,146,0
1616129102,87,0
1616132701,105,0
1616139902,393,0
1616143502,157,0
1616147101,187,0
1616151602,188,0
1616155202,126,0
1616158802,185,0
1616162403,189,0
1616166003,156,0
1616169602,158,0
1616173202,169,0
1616176802,108,0
1616180401,131,0
1616184002,155,0
1616187602,129,0
1616194802,229,0
1616202002,204,3267
1616209202,169,0
1616216403,267,0
1616223602,297,0
1616230803,237,0
1616238002,293,0
1616241602,169,0
1616245202,156,0
1616248803,114,0
1616252403,147,0
1616256002,113,0
1616259603,113,0
1616263202,126,0
1616266802,135,0
1616270402,127,0
1616274002,89,0
1616277603,94,0
1616281202,68,0
1616284802,76,3509
1616292002,195,0
1616295602,121,0
1616303702,213,0
1616307302,91,0
1616314502,212,0
1616321702,219,0
1616328902,187,0
1616336102,241,0
1616339702,105,0
1616343302,107,0
1616346901,89,0
1616350502,140,0
1616354102,97,0
1616357702,109,0
1616361301,111,0
1616364901,118,0
1616368502,99,0
1616375702,115,2896
1616377501,45,0
1616382002,140,0
1616385602,157,0
1616390102,128,0
1616393702,140,0
1616397302,130,0
1616400902,137,0
1616408102,342,0
1616415302,335,0
1616422502,375,0
1616426102,304,0
1616429702,162,0
1616433302,135,0
1616436902,157,0
1616440502,111,0
1616444102,196,0
1616447702,141,0
1616454902,243,0
1616458502,91,2531
1616465702,194,0
1616469302,80,0
1616476502,243,0
1616480102,112,0
1616484602,168,0
1616488202,97,0
1616491802,174,0
1616499001,383,0
1616506202,296,0
1616513402,393,0
