DateTime,Entries,UniqueIPs
1574871306,27239,27239
1574957705,29081,29081
1575045005,29495,29495
1575130506,29989,29989
1575216905,29697,29697
1575304205,29754,29754
1575390605,29012,29012
1575476105,28335,28335
1575562505,28716,28716
1575648905,27296,27296
1575736205,26922,26922
1575822605,25945,25945
1575908105,26245,26245
1575994506,26339,26339
1576080905,26492,26492
1576167304,26632,26632
1576253704,25769,25769
1576340105,25256,25256
1576426504,24962,24962
1576512906,24944,24944
1576600205,24555,24555
1576686605,24612,24612
1576773005,24656,24656
1576859405,24167,24167
1576945805,24495,24495
1577032204,24002,24002
1577118604,24069,24069
1577204104,23161,23161
1577290505,22406,22406
1577377805,21585,21585
1577463305,21701,21701
1577549705,21039,21039
1577636105,21059,21059
1577722505,21842,21842
1577808904,22200,22200
1577895305,21858,21858
1577981705,22205,22205
1578068106,23097,23097
1578154505,23307,23307
1578240905,23636,23636
1578328204,24459,24459
1578414605,24960,24960
1578500104,25447,25447
1578587404,25845,25845
1578673804,25339,25339
1578759303,25064,25064
1578845704,25541,25541
1578932104,26061,26061
1579018504,26306,26306
1579104904,26626,26626
1579191304,26913,26913
1579277705,27138,27138
1579364104,26393,26393
1579450505,25277,25277
1579536904,25586,25586
1579623304,25267,25267
1579709704,25003,25003
1579796104,24734,24734
1579882504,23985,23985
1579968904,22802,22802
1580055304,22422,22422
1580141703,21905,21905
1580228104,21544,21544
1580314504,21641,21641
1580400904,21642,21642
1580487305,21334,21334
1580573703,21418,21418
1580660104,21446,21446
1580746503,21549,21549
1580832905,21512,21512
1580919303,20775,20775
1581005704,20770,20770
1581092104,20940,20940
1581178504,20649,20649
1581264903,20297,20297
1581351304,20557,20557
1581437704,20400,20400
1581524104,20145,20145
1581610505,20148,20148
1581696904,19937,19937
1581783303,19819,19819
1581869704,19854,19854
1581956104,20293,20293
1582042504,21133,21133
1582128904,21674,21674
1582215304,21745,21745
1582301704,21820,21820
1582388104,22091,22091
1582472705,21950,21950
1582557304,22283,22283
1582643703,22215,22215
1582730104,22534,22534
1582816504,23029,23029
1582902904,23217,23217
1582989304,23128,23128
1583075704,22768,22768
1583162104,23175,23175
1583248504,23616,23616
1583334904,23991,23991
1583421305,25617,25617
1583505904,25708,25708
1583592305,25645,25645
1583678705,25509,25509
1583765104,25896,25896
1583849705,25575,25575
1583936104,25109,25109
1584022504,24734,24734
1584108904,23201,23201
1584195304,22205,22205
1584281704,21351,21351
1584368104,20925,20925
1584454504,21249,21249
1584540904,21714,21714
1584627303,21318,21318
1584713704,21376,21376
1584797404,21173,21173
1584882904,21093,21093
1584967504,21333,21333
1585052104,21147,21147
1585135804,20608,20608
1585219504,20344,20344
1585305004,20606,20606
1585389606,20262,20262
1585476006,20168,20168
1585562405,20330,20330
1585648807,20314,20314
1585734304,20397,20397
1585819804,20444,20444
1585906204,20117,20117
1585989006,19322,19322
1586075406,19165,19165
1586161805,19221,19221
1586247304,19613,19613
1586332805,20627,20627
1586418305,21137,21137
1586502007,21713,21713
1586585705,22067,22067
1586669404,22259,22259
1586754904,22712,22712
1586839505,23028,23028
1586925004,22959,22959
1587009605,22498,22498
1587096006,22289,22289
1587181505,22271,22271
1587267905,22207,22207
1587353404,21936,21936
1587439803,21767,21767
1587524407,21414,21414
1587610806,21944,21944
1587697205,21701,21701
1587780905,21589,21589
1587867304,21373,21373
1587953704,21574,21574
1588040104,21322,21322
1588126504,21414,21414
1588212905,21103,21103
1588299304,21237,21237
1588385705,20808,20808
1588472104,20895,20895
1588558504,21336,21336
1588644904,21673,21673
1588731304,21047,21047
1588817703,20937,20937
1588905003,21080,21080
1588991404,21217,21217
1589077803,21296,21296
