DateTime,AddedIPs,RemovedIPs
1612371520,1,0
1612376143,1,0
1612380740,2,0
1612390010,2,0
1612399429,3,0
1612408988,7,0
1612418314,1,0
1612422944,1,0
1612439506,25,0
1612449105,1,0
1612453772,1,0
1612458342,1,0
1612463142,2,0
1612662190,29,86
1612668735,3,0
1612677406,2,0
1612681759,2,0
1612690488,1,0
1612694498,0,110
1612698856,1,0
1612707698,2,0
1612716542,2,0
1612720871,1,0
1612725279,1,0
1612734086,3,0
1612742773,1,0
1612747142,1,0
1612753922,3,0
1612762721,1,0
1612771525,2,0
1612789210,3,0
1612793621,2,0
1612797866,25,0
1612802323,1,0
1612809719,2,0
1612818696,2,0
1612830086,4,0
1612838899,5,0
1612847952,1,0
1612860372,1,0
1612864892,19,0
1612874078,10,0
1612883171,2,0
1612891469,1,0
1612896079,8,36
1612913942,1,0
1612923202,4,0
1612927630,4,0
1612931847,2,0
1612938798,3,0
1612950074,1,0
1612954642,1,0
1612970362,2,0
1612975181,1,0
1612984106,1,0
1612992942,2,0
1613009771,2,0
1613020864,2,0
1613025308,1,0
1613034008,1,0
1613040950,2,0
1613049626,1,0
1613053939,1,0
1613058316,2,0
1613066968,1,0
1613071405,1,0
1613084446,2,211
1613093338,1,0
1613097698,3,0
1613104487,1,0
1613113470,1,0
1613117840,1,0
1613122397,5,0
1613140286,2,0
1613149027,1,0
1613157782,2,0
1613170248,1,0
1613200495,1,0
1613213556,1,0
1613217908,2,0
1613229018,1,0
1613237699,2,0
1613246632,1,0
1613255626,29,0
1613260041,2,0
1613264496,2,0
1613273554,3,0
1613287272,4,0
1613301026,1,0
1613309933,1,0
1613327621,1,0
1613345144,5,0
1613354004,2,0
1613362891,1,0
1613367551,1,0
1613372033,2,0
1613385142,2,0
1613389909,2,0
1613405705,1,0
1613414730,1,0
1613419210,1,0
1613432706,1,0
1613437140,1,0
1613459508,34,0
1613464062,2,0
1613468662,4,0
1613473631,1,0
1613489435,1,0
1613498563,2,0
1613503417,2,0
1613514672,1,0
1613518901,1,0
1613523468,2,0
1613528026,1,0
1613532604,2,0
1613541610,1,0
1613546178,1,0
1613555309,1,0
1613573217,2,0
1613582320,3,0
1613587156,2,0
1613598264,1,0
1613602643,1,0
1613619498,7,0
1613628297,7,0
1613632754,1,0
1613637153,1,0
1613645841,3,0
1613663258,1,0
1613752613,4,0
1613761004,3,0
1613779898,4,0
1613796399,1,0
1613804895,2,0
1613813048,8,0
1613821448,3,0
1613825521,1,0
1613829880,1,0
1613840465,1,0
1613848708,1,0
1613861252,1,0
1613867804,1,0
1613876061,1,0
1613884354,1,0
1613892756,1,0
1613904384,1,0
1613912893,1,0
1613920964,4,0
1613937285,3,0
1613945582,2,0
1613950038,1,0
1613956308,2,0
1613969522,52,0
1613973813,1,0
1613978152,5,0
1613982520,1,0
1613997961,1,0
1614006632,1,0
1614019782,1,0
1614024115,1,0
1614032780,2,0
1614043378,2,0
1614051559,2,0
1614055661,1,0
1614059771,1,0
1614063874,2,0
1614072102,1,0
1614076220,3,0
1614084439,1,0
1614092848,2,0
1614105811,3,0
1614113943,2,0
1614122084,1,0
1614134286,1,0
1614138354,2,0
1614146504,2,0
1614154921,1,0
1614158993,1,0
1614163081,1,0
1614187548,1,0
1614191619,3,0
1614204572,1,0
1614212658,3,0
1614220641,2,0
1614224944,2,0
1614233040,2,0
1614241161,2,0
