DateTime,Entries,UniqueIPs
1612458342,1478,1478
1612463142,1480,1480
1612472225,1481,1481
1612662190,1002,1002
1612668735,1252,1252
1612673075,1261,1261
1612677406,1267,1267
1612681759,1269,1269
1612686139,1271,1271
1612690488,1273,1273
1612694498,1274,1274
1612698856,1276,1276
1612707698,1279,1279
1612716542,1282,1282
1612720871,1283,1283
1612725279,1285,1285
1612734086,1288,1288
1612742773,1304,1304
1612747142,1306,1306
1612753922,1309,1309
1612762721,1310,1310
1612771525,1313,1313
1612789210,1317,1317
1612793621,1319,1319
1612797866,1344,1344
1612802323,1345,1345
1612809719,1356,1356
1612818696,1358,1358
1612830086,1362,1362
1612838899,1367,1367
1612847952,1368,1368
1612860372,1369,1369
1612864892,1388,1388
1612874078,1399,1399
1612883171,1401,1401
1612891469,1402,1402
1612896079,1413,1413
1612913942,1414,1414
1612923202,1418,1418
1612927630,1422,1422
1612931847,1424,1424
1612938798,1427,1427
1612950074,1428,1428
1612954642,1429,1429
1612970362,1431,1431
1612975181,1432,1432
1612984106,1433,1433
1612992942,1435,1435
1613009771,1437,1437
1613020864,1439,1439
1613025308,1440,1440
1613034008,1441,1441
1613040950,1443,1443
1613049626,1444,1444
1613053939,1445,1445
1613058316,1447,1447
1613066968,1448,1448
1613071405,1449,1449
1613084446,1452,1452
1613093338,1453,1453
1613097698,1456,1456
1613104487,1457,1457
1613113470,1458,1458
1613117840,1459,1459
1613122397,1464,1464
1613140286,1466,1466
1613149027,1467,1467
1613157782,1469,1469
1613170248,1470,1470
1613200495,1471,1471
1613213556,1472,1472
1613217908,1474,1474
1613229018,1475,1475
1613237699,1477,1477
1613246632,1478,1478
1613255626,1507,1507
1613260041,1509,1509
1613264496,1511,1511
1613273554,1514,1514
1613287272,1518,1518
1613301026,1519,1519
1613309933,1520,1520
1613327621,1521,1521
1613345144,1526,1526
1613354004,1528,1528
1613362891,1529,1529
1613367551,1530,1530
1613372033,1532,1532
1613385142,1534,1534
1613389909,1536,1536
1613405705,1537,1537
1613414730,1538,1538
1613419210,1539,1539
1613432706,1540,1540
1613437140,1541,1541
1613459508,1575,1575
1613464062,1577,1577
1613468662,1581,1581
1613473631,1582,1582
1613489435,1583,1583
1613498563,1585,1585
1613503417,1587,1587
1613514672,1588,1588
1613518901,1589,1589
1613523468,1591,1591
1613528026,1592,1592
1613532604,1594,1594
1613541610,1595,1595
1613546178,1596,1596
1613555309,1597,1597
1613573217,1599,1599
1613582320,1602,1602
1613587156,1604,1604
