DateTime,AddedIPs,RemovedIPs
1615303981,2,0
1615307581,2,1
1615311181,6,2
1615314782,3,0
1615318382,3,0
1615321981,5,3
1615329181,1,0
1615332781,4,0
1615336382,1,3
1615339982,0,2
1615343581,0,1
1615347181,1,0
1615354381,1,0
1615357981,1,0
1615361581,1,1
1615365182,1,0
1615368781,1,0
1615372381,1,0
1615379581,0,3
1615383181,1,0
1615390381,0,4
1615393981,0,2
1615401181,1,1
1615404781,1,1
1615408381,1,2
1615415582,0,3
1615419181,2,2
1615426381,0,1
1615429981,3,0
1615433581,1,0
1615437181,2,2
1615440781,1,0
1615447981,1,0
1615451581,5,0
1615455181,1,2
1615458781,1,2
1615462382,0,1
1615465982,2,0
1615469581,1,2
1615480381,1,0
1615483981,6,0
1615487581,2,4
1615491182,1,0
1615494782,0,2
1615509181,1,1
1615516381,1,0
1615519981,1,4
1615523581,1,0
1615527181,2,2
1615530781,4,0
1615534382,0,2
1615537982,3,1
1615541582,1,0
1615545181,0,1
1615552382,2,1
1615555981,2,0
1615559581,2,1
1615563181,1,1
1615566781,0,2
1615570381,2,3
1615573981,1,0
1615577581,1,1
1615581182,1,1
1615584781,1,0
1615588381,0,5
1615595581,2,1
1615606382,0,3
1615609982,1,0
1615613581,0,1
1615617181,0,1
1615624382,1,0
1615627981,2,0
1615635181,0,1
1615638781,2,0
1615642381,3,2
1615645981,1,3
1615649581,1,0
1615653181,3,0
1615656781,1,3
1615660381,0,2
1615667581,1,2
1615671181,1,1
1615674782,1,1
1615678382,1,1
1615685581,1,0
1615689181,0,1
1615692781,2,0
1615696382,1,0
1615699981,0,2
1615703581,1,3
1615707181,2,0
1615714382,5,0
1615717982,0,3
1615725181,3,1
1615728781,4,0
1615734631,2,2
1615737632,2,3
1615741231,3,1
1615743631,0,1
1615747232,2,0
1615750831,0,1
1615754432,5,1
1615757581,2,0
1615761181,3,0
1615764781,2,2
1615768381,1,1
1615771981,1,3
1615775582,6,0
1615779181,2,3
1615782781,3,0
1615789981,2,2
1615793581,3,2
1615797182,4,2
1615804381,0,1
1615811581,2,1
1615815181,2,1
1615818781,2,2
1615822381,4,3
1615825981,1,1
1615833181,0,1
1615836781,1,1
1615840381,1,0
1615843981,0,5
1615851181,1,2
1615854781,1,0
1615858382,1,0
1615861981,3,1
1615869181,1,0
1615872781,2,4
1615876381,2,2
1615879981,1,0
1615883581,3,5
1615890781,3,2
1615894381,1,2
1615901582,0,1
1615905181,2,1
1615908781,3,4
1615912382,3,0
1615915982,6,3
1615919582,7,1
1615923181,2,4
1615926781,4,1
1615930382,2,2
1615933981,1,2
1615937581,1,3
1615941181,1,2
1615944781,1,4
1615948381,1,0
1615951982,2,1
1615959181,2,2
1615962782,2,0
1615966381,3,0
1615969981,2,1
1615973581,1,0
1615977181,2,2
1615980781,4,0
1615984382,2,0
1615987981,2,0
1615991581,3,1
1615995181,3,0
1615998781,3,0
1616002381,1,0
1616005982,1,0
1616009581,2,1
1616013181,2,0
1616016781,1,1
1616020381,1,1
1616027581,3,2
1616031182,1,0
1616034782,1,3
1616038381,0,2
1616045581,1,0
1616049182,2,0
1616052781,1,0
1616056381,1,2
1616063581,1,2
1616067181,3,1
1616071233,3,2
1616074382,4,1
1616081581,0,1
1616085182,0,5
1616092382,0,2
1616095982,1,0
1616099582,2,1
1616103181,2,2
1616106781,1,1
1616110381,1,1
1616117582,2,2
1616121181,1,0
1616124781,1,0
1616128382,2,4
1616131982,3,1
1616135581,1,0
1616139181,0,2
1616142781,1,2
1616146381,2,1
1616149981,1,1
1616153581,1,0
1616157181,2,0
1616160781,1,4
1616164381,4,0
1616167981,1,2
1616171581,1,0
1616175181,3,1
1616178781,2,0
1616182381,2,1
1616185982,0,1
1616189582,1,2
1616193181,2,2
1616200381,0,1
1616203981,1,0
1616207582,1,3
1616211181,2,0
1616218381,1,2
1616221982,1,0
1616229181,2,0
1616232781,4,0
1616236381,2,0
1616239982,3,0
1616243581,3,2
1616247181,2,3
1616250781,1,1
1616254382,3,0
1616257981,2,0
1616261582,3,1
1616265181,1,0
1616268781,1,0
1616272381,1,2
1616275981,1,5
1616279581,4,0
1616283182,1,1
1616286781,1,0
1616293982,1,0
1616297581,4,2
1616304781,1,4
1616308382,4,0
1616311982,2,0
1616319181,3,2
1616322781,2,0
1616326382,1,2
1616333581,1,0
1616337181,1,4
1616340781,2,3
1616344381,1,3
1616347981,2,0
1616351581,3,3
1616355181,1,4
1616358781,1,4
1616362382,0,1
1616365981,1,2
1616369581,1,2
1616373181,1,1
1616376782,0,2
1616383981,0,2
1616391181,0,3
1616394781,3,0
1616398381,0,1
1616401981,2,1
1616405581,1,0
1616409181,0,2
1616412782,3,0
1616419981,0,1
1616423581,4,1
1616427181,1,2
1616434382,1,0
1616437981,3,0
1616441581,2,2
1616445181,1,0
1616448781,2,0
1616452382,0,2
1616455981,2,0
1616459581,0,2
1616463181,2,0
1616466781,0,2
1616470381,2,3
1616473981,2,0
1616477582,0,2
1616481181,0,2
1616484781,0,4
1616488381,0,1
1616491981,1,2
1616495582,2,2
1616502781,0,3
1616506382,2,4
1616509982,1,0
1616513581,0,3
1616517181,1,0
1616520781,1,6
1616527982,1,4
1616535182,0,2
1616538782,2,1
1616542381,1,2
1616545981,1,0
1616549581,1,4
1616557233,0,2
1616560832,1,0
1616564433,1,1
1616568032,0,1
1616571632,0,1
1616578842,2,0
1616581982,3,0
1616585582,2,2
1616589181,1,0
1616596381,2,2
1616599981,3,0
1616603581,1,4
1616607181,1,2
1616610782,1,0
1616614382,1,4
1616617981,1,0
1616621582,1,2
1616625182,1,2
1616632382,2,1
1616635982,1,3
1616639581,1,0
1616643181,2,1
1616646782,1,1
1616650381,1,2
1616653981,2,2
1616664782,1,2
1616668381,3,0
1616671981,1,2
1616675582,3,1
1616679181,4,1
1616682781,3,1
1616686382,4,2
1616689981,1,0
1616693581,1,0
1616697181,0,2
1616700782,1,2
1616704381,2,0
1616707981,0,3
1616715181,1,6
1616718781,2,0
1616722381,2,3
1616725981,1,0
1616733181,0,2
1616736781,2,2
1616740382,2,4
1616743981,2,0
1616747581,2,3
1616751182,1,4
1616754781,1,0
1616758381,2,5
1616761981,2,0
1616765582,4,0
1616769181,0,8
1616772781,1,0
1616776381,3,3
1616779981,2,6
1616783581,2,2
1616787181,2,0
1616790781,1,3
1616794381,2,2
1616797981,2,0
1617359582,8,406
1617363181,4,11
1617366782,10,0
1617370381,9,17
1617373981,8,0
1617377581,5,13
1617381181,9,8
1617384781,12,0
1617388381,7,13
1617391981,6,0
1617395581,7,8
1617399181,8,11
1617402782,9,11
1617994835,21,86
1618000381,14,23
1618003981,16,13
1618039981,98,21
1618043584,10,0
1618047181,6,0
1618050781,7,0
1618054381,9,0
1618057981,8,0
1618065181,16,0
1618068782,10,0
1618072382,8,0
1618075981,3,0
1618186235,108,0
1618192233,4,0
1618195234,3,0
1618205581,3,0
1618209181,1,0
1618216381,1,0
1618219982,1,0
1618223581,3,0
1618227182,4,0
1618230782,4,0
1618234381,1,0
1618360381,86,0
1618432381,31,0
1618435981,1,0
1618443181,7,0
1618446781,1,0
1618450381,1,0
1618453981,4,0
1618457582,1,0
1618461181,1,0
1618464781,4,0
1618471982,1,0
1618561981,32,0
1618572781,2,0
1618576381,1,0
1618587181,1,0
1618594381,1,0
1618597981,0,1
1618601581,0,1
1618605181,0,1
1618608781,1,1
1618612382,0,5
1618615981,2,0
1618619582,0,1
